heating_load,wall,roof,glazing,height
80.9,38.9,150.0,24.4,8.3
59.6,36.4,119.9,15.7,11.9
68.7,22.3,89.7,11.4,9.2
86.4,30.9,127.4,38.2,3.2
83.9,30.3,166.0,24.1,3.7
74.4,21.4,77.0,39.7,11.0
41.9,32.0,53.1,11.0,8.9
79.6,31.0,83.3,38.3,8.3
76.2,26.5,116.6,27.6,8.0
64.8,16.2,85.1,27.3,13.0
52.2,17.7,98.2,22.7,10.3
78.2,27.6,158.7,12.0,13.6
85.9,34.1,165.7,26.1,11.5
88.5,26.7,156.9,19.9,9.4
96.9,21.7,190.9,21.8,7.5
81.7,17.4,129.6,31.5,4.7
72.6,32.0,124.2,10.7,9.7
69.6,11.7,83.2,39.4,4.5
71.0,19.0,141.8,17.2,11.5
54.4,39.9,52.4,18.8,13.5
84.8,21.0,173.7,26.2,8.2
65.5,39.9,82.9,49.9,10.0
64.5,25.4,120.2,22.3,6.1
89.2,10.7,187.2,19.2,14.6
83.7,10.9,156.9,32.3,14.3
77.8,19.8,106.6,35.3,10.2
73.7,38.8,130.6,31.9,8.9
77.0,33.5,89.0,42.2,9.0
71.1,24.6,102.3,44.7,10.4
65.7,10.6,71.4,44.6,11.1
81.1,12.7,153.4,27.8,5.7
52.5,13.7,69.3,10.7,3.8
72.2,32.4,92.4,46.4,12.7
85.3,34.1,159.7,38.0,3.8
68.1,34.6,112.1,17.8,8.0
65.6,34.4,66.3,42.2,4.8
77.0,16.1,118.8,49.8,14.0
60.1,16.2,52.9,38.7,9.6
92.8,13.1,184.7,29.0,14.4
71.1,17.3,117.0,18.4,10.9
52.0,20.6,57.3,44.8,14.4
63.7,33.7,51.8,38.1,6.6
65.1,34.4,106.5,49.3,6.9
66.9,22.2,72.3,35.7,14.4
60.6,19.8,97.0,46.7,13.9
60.2,37.5,128.1,13.8,6.8
82.0,31.8,185.1,14.3,5.9
70.5,19.3,129.8,15.0,5.6
94.7,18.4,159.1,45.0,6.8
65.7,10.6,141.7,25.0,5.6
51.6,18.0,50.7,22.4,14.4
85.5,33.1,132.5,40.3,4.3
88.2,36.7,179.9,18.2,6.4
58.5,37.6,56.9,46.4,7.4
85.5,30.1,181.0,32.3,13.9
80.8,10.0,159.5,34.5,3.3
84.6,28.4,187.7,22.9,13.0
84.1,21.0,166.8,15.0,7.5
73.8,33.9,75.3,43.7,7.7
93.5,15.7,159.6,43.1,8.8
78.3,26.0,162.0,17.0,7.7
54.0,25.5,89.0,15.5,10.6
68.2,11.7,92.7,32.2,6.7
58.2,35.7,80.8,45.5,7.6
52.5,32.0,53.1,17.8,4.3
93.1,27.7,198.7,27.1,5.7
70.1,35.9,102.6,35.3,8.1
61.2,37.8,59.0,23.6,11.8
76.1,16.1,119.6,32.7,3.6
84.1,21.8,114.3,48.2,11.4
50.3,24.5,57.0,28.1,13.1
70.5,32.2,92.6,26.5,9.4
76.2,10.8,146.1,23.4,7.4
71.3,38.6,122.1,30.8,4.2
84.8,29.2,142.1,18.9,8.2
57.5,38.9,66.1,21.0,4.1
70.5,13.2,112.3,36.4,13.1
78.7,20.0,166.9,29.7,5.1
80.6,19.2,135.7,40.6,12.4
81.0,22.2,130.2,17.1,11.0
68.3,30.1,124.3,23.3,14.2
54.4,34.1,69.0,35.5,12.9
71.9,12.0,129.7,39.3,10.1
67.9,37.3,79.4,15.1,12.3
63.6,32.1,50.8,47.3,4.1
89.9,13.2,189.1,31.5,7.1
77.3,11.8,81.6,39.3,10.5
66.9,15.8,89.8,14.9,8.6
91.9,11.9,189.9,27.2,12.9
69.7,31.0,69.9,11.2,8.2
100.0,38.5,176.4,44.9,7.3
65.9,31.5,62.8,24.2,10.2
83.4,33.7,155.9,47.0,11.1
73.7,21.8,127.5,14.5,3.7
83.2,17.6,106.2,34.7,5.9
66.6,11.3,78.1,15.3,10.8
72.4,17.6,103.2,35.2,4.7
75.9,21.3,144.6,16.0,4.2
90.9,26.0,150.0,33.5,4.3
55.6,33.1,76.8,46.1,8.2
95.4,32.5,193.8,15.1,7.9
86.6,26.9,171.2,42.9,13.8
53.2,12.3,89.5,42.1,8.1
68.3,20.4,138.0,31.7,9.4
61.4,13.3,64.2,29.7,3.8
76.0,15.8,135.5,50.0,13.1
67.0,10.5,131.4,27.9,12.3
69.2,32.9,125.5,22.5,11.0
56.0,27.0,70.8,47.4,8.4
76.5,22.1,116.4,45.0,11.7
75.7,22.3,123.7,19.3,11.2
61.1,13.4,59.5,11.1,9.0
78.4,15.4,184.5,10.0,8.4
67.0,20.3,60.5,23.5,7.0
74.5,38.5,131.5,45.5,12.4
75.6,32.5,121.0,11.0,9.6
75.0,33.0,102.9,27.5,13.2
77.6,36.9,145.1,43.9,8.9
81.7,19.4,138.0,43.0,9.0
59.7,30.3,62.7,37.3,14.2
86.2,20.1,171.3,37.0,5.5
84.7,15.6,137.4,34.5,14.4
100.3,32.3,189.6,38.0,3.2
88.0,15.0,178.8,30.5,12.7
72.3,35.9,127.3,28.8,10.5
89.6,17.0,140.6,11.5,9.1
76.8,23.1,108.6,46.5,13.6
91.0,22.9,185.3,10.6,11.7
81.3,36.5,141.3,35.9,13.7
81.3,39.1,143.2,40.9,13.1
70.6,35.3,95.3,34.2,14.2
94.1,33.2,196.1,22.1,14.1
90.8,29.2,197.3,33.9,14.8
86.3,26.4,178.0,38.8,5.9
86.0,19.1,179.1,21.5,6.9
64.8,18.1,69.9,26.7,7.6
73.1,39.9,77.2,32.7,10.3
70.9,20.8,122.2,43.1,3.6
64.0,34.4,85.4,15.1,5.0
96.7,31.1,189.2,43.3,7.8
80.7,30.2,147.3,17.1,4.2
73.4,16.0,126.2,44.2,13.3
87.0,25.0,189.7,48.2,12.8
72.4,17.4,124.6,37.1,10.9
67.5,26.0,83.7,33.0,8.1
72.8,32.0,103.8,34.7,12.9
98.0,37.3,187.8,36.6,10.3
53.9,28.8,51.6,35.3,14.3
84.6,35.9,173.5,15.0,14.8
71.7,37.9,161.9,41.9,3.2
76.6,15.7,149.8,25.4,12.0
85.6,36.7,147.8,35.3,3.3
63.2,14.4,88.3,24.0,7.0
82.8,38.0,154.9,27.3,10.8
67.2,24.3,90.5,47.7,4.7
55.6,25.1,52.7,20.5,4.6
71.2,38.5,92.2,32.2,5.0
88.8,31.0,184.3,28.6,11.9
95.2,38.1,151.7,41.2,4.3
87.2,31.7,177.3,22.8,3.9
89.6,29.0,143.9,48.7,8.9
68.1,12.1,84.3,10.6,8.4
58.7,18.5,95.2,17.0,5.4
61.8,15.8,75.4,26.9,6.3
81.5,24.7,170.9,27.7,9.5
83.9,25.5,186.6,20.2,9.0
66.9,38.5,140.3,15.4,7.8
70.8,37.0,94.7,18.1,4.2
82.8,14.3,116.5,39.9,5.2
62.9,15.9,150.1,33.2,6.5
68.7,13.5,114.6,32.9,7.5
81.9,19.1,196.5,10.6,8.0
81.3,24.5,171.1,22.4,10.6
54.5,10.2,111.2,11.1,7.2
62.4,35.2,53.0,14.8,5.7
91.9,10.6,188.4,31.8,4.6
53.7,23.9,58.4,17.8,7.4
53.1,30.0,61.8,13.1,6.6
56.0,14.1,81.6,15.9,13.3
98.1,13.1,185.6,38.5,8.3
85.2,34.5,175.5,36.7,6.9
89.5,19.2,146.9,38.2,10.9
84.1,34.9,119.1,42.1,10.1
54.7,15.8,78.6,36.5,10.4
80.0,36.6,142.4,50.0,9.0
61.3,12.1,118.5,17.3,12.3
75.6,31.6,136.5,17.6,5.3
80.0,38.0,177.3,23.2,5.0
66.9,27.4,105.6,15.4,9.3
66.9,37.6,116.4,21.2,4.0
86.3,18.6,172.3,42.8,6.2
72.8,15.5,131.8,35.8,8.4
72.0,12.9,129.2,36.3,8.0
57.0,30.7,81.1,20.8,9.0
63.0,31.1,77.6,28.1,14.2
64.5,10.7,84.0,36.3,10.2
71.0,37.0,111.2,10.7,7.4
75.4,29.0,157.7,20.5,12.9
51.5,15.2,65.0,20.2,4.3
86.5,34.3,153.3,42.8,11.2
67.1,25.2,119.8,30.1,3.9
62.5,30.4,64.6,45.7,4.9
46.4,11.6,50.1,20.6,10.0
77.6,21.7,132.2,47.8,10.3
70.7,30.0,141.9,43.3,12.5
55.6,25.6,52.4,19.8,4.1
71.8,16.3,161.8,10.9,12.2
81.7,34.7,190.5,34.9,4.3
73.3,39.7,77.4,30.0,8.3
89.1,28.2,179.5,28.3,10.9
92.2,11.7,175.2,26.3,5.5
73.2,20.4,94.6,28.6,5.7
61.3,29.7,55.7,28.2,6.9
68.8,27.4,87.7,10.5,3.7
57.1,37.0,68.2,13.2,11.6
79.2,17.8,136.2,32.3,7.6
63.2,37.7,60.6,48.2,9.5
57.6,17.4,72.0,35.7,14.9
85.0,21.5,199.5,39.7,14.6
72.8,36.0,114.4,34.1,13.9
52.3,28.4,86.8,11.0,12.8
74.3,30.2,68.0,48.4,14.3
88.7,14.7,160.7,46.7,13.0
81.6,26.0,151.1,48.2,10.9
95.5,28.9,165.0,43.8,11.9
80.0,39.9,142.2,46.1,8.4
86.9,30.3,159.6,32.8,13.5
94.6,29.5,181.6,36.9,10.4
70.4,36.6,68.6,39.1,10.5
76.9,24.1,128.7,44.9,8.6
97.6,38.8,154.9,24.8,12.3
90.7,18.0,154.6,39.6,5.4
50.6,37.4,51.4,20.7,6.1
70.5,24.3,142.3,21.7,7.1
76.0,26.6,116.3,14.0,14.9
60.4,28.0,89.8,15.8,11.5
73.1,26.1,155.8,12.1,14.3
69.9,21.3,136.4,25.9,8.9
74.4,15.3,148.2,12.2,6.2
99.5,19.7,174.6,38.6,3.5
71.9,24.0,93.3,25.3,10.1
75.4,22.5,100.6,31.5,13.2
81.5,11.9,169.1,11.5,3.6
88.3,24.1,170.7,30.2,3.9
75.4,26.0,72.4,46.9,9.3
65.3,17.7,98.6,42.2,14.5
78.5,25.3,173.8,28.7,10.0
86.8,26.7,185.3,16.1,3.9
66.5,11.5,133.4,42.9,6.5
68.4,28.5,76.8,44.4,11.1
74.3,11.3,117.7,36.1,3.6
64.0,25.0,60.7,43.5,7.1
79.3,10.6,123.8,38.5,6.4
80.6,21.4,162.9,25.8,13.8
76.3,29.9,92.9,34.5,6.1
94.4,29.8,164.2,34.2,8.6
87.0,37.7,184.1,24.3,3.3
70.6,29.7,112.5,20.1,7.8
83.7,36.5,164.7,28.8,12.1
84.1,18.4,147.3,20.4,6.4
51.5,28.4,66.8,12.0,10.0
71.3,11.2,108.6,45.7,13.7
98.7,26.1,192.5,40.3,8.6
76.3,37.1,138.8,20.5,12.8
91.2,20.4,144.9,44.2,6.8
72.5,33.4,139.3,26.4,14.5
73.7,18.2,101.3,49.6,4.6
93.6,22.2,173.6,45.7,14.5
69.3,20.2,114.0,45.1,14.7
61.4,26.1,125.9,18.3,9.1
65.3,13.1,102.1,17.5,5.9
84.8,14.4,162.6,29.4,9.2
52.7,34.3,66.4,20.8,5.5
63.2,16.6,112.1,10.3,14.8
56.9,31.0,53.4,39.9,4.6
86.6,33.7,153.3,17.7,10.5
81.5,37.3,174.0,14.8,15.0
58.9,25.9,86.8,12.9,11.7
57.4,32.5,54.9,22.3,11.0
67.1,21.5,100.6,35.6,5.6
80.5,38.9,165.1,34.0,14.8
89.4,11.7,189.1,32.0,4.1
71.7,12.0,123.0,38.5,14.1
90.8,36.7,152.2,25.5,5.6
74.2,11.1,88.4,33.5,14.7
87.5,19.0,182.6,48.8,12.2
69.4,35.6,113.2,23.0,6.6
59.6,25.4,85.2,15.1,6.3
97.3,23.3,185.1,17.5,5.7
77.6,20.6,131.3,31.7,6.8
68.0,37.7,76.7,48.4,7.6
94.7,22.6,181.4,43.6,5.1
57.0,30.0,86.7,35.6,7.9
57.0,12.2,90.1,45.9,9.6
71.9,16.9,101.2,16.7,5.1
88.2,17.0,172.7,30.2,8.5
72.3,18.6,75.4,42.7,9.0
70.0,33.9,119.0,21.9,11.8
64.1,19.3,101.4,27.9,5.8
59.9,27.2,96.1,12.9,3.4
68.8,27.2,104.4,38.7,9.5
81.6,36.6,164.6,17.5,5.4
92.7,22.7,190.0,17.6,4.0
63.0,31.7,90.6,35.0,11.5
85.7,21.5,159.1,18.5,7.4
95.5,19.2,157.8,47.9,4.1
84.9,10.5,165.0,40.1,3.8
73.6,30.5,174.4,14.7,5.4
91.2,28.3,146.5,45.7,5.5
77.2,32.5,181.8,11.5,9.5
80.2,35.2,156.7,15.7,13.7
56.8,17.6,94.0,19.1,6.0
92.5,14.9,185.5,41.9,14.0
67.6,31.5,90.6,39.9,8.5
84.7,12.6,172.4,28.7,12.0
91.7,24.5,156.5,23.9,10.6
79.4,30.8,145.0,39.2,9.1
80.1,12.8,101.8,45.9,3.6
60.4,14.8,65.3,25.1,7.1
55.1,15.4,51.3,11.5,11.5
72.0,22.7,104.8,30.5,12.5
77.3,18.4,146.9,45.2,10.2
82.1,25.1,135.8,48.2,7.4
94.4,38.5,181.7,18.1,5.3
88.7,23.7,189.8,30.3,6.1
60.7,12.6,104.5,16.2,7.2
82.0,33.6,197.6,13.4,10.0
62.3,33.8,70.0,27.9,7.5
100.2,27.0,191.4,41.4,5.2
98.1,21.3,182.6,45.8,7.7
70.1,25.3,88.4,46.8,9.0
67.7,22.5,134.7,15.8,4.2
89.4,13.1,161.3,40.6,8.7
63.3,37.5,59.8,30.4,10.7
81.6,15.1,151.3,36.4,8.2
65.8,18.7,81.2,16.1,4.7
82.9,11.7,145.2,38.3,3.2
78.1,29.4,146.1,44.8,11.6
63.2,39.8,103.7,36.5,9.9
88.2,14.9,177.7,19.1,8.4
72.4,38.1,108.0,29.4,3.0
53.0,37.6,78.5,22.9,13.6
74.9,30.2,111.6,28.6,9.6
91.1,21.7,181.8,26.9,9.7
51.7,10.8,62.0,22.9,12.8
73.6,23.0,144.2,22.6,8.6
70.2,32.3,110.0,25.0,6.5
89.8,22.2,182.4,29.6,11.8
76.3,31.1,116.9,22.3,4.3
58.8,32.4,98.6,13.0,9.1
74.7,31.6,129.8,27.5,3.5
76.9,27.6,112.6,43.5,4.8
51.7,23.3,55.2,35.6,12.1
70.1,36.3,110.9,21.5,12.2
77.3,31.3,120.3,49.9,7.2
82.2,13.8,157.3,34.2,14.5
54.3,21.8,86.7,10.9,6.8
79.5,29.9,123.6,40.9,9.4
77.0,12.1,134.4,39.2,7.3
62.7,24.7,150.3,27.8,9.1
79.4,32.0,134.3,13.1,6.3
74.0,18.4,139.2,20.8,8.3
77.1,15.8,150.0,41.9,13.1
76.6,13.2,148.0,18.8,5.0
90.3,18.4,181.6,41.6,11.8
78.1,35.1,169.7,28.7,6.2
61.3,10.9,116.1,27.0,14.0
74.6,19.1,117.2,17.8,3.9
81.3,37.2,194.4,23.0,4.0
53.4,31.1,57.5,37.2,12.3
79.2,18.7,179.5,10.7,13.6
72.5,35.2,122.0,12.6,6.3
71.3,21.6,101.2,24.5,7.7
82.9,17.1,172.5,11.7,11.9
72.5,36.7,75.3,21.0,7.1
55.6,11.0,99.3,10.5,12.1
79.8,12.0,149.2,18.6,10.5
84.4,20.1,134.5,31.5,9.3
71.1,32.2,99.4,22.1,3.7
94.7,36.2,194.7,17.0,6.1
63.1,14.2,77.9,48.6,14.5
51.7,24.3,62.2,44.5,10.3
52.0,21.5,104.4,13.0,6.9
83.1,31.1,151.4,19.5,14.4
102.8,27.7,176.1,48.3,14.1
75.5,22.8,147.6,10.1,4.1
67.2,32.6,95.1,39.3,5.0
60.2,13.2,100.3,32.9,12.7
60.8,17.9,89.0,29.3,13.2
83.2,17.7,180.9,29.3,6.3
74.2,19.0,120.0,35.5,12.6
80.2,12.8,135.3,37.4,12.1
55.3,32.3,99.9,49.2,13.9
68.9,24.0,108.4,29.3,12.1
95.3,16.7,189.7,42.4,13.2
95.3,11.7,193.7,19.9,14.2
89.9,21.9,166.6,23.2,5.2
77.2,24.3,103.2,32.1,4.2
90.9,30.8,173.9,18.8,13.3
89.2,13.1,173.8,17.8,12.5
60.6,31.4,114.3,17.8,7.1
79.8,37.1,183.2,12.9,4.6
92.7,17.4,171.7,11.6,9.4
77.8,18.7,87.6,42.6,9.8
60.2,39.9,67.5,28.5,14.6
70.2,24.8,143.2,12.5,13.3
66.6,33.6,123.7,24.9,3.4
56.0,36.4,60.0,26.8,8.5
77.9,13.2,162.9,25.2,8.2
74.2,14.0,162.6,13.8,14.3
67.5,25.6,66.0,32.6,4.1
55.8,39.8,64.7,19.7,11.1
73.5,35.9,125.2,46.5,5.9
96.9,17.5,187.9,21.5,3.8
87.6,31.1,156.0,19.5,4.9
62.0,27.1,100.8,21.8,8.6
62.9,27.8,106.2,27.9,13.9
84.5,24.8,143.6,34.6,11.0
91.3,26.4,174.2,35.8,3.0
67.1,22.3,68.8,34.0,4.0
80.7,20.6,118.2,49.1,14.2
87.3,11.7,174.5,38.7,14.4
83.9,36.1,153.6,45.0,6.2
53.3,37.6,57.2,27.9,9.2
83.8,33.6,138.7,21.4,10.4
88.5,25.9,163.3,47.9,13.8
81.0,32.7,142.1,30.8,13.4
76.0,22.4,114.3,20.5,11.7
73.0,38.3,130.4,17.2,11.1
81.1,23.9,118.6,49.8,14.2
67.2,35.0,76.6,19.3,7.9
75.3,36.4,139.2,26.0,4.4
87.5,13.0,174.9,43.8,7.4
58.1,32.7,79.5,32.0,10.4
69.6,12.6,115.1,46.0,10.3
76.9,22.0,135.4,38.4,11.4
61.3,31.4,97.5,25.1,5.9
92.2,23.9,167.3,44.2,14.9
90.8,25.1,199.2,37.5,8.1
88.9,27.7,187.9,38.9,12.7
56.6,33.5,57.8,45.5,12.9
85.8,10.5,185.3,30.1,8.1
62.9,28.4,97.6,14.4,9.2
61.6,29.4,61.7,28.9,5.1
73.3,21.4,132.6,46.4,6.5
80.1,16.7,124.1,42.6,4.1
77.2,20.6,131.8,46.8,8.7
86.9,27.8,184.0,34.6,12.6
75.8,28.9,135.7,32.2,9.1
72.5,12.0,127.1,26.0,11.9
78.6,32.7,176.0,12.4,3.9
58.8,18.7,88.9,25.0,7.7
94.8,39.2,151.2,16.5,9.9
86.6,34.9,142.1,29.2,4.9
86.4,20.2,142.9,37.1,5.1
68.1,18.4,104.5,40.4,12.4
75.0,21.9,122.0,26.6,12.8
82.5,31.0,162.0,21.5,5.3
79.6,23.8,142.8,47.1,13.2
78.6,17.9,136.9,48.0,7.8
60.4,35.4,54.5,38.9,11.8
61.4,37.3,99.6,15.7,7.3
64.2,19.6,140.2,30.3,9.8
75.9,31.1,195.8,19.9,14.3
67.1,30.6,95.8,17.3,9.2
77.8,19.0,191.6,21.3,6.0
79.5,35.8,100.2,47.2,12.2
87.3,23.9,177.6,21.1,5.4
78.8,31.8,145.8,23.0,10.2
71.2,27.3,102.5,43.4,13.5
79.9,33.9,177.9,46.7,4.7
