"airline","flight","source_city","departure_time","stops","arrival_time","destination_city","class","duration","days_left","price"
"Air_India","AI-864","Mumbai","Early_Morning","one","Evening","Chennai","Business",12,43,49613
"AirAsia","I5-783","Delhi","Early_Morning","one","Late_Night","Bangalore","Economy",17.25,4,9736
"Indigo","6E-827","Hyderabad","Morning","zero","Afternoon","Bangalore","Economy",1.33,9,4453
"Air_India","AI-560","Delhi","Morning","one","Night","Mumbai","Economy",15.75,29,3831
"Indigo","6E-7175","Kolkata","Afternoon","one","Night","Mumbai","Economy",7.33,8,7959
"AirAsia","I5-2473","Kolkata","Morning","one","Late_Night","Mumbai","Economy",14.92,25,3727
"Air_India","AI-803","Delhi","Early_Morning","one","Morning","Mumbai","Economy",26.42,8,12150
"Vistara","UK-832","Chennai","Early_Morning","two_or_more","Night","Bangalore","Economy",13.33,48,6437
"Vistara","UK-878","Hyderabad","Afternoon","one","Evening","Bangalore","Economy",6.33,18,5441
"AirAsia","I5-798","Delhi","Afternoon","one","Late_Night","Mumbai","Economy",13.75,39,2409
"GO_FIRST","G8-7562","Kolkata","Afternoon","one","Evening","Bangalore","Economy",7.17,15,12546
"Vistara","UK-771","Mumbai","Early_Morning","one","Night","Delhi","Economy",14.17,24,8836
"Vistara","UK-870","Hyderabad","Night","one","Evening","Bangalore","Economy",20.42,43,10979
"Air_India","AI-888","Mumbai","Evening","one","Evening","Kolkata","Economy",24.17,18,4556
"Indigo","6E-563","Kolkata","Morning","one","Afternoon","Bangalore","Economy",6.08,40,3860
"Vistara","UK-708","Kolkata","Night","zero","Night","Delhi","Economy",2.33,22,4001
"Vistara","UK-720","Kolkata","Early_Morning","one","Evening","Mumbai","Economy",11.92,46,6067
"Vistara","UK-834","Chennai","Evening","one","Morning","Bangalore","Business",18.67,29,60260
"AirAsia","I5-721","Delhi","Night","zero","Night","Bangalore","Economy",2.83,33,4499
"GO_FIRST","G8-287","Mumbai","Morning","one","Evening","Delhi","Economy",6.92,28,5942
"Vistara","UK-858","Bangalore","Early_Morning","one","Night","Chennai","Business",16.42,12,44280
"Vistara","UK-812","Bangalore","Morning","one","Night","Mumbai","Business",12.25,6,82796
"AirAsia","I5-1530","Bangalore","Afternoon","zero","Afternoon","Chennai","Economy",1,14,3499
"Vistara","UK-940","Mumbai","Evening","one","Afternoon","Hyderabad","Economy",16.83,15,8123
"Vistara","UK-927","Delhi","Morning","one","Evening","Bangalore","Business",8.25,28,49177
"Air_India","AI-573","Bangalore","Afternoon","two_or_more","Evening","Hyderabad","Economy",30.67,40,7395
"Vistara","UK-651","Mumbai","Evening","one","Evening","Bangalore","Business",26.17,37,48213
"Indigo","6E-514","Hyderabad","Afternoon","one","Evening","Bangalore","Economy",4,39,1755
"Vistara","UK-822","Chennai","Morning","one","Night","Bangalore","Economy",13.08,32,4755
"Vistara","UK-802","Bangalore","Evening","one","Morning","Mumbai","Business",14.92,28,69244
"SpiceJet","SG-3027","Bangalore","Early_Morning","one","Early_Morning","Mumbai","Economy",24.92,34,3990
"GO_FIRST","G8-812","Bangalore","Night","one","Afternoon","Mumbai","Economy",13.83,40,4299
"SpiceJet","SG-4009","Bangalore","Early_Morning","one","Night","Kolkata","Economy",14.33,25,4814
"SpiceJet","SG-455","Mumbai","Afternoon","one","Night","Bangalore","Economy",6.83,49,4097
"Vistara","UK-720","Kolkata","Early_Morning","one","Evening","Mumbai","Business",10.5,14,62591
"Vistara","UK-930","Mumbai","Early_Morning","one","Evening","Hyderabad","Business",12.42,13,60365
"Vistara","UK-993","Delhi","Afternoon","one","Night","Chennai","Economy",10.25,38,4979
"Air_India","AI-9875","Hyderabad","Morning","one","Night","Mumbai","Economy",10.08,34,3844
"SpiceJet","SG-3002","Delhi","Early_Morning","one","Night","Bangalore","Economy",15,29,5619
"Air_India","AI-768","Kolkata","Afternoon","one","Morning","Bangalore","Economy",17.42,32,7054
"Vistara","UK-963","Delhi","Morning","one","Early_Morning","Hyderabad","Business",23,4,57812
"Vistara","UK-706","Kolkata","Morning","one","Night","Bangalore","Economy",10.17,12,11675
"Vistara","UK-814","Bangalore","Night","one","Morning","Mumbai","Business",14.42,41,61404
"Air_India","AI-864","Mumbai","Early_Morning","one","Evening","Kolkata","Economy",12.17,17,4977
"Vistara","UK-854","Bangalore","Evening","one","Early_Morning","Hyderabad","Economy",13.42,48,5322
"Air_India","AI-885","Delhi","Morning","one","Late_Night","Mumbai","Business",13.25,11,47217
"Vistara","UK-893","Bangalore","Evening","one","Afternoon","Mumbai","Economy",18.58,27,4792
"Air_India","AI-837","Delhi","Evening","one","Morning","Mumbai","Business",15.33,41,41113
"Air_India","AI-889","Delhi","Morning","one","Evening","Kolkata","Economy",6.67,28,6542
"Vistara","UK-941","Delhi","Evening","one","Night","Chennai","Economy",6.33,35,4979
"Vistara","UK-981","Delhi","Night","one","Early_Morning","Bangalore","Economy",10,8,11100
"Vistara","UK-944","Mumbai","Afternoon","one","Night","Kolkata","Economy",8.08,37,5949
"Vistara","UK-977","Delhi","Evening","one","Early_Morning","Hyderabad","Business",12.83,13,53937
"Vistara","UK-870","Hyderabad","Night","one","Night","Chennai","Economy",23.67,12,11319
"Vistara","UK-899","Delhi","Afternoon","two_or_more","Morning","Kolkata","Economy",18.92,29,9611
"Air_India","AI-868","Delhi","Evening","one","Morning","Bangalore","Business",17.17,42,42457
"Vistara","UK-870","Hyderabad","Night","one","Morning","Chennai","Business",13.33,31,51707
"GO_FIRST","G8-505","Chennai","Evening","one","Early_Morning","Kolkata","Economy",14.25,39,2998
"Vistara","UK-866","Bangalore","Night","one","Night","Hyderabad","Economy",23.25,10,7813
"SpiceJet","SG-4010","Chennai","Morning","one","Late_Night","Delhi","Economy",16.25,10,7352
"Indigo","6E-528","Bangalore","Evening","one","Late_Night","Delhi","Economy",8.83,5,12003
"AirAsia","I5-991","Kolkata","Evening","one","Late_Night","Delhi","Economy",11.08,20,3014
"AirAsia","I5-1780","Bangalore","Early_Morning","one","Morning","Kolkata","Economy",6.83,19,3393
"Vistara","UK-954","Mumbai","Early_Morning","one","Afternoon","Hyderabad","Business",6.58,42,45805
"SpiceJet","SG-4009","Bangalore","Early_Morning","one","Late_Night","Delhi","Economy",18.33,11,7488
"Air_India","AI-747","Kolkata","Night","one","Afternoon","Delhi","Economy",16.67,35,7900
"Vistara","UK-772","Kolkata","Morning","one","Evening","Delhi","Business",6.5,42,66063
"Vistara","UK-986","Mumbai","Night","one","Morning","Kolkata","Economy",9.83,42,5949
"Vistara","UK-897","Bangalore","Early_Morning","two_or_more","Night","Kolkata","Economy",14.83,22,6956
"Vistara","UK-772","Kolkata","Morning","one","Night","Delhi","Economy",10.25,21,6461
"Vistara","UK-706","Kolkata","Morning","two_or_more","Morning","Chennai","Economy",22.58,39,15374
"Vistara","UK-876","Hyderabad","Night","one","Night","Chennai","Business",25.5,14,41314
"Vistara","UK-818","Bangalore","Evening","zero","Night","Delhi","Business",2.75,16,40360
"GO_FIRST","G8-713","Delhi","Evening","one","Morning","Kolkata","Economy",12.75,16,5954
"GO_FIRST","G8-7548","Bangalore","Evening","zero","Night","Mumbai","Economy",1.67,27,2201
"Vistara","UK-880","Hyderabad","Afternoon","one","Night","Bangalore","Economy",7,30,7196
"Vistara","UK-822","Chennai","Morning","zero","Morning","Mumbai","Business",1.92,20,23838
"Vistara","UK-720","Kolkata","Early_Morning","one","Afternoon","Mumbai","Business",6.83,24,56991
"Vistara","UK-878","Hyderabad","Afternoon","one","Evening","Bangalore","Economy",4.83,29,5441
"Vistara","UK-720","Kolkata","Early_Morning","one","Night","Bangalore","Business",15.5,45,60978
"Indigo","6E-2015","Delhi","Evening","zero","Night","Bangalore","Economy",2.92,46,4500
"Vistara","UK-927","Delhi","Morning","one","Early_Morning","Hyderabad","Economy",22.33,19,5772
"Vistara","UK-809","Delhi","Evening","zero","Night","Bangalore","Business",2.83,26,32859
"Air_India","AI-631","Mumbai","Evening","two_or_more","Night","Hyderabad","Economy",28.25,4,11617
"Air_India","AI-429","Chennai","Afternoon","one","Afternoon","Mumbai","Business",26.58,22,31622
"GO_FIRST","G8-7560","Kolkata","Afternoon","one","Night","Mumbai","Economy",7.33,18,5790
"Air_India","AI-889","Delhi","Morning","one","Afternoon","Kolkata","Business",6.42,48,44478
"Vistara","UK-945","Delhi","Morning","one","Evening","Kolkata","Economy",8.25,32,6821
"AirAsia","I5-2473","Kolkata","Morning","one","Afternoon","Chennai","Economy",5.25,34,3961
"Vistara","UK-810","Bangalore","Early_Morning","zero","Morning","Delhi","Business",2.67,8,32923
"Indigo","6E-7223","Bangalore","Afternoon","one","Evening","Hyderabad","Economy",4.58,41,1694
"Air_India","AI-770","Kolkata","Night","one","Afternoon","Bangalore","Economy",15.75,18,7473
"Vistara","UK-706","Kolkata","Morning","one","Evening","Hyderabad","Business",6.75,39,52175
"Air_India","AI-669","Mumbai","Morning","two_or_more","Evening","Bangalore","Economy",28.25,7,14766
"Vistara","UK-708","Kolkata","Night","one","Afternoon","Mumbai","Business",16.17,44,72671
"Vistara","UK-858","Bangalore","Early_Morning","one","Evening","Kolkata","Business",10.17,21,51817
"Indigo","6E-5214","Mumbai","Morning","one","Evening","Chennai","Economy",5.08,37,6313
"Vistara","UK-860","Hyderabad","Early_Morning","one","Night","Chennai","Business",13.42,31,51707
"Air_India","AI-435","Delhi","Early_Morning","one","Night","Mumbai","Business",17.5,32,29776
"Indigo","6E-5384","Mumbai","Morning","one","Afternoon","Delhi","Economy",6.42,18,6048
"Vistara","UK-878","Hyderabad","Afternoon","one","Night","Chennai","Business",10.17,21,41314
"Air_India","AI-429","Delhi","Morning","one","Evening","Mumbai","Economy",7.25,25,4748
"Vistara","UK-986","Mumbai","Night","one","Morning","Kolkata","Business",10.83,28,49725
"Air_India","AI-774","Mumbai","Night","one","Morning","Delhi","Economy",12.75,47,4927
"Air_India","AI-698","Hyderabad","Night","one","Evening","Delhi","Economy",20,7,15058
"Vistara","UK-874","Hyderabad","Morning","one","Morning","Bangalore","Economy",24.33,36,5441
"Vistara","UK-822","Chennai","Morning","one","Night","Bangalore","Business",11.17,42,44144
"Air_India","AI-807","Delhi","Evening","zero","Night","Bangalore","Economy",2.75,33,4427
"Vistara","UK-818","Bangalore","Evening","one","Afternoon","Hyderabad","Economy",16.92,17,6133
"GO_FIRST","G8-2509","Delhi","Early_Morning","one","Afternoon","Mumbai","Economy",9.75,15,5954
"Vistara","UK-708","Kolkata","Night","one","Morning","Hyderabad","Economy",13.25,7,10425
"Vistara","UK-986","Mumbai","Night","one","Night","Chennai","Business",21.5,48,49613
"Air_India","AI-865","Delhi","Morning","zero","Afternoon","Mumbai","Economy",2.17,16,2791
"Vistara","UK-890","Hyderabad","Evening","one","Night","Mumbai","Business",5.17,4,83594
"Vistara","UK-986","Mumbai","Night","one","Morning","Bangalore","Business",12.08,6,54608
"AirAsia","I5-992","Bangalore","Night","zero","Late_Night","Kolkata","Economy",2.42,41,3393
"Vistara","UK-833","Delhi","Early_Morning","zero","Morning","Chennai","Business",2.75,26,27864
"Air_India","AI-481","Delhi","Morning","one","Night","Mumbai","Business",14.75,45,29776
"Indigo","6E-5211","Hyderabad","Evening","one","Late_Night","Kolkata","Economy",7.75,41,2057
"Air_India","AI-440","Chennai","Early_Morning","one","Morning","Kolkata","Economy",26.83,45,4784
"Vistara","UK-899","Delhi","Afternoon","one","Evening","Bangalore","Economy",4.75,7,9840
"Vistara","UK-981","Delhi","Night","one","Evening","Chennai","Business",22.25,43,57992
"Air_India","AI-401","Delhi","Early_Morning","one","Night","Chennai","Economy",14.5,9,11520
"Indigo","6E-967","Delhi","Evening","one","Night","Bangalore","Economy",5.08,9,9735
"Vistara","UK-813","Delhi","Evening","one","Morning","Hyderabad","Economy",15.5,11,11310
"Air_India","AI-516","Bangalore","Early_Morning","one","Early_Morning","Chennai","Economy",24.42,28,3174
"AirAsia","I5-972","Bangalore","Evening","two_or_more","Late_Night","Delhi","Economy",8.75,18,2723
"Vistara","UK-834","Chennai","Evening","one","Morning","Bangalore","Business",18.67,18,60260
"Air_India","AI-431","Delhi","Afternoon","one","Afternoon","Mumbai","Business",26.17,3,34982
"Vistara","UK-859","Delhi","Morning","two_or_more","Morning","Kolkata","Economy",23.25,18,9611
"Air_India","AI-888","Mumbai","Evening","one","Morning","Chennai","Business",13.92,10,49613
"Air_India","AI-738","Bangalore","Morning","one","Night","Delhi","Business",11.17,48,39847
"Vistara","UK-818","Bangalore","Evening","one","Morning","Kolkata","Economy",12.92,41,8112
"Air_India","AI-573","Bangalore","Afternoon","one","Night","Chennai","Economy",8.5,9,10744
"Indigo","6E-893","Kolkata","Morning","one","Evening","Chennai","Economy",8.58,30,6344
"Vistara","UK-874","Hyderabad","Morning","one","Night","Delhi","Economy",13.42,34,6292
"Indigo","6E-6818","Mumbai","Evening","one","Night","Bangalore","Economy",4.08,22,4056
"Vistara","UK-945","Delhi","Morning","one","Evening","Bangalore","Economy",6.08,41,4496
"Air_India","AI-660","Mumbai","Evening","one","Evening","Chennai","Economy",25,2,9201
"Air_India","AI-540","Delhi","Night","one","Morning","Kolkata","Economy",12.92,14,11357
"Vistara","UK-772","Kolkata","Morning","one","Night","Bangalore","Economy",12.42,32,6195
"Indigo","6E-6722","Delhi","Night","zero","Night","Mumbai","Economy",2.25,12,6165
"Vistara","UK-880","Hyderabad","Afternoon","one","Night","Kolkata","Economy",9.33,40,5960
"Vistara","UK-720","Kolkata","Early_Morning","one","Afternoon","Mumbai","Business",7.83,44,62591
"Vistara","UK-738","Kolkata","Evening","one","Night","Hyderabad","Economy",28.17,24,7020
"Vistara","UK-930","Mumbai","Early_Morning","one","Evening","Kolkata","Economy",12.08,29,6634
"Vistara","UK-953","Delhi","Night","one","Evening","Chennai","Business",23.25,7,53624
"GO_FIRST","G8-323","Delhi","Evening","one","Early_Morning","Chennai","Economy",12.83,25,4896
"Air_India","AI-502","Delhi","Afternoon","one","Early_Morning","Kolkata","Business",15.75,7,57405
"Air_India","AI-868","Delhi","Evening","zero","Evening","Mumbai","Economy",2,23,2791
"Vistara","UK-772","Kolkata","Morning","one","Morning","Bangalore","Economy",24.33,32,6195
"Air_India","AI-559","Hyderabad","Early_Morning","one","Night","Kolkata","Economy",15.83,22,5209
"Vistara","UK-812","Bangalore","Morning","zero","Afternoon","Delhi","Business",2.92,18,32923
"Air_India","AI-9547","Bangalore","Evening","one","Late_Night","Delhi","Economy",8.67,19,7017
"Indigo","6E-7403","Delhi","Early_Morning","one","Afternoon","Chennai","Economy",5,39,3389
"Vistara","UK-830","Hyderabad","Morning","one","Night","Mumbai","Business",11.67,8,66155
"Vistara","UK-828","Chennai","Early_Morning","one","Night","Delhi","Business",16,8,57920
"Vistara","UK-832","Chennai","Early_Morning","one","Evening","Kolkata","Economy",12.67,19,6147
"GO_FIRST","G8-320","Bangalore","Evening","one","Early_Morning","Kolkata","Economy",11.5,2,5177
"Air_India","AI-539","Chennai","Evening","one","Late_Night","Bangalore","Economy",7.17,12,16593
"Indigo","6E-126","Chennai","Evening","one","Night","Kolkata","Economy",5.92,22,5956
"Air_India","AI-660","Mumbai","Evening","one","Evening","Bangalore","Business",22.25,38,54608
"Vistara","UK-720","Kolkata","Early_Morning","one","Afternoon","Mumbai","Business",5.42,24,62591
"Vistara","UK-801","Delhi","Morning","zero","Morning","Bangalore","Economy",2.75,36,4501
"Indigo","6E-2147","Delhi","Night","one","Early_Morning","Chennai","Economy",8.67,22,3349
"Air_India","AI-610","Bangalore","Evening","one","Night","Delhi","Economy",26.08,40,4294
"Vistara","UK-866","Bangalore","Night","one","Night","Chennai","Economy",25.42,29,4672
"Vistara","UK-772","Kolkata","Morning","one","Night","Bangalore","Business",12.42,25,52287
"Vistara","UK-890","Hyderabad","Evening","one","Morning","Chennai","Economy",16.25,5,11319
"AirAsia","I5-410","Bangalore","Early_Morning","one","Afternoon","Delhi","Economy",7.58,17,4112
"Vistara","UK-828","Chennai","Early_Morning","one","Night","Bangalore","Economy",15.83,5,9730
"Air_India","AI-430","Chennai","Morning","one","Night","Bangalore","Economy",14,45,6308
"Vistara","UK-774","Kolkata","Night","one","Morning","Chennai","Business",12.25,44,55502
"Vistara","UK-828","Chennai","Early_Morning","one","Afternoon","Delhi","Economy",5.67,16,5416
"Vistara","UK-928","Mumbai","Early_Morning","one","Evening","Kolkata","Business",13.08,24,57565
"Vistara","UK-813","Delhi","Evening","one","Night","Mumbai","Business",5.83,19,53164
"Air_India","AI-429","Chennai","Afternoon","two_or_more","Evening","Bangalore","Business",29.17,4,51928
"Vistara","UK-830","Hyderabad","Morning","one","Night","Mumbai","Business",13.5,12,66267
"Vistara","UK-659","Hyderabad","Morning","one","Night","Mumbai","Economy",10.25,16,10019
"GO_FIRST","G8-304","Chennai","Afternoon","one","Late_Night","Delhi","Economy",11.08,17,4827
"Air_India","AI-673","Mumbai","Early_Morning","one","Afternoon","Kolkata","Business",4.25,8,31436
"Vistara","UK-846","Bangalore","Morning","one","Night","Delhi","Business",13.42,8,65033
"Vistara","UK-834","Chennai","Evening","one","Evening","Hyderabad","Business",26.42,46,51457
"Air_India","AI-9843","Delhi","Early_Morning","one","Afternoon","Mumbai","Economy",9.75,24,5808
"Air_India","AI-673","Mumbai","Early_Morning","one","Night","Hyderabad","Business",13.33,22,50868
"Vistara","UK-870","Hyderabad","Night","zero","Night","Delhi","Business",2.25,29,38648
"Air_India","AI-864","Mumbai","Early_Morning","zero","Morning","Delhi","Business",2.17,40,22140
"Vistara","UK-955","Delhi","Evening","one","Evening","Kolkata","Business",23.08,38,67769
"Vistara","UK-874","Hyderabad","Morning","one","Night","Chennai","Business",14.58,46,41314
"Air_India","AI-430","Chennai","Morning","one","Night","Kolkata","Economy",13.75,25,7472
"Vistara","UK-940","Mumbai","Evening","one","Evening","Chennai","Business",20.58,7,64173
"AirAsia","I5-767","Mumbai","Early_Morning","zero","Morning","Delhi","Economy",2.08,39,2987
"Vistara","UK-828","Chennai","Early_Morning","one","Night","Bangalore","Economy",13.92,13,9105
"Indigo","6E-6339","Bangalore","Early_Morning","one","Morning","Delhi","Economy",6.75,44,4071
"Indigo","6E-5013","Mumbai","Early_Morning","zero","Early_Morning","Delhi","Economy",2.08,12,5943
"Vistara","UK-994","Mumbai","Morning","one","Night","Hyderabad","Business",12.5,16,66077
"Indigo","6E-2026","Delhi","Morning","one","Evening","Chennai","Economy",10.92,2,7950
"Air_India","AI-868","Delhi","Evening","zero","Evening","Mumbai","Economy",2,6,5955
"GO_FIRST","G8-505","Chennai","Evening","zero","Evening","Hyderabad","Economy",1.25,36,1105
"Vistara","UK-836","Chennai","Morning","one","Night","Mumbai","Business",10,35,80566
"Vistara","UK-928","Mumbai","Early_Morning","one","Night","Bangalore","Business",13.92,47,62448
"Air_India","AI-563","Chennai","Afternoon","one","Night","Mumbai","Business",6.75,47,32305
"Air_India","AI-402","Kolkata","Morning","one","Evening","Mumbai","Business",7.58,40,50271
"Air_India","AI-542","Delhi","Morning","one","Morning","Bangalore","Economy",25,3,9840
"AirAsia","I5-974","Hyderabad","Night","zero","Night","Bangalore","Economy",0.92,48,1776
"Vistara","UK-720","Kolkata","Early_Morning","one","Night","Mumbai","Economy",12.92,39,6711
"Vistara","UK-928","Mumbai","Early_Morning","one","Evening","Chennai","Economy",9.83,15,12468
"Vistara","UK-836","Chennai","Morning","one","Evening","Hyderabad","Business",6.25,23,51457
"Indigo","6E-796","Chennai","Night","zero","Late_Night","Delhi","Economy",2.83,10,7352
"Vistara","UK-808","Bangalore","Early_Morning","one","Night","Mumbai","Economy",14.83,20,6568
"Vistara","UK-897","Bangalore","Early_Morning","two_or_more","Evening","Kolkata","Economy",10.17,9,15835
"Air_India","AI-565","Bangalore","Afternoon","one","Morning","Delhi","Business",20.42,24,37658
"Vistara","UK-822","Chennai","Morning","one","Night","Delhi","Business",12.17,21,68112
"Air_India","AI-768","Kolkata","Afternoon","one","Afternoon","Chennai","Economy",21.17,23,7595
"Vistara","UK-835","Delhi","Evening","one","Morning","Mumbai","Business",13.08,42,51384
"Vistara","UK-830","Hyderabad","Morning","two_or_more","Night","Bangalore","Economy",13,30,7196
"Vistara","UK-880","Hyderabad","Afternoon","one","Night","Chennai","Economy",9.33,36,4359
"Vistara","UK-970","Mumbai","Morning","one","Night","Bangalore","Economy",14.58,7,12468
"AirAsia","I5-1528","Bangalore","Early_Morning","one","Evening","Kolkata","Economy",13.33,8,14231
"Vistara","UK-708","Kolkata","Night","one","Morning","Hyderabad","Business",13.25,13,52175
"Vistara","UK-879","Delhi","Evening","two_or_more","Morning","Kolkata","Business",16,38,72339
"Vistara","UK-994","Mumbai","Morning","one","Night","Kolkata","Business",12.33,12,62045
"Indigo","6E-2026","Delhi","Morning","one","Afternoon","Chennai","Economy",7.58,40,3996
"Vistara","UK-866","Bangalore","Night","one","Night","Chennai","Business",25.42,22,44280
"Air_India","AI-804","Bangalore","Early_Morning","one","Afternoon","Kolkata","Business",8.33,3,62748
"Vistara","UK-870","Hyderabad","Night","one","Morning","Bangalore","Economy",12.08,22,6310
"Indigo","6E-599","Kolkata","Morning","one","Evening","Hyderabad","Economy",8.58,6,12317
"Indigo","6E-2077","Mumbai","Afternoon","one","Night","Kolkata","Economy",7.25,6,11346
"Vistara","UK-826","Chennai","Afternoon","one","Evening","Kolkata","Economy",28.33,16,8394
"Vistara","UK-810","Bangalore","Early_Morning","one","Afternoon","Hyderabad","Business",5.58,34,56588
"Indigo","6E-6307","Hyderabad","Afternoon","one","Night","Delhi","Economy",8.42,45,3397
"SpiceJet","SG-4010","Chennai","Morning","one","Evening","Kolkata","Economy",11.58,28,4547
"Indigo","6E-932","Mumbai","Morning","one","Evening","Hyderabad","Economy",10.58,49,3220
"Vistara","UK-988","Mumbai","Night","one","Morning","Chennai","Economy",13,22,10264
"Vistara","UK-774","Kolkata","Night","one","Morning","Bangalore","Business",12.25,4,57999
"Vistara","UK-994","Mumbai","Morning","one","Evening","Kolkata","Economy",7.67,14,11129
"Air_India","AI-505","Bangalore","Morning","one","Morning","Chennai","Economy",22.5,24,6444
"Air_India","AI-649","Mumbai","Early_Morning","one","Early_Morning","Delhi","Economy",24.67,8,12728
"Vistara","UK-772","Kolkata","Morning","one","Early_Morning","Hyderabad","Economy",21.42,6,11318
"Indigo","6E-7185","Chennai","Morning","one","Evening","Hyderabad","Economy",7.92,41,1105
"Air_India","AI-440","Chennai","Early_Morning","one","Evening","Mumbai","Economy",34.25,4,13616
"Vistara","UK-839","Delhi","Afternoon","zero","Evening","Chennai","Business",2.83,10,27864
"Air_India","AI-440","Chennai","Early_Morning","one","Afternoon","Bangalore","Economy",32.17,18,6924
"Indigo","6E-495","Chennai","Early_Morning","zero","Early_Morning","Hyderabad","Economy",1.17,42,1551
"AirAsia","I5-779","Delhi","Early_Morning","one","Evening","Hyderabad","Economy",13.67,47,2050
"Vistara","UK-995","Delhi","Morning","one","Night","Bangalore","Economy",10.58,31,4496
"Air_India","AI-543","Hyderabad","Morning","one","Night","Mumbai","Business",10.83,29,45883
"Vistara","UK-838","Chennai","Night","one","Morning","Hyderabad","Economy",12.58,5,11069
"AirAsia","I5-1563","Kolkata","Evening","two_or_more","Afternoon","Delhi","Economy",18.33,39,3014
"Vistara","UK-850","Bangalore","Evening","one","Night","Hyderabad","Economy",25,16,5322
"GO_FIRST","G8-336","Delhi","Afternoon","one","Night","Chennai","Economy",8,43,4896
"AirAsia","I5-471","Mumbai","Night","one","Morning","Delhi","Economy",11.33,21,2336
"Air_India","AI-442","Mumbai","Afternoon","one","Evening","Kolkata","Business",27.58,41,49725
"Air_India","AI-9876","Bangalore","Afternoon","one","Evening","Chennai","Economy",28.42,10,16414
"Air_India","AI-9843","Delhi","Early_Morning","one","Afternoon","Mumbai","Economy",9.75,10,17295
