Gender,Ages,Customer_Type,Class,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
Female,20_29,L,Business,0,0
Female,20_29,L,Eco,3,7
Male,20_29,L,Eco,0,0
Female,20_29,L,Business,0,0
Male,20_29,L,Eco,0,0
Male,20_29,L,Eco,0,1
Male,20_29,L,Business,0,0
Female,20_29,NL,Business,5,0
Male,20_29,L,Business,0,0
Male,20_29,L,Eco,0,0
Male,20_29,L,Eco,4,14
Male,20_29,L,Eco,0,0
Male,20_29,L,Eco,0,0
Female,20_29,L,Eco,52,38
Female,20_29,L,Eco,11,21
Female,20_29,NL,Eco,0,0
Female,20_29,L,Business,0,2
Female,20_29,L,Business,19,14
Male,20_29,L,Business,0,0
Male,20_29,L,Eco,0,0
Female,20_29,L,Eco,0,0
Female,20_29,L,Business,0,0
Male,20_29,L,Business,0,0
Male,20_29,NL,Business,0,0
Male,20_29,NL,Business,26,27
Male,20_29,L,Business,0,3
Male,20_29,L,Business,8,0
Male,20_29,L,Eco,0,0
Male,20_29,L,Business,0,0
Male,20_29,NL,Business,0,0
Male,20_29,L,Eco,31,24
Female,20_29,L,Business,0,2
Female,20_29,L,Eco,0,0
Female,20_29,L,Business,0,0
Female,20_29,L,Eco,0,3
Male,20_29,L,Eco,0,0
Female,20_29,NL,Business,5,0
Female,20_29,NL,Business,76,69
Male,20_29,L,Business,0,0
Male,30_39,NL,Business,22,1
Male,30_39,L,Eco,0,0
Female,30_39,NL,Business,17,4
Male,30_39,L,Business,16,0
Female,30_39,L,Eco,16,13
Male,30_39,L,Eco,0,4
Female,30_39,L,Business,0,0
Male,30_39,L,Eco,0,0
Male,30_39,NL,Business,119,116
Male,30_39,NL,Business,0,0
Female,30_39,L,Eco,0,1
Male,30_39,NL,Eco,0,0
Male,30_39,L,Business,0,0
Male,30_39,NL,Eco,0,0
Male,30_39,NL,Eco,1,0
Male,30_39,NL,Eco,1,0
Female,30_39,L,Business,14,44
Male,30_39,L,Business,0,0
Male,30_39,L,Eco,0,0
Male,30_39,NL,Business,2,50
Female,30_39,L,Eco,1,0
Female,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Female,30_39,NL,Eco,92,86
Male,30_39,NL,Eco,0,0
Female,30_39,L,Eco,0,0
Male,30_39,NL,Business,0,0
Male,30_39,L,Business,5,1
Male,30_39,L,Eco,43,36
Male,30_39,L,Business,0,4
Male,30_39,L,Business,0,5
Female,30_39,L,Business,0,0
Female,30_39,L,Eco,0,0
Female,30_39,NL,Business,71,47
Male,30_39,NL,Eco,0,0
Male,30_39,NL,Business,0,0
Male,30_39,NL,Eco,0,6
Male,30_39,L,Business,10,5
Male,30_39,L,Business,13,8
Female,30_39,NL,Business,0,10
Male,30_39,NL,Eco,80,66
Male,30_39,L,Business,0,0
Female,30_39,NL,Business,0,0
Female,30_39,L,Business,11,8
Female,30_39,L,Business,0,0
Female,30_39,NL,Business,0,0
Male,30_39,NL,Business,0,0
Female,30_39,NL,Business,0,0
Male,30_39,NL,Business,0,0
Female,30_39,NL,Business,0,10
Female,30_39,L,Business,0,0
Female,30_39,NL,Business,31,18
Female,30_39,NL,Business,0,0
Male,30_39,L,Business,45,51
Male,30_39,L,Business,0,0
Female,30_39,L,Business,8,22
Male,30_39,L,Business,0,0
Male,30_39,L,Business,7,0
Male,30_39,NL,Eco,0,0
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,1,0
Male,30_39,NL,Business,0,0
Female,30_39,L,Eco,0,0
Male,30_39,L,Business,41,22
Female,30_39,NL,Eco,0,0
Female,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Female,30_39,NL,Business,7,0
Female,30_39,L,Eco,0,0
Female,30_39,L,Business,4,9
Female,30_39,L,Business,34,38
Female,30_39,NL,Business,112,117
Female,30_39,L,Business,60,61
Male,30_39,NL,Business,61,51
Female,30_39,L,Business,0,0
Female,30_39,L,Business,74,65
Male,30_39,L,Business,0,5
Male,30_39,NL,Business,0,7
Male,30_39,NL,Eco,0,0
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,6,5
Female,30_39,NL,Eco,0,0
Female,30_39,L,Business,13,12
Female,30_39,L,Business,0,2
Male,30_39,L,Eco,7,0
Male,30_39,NL,Eco,0,1
Male,30_39,L,Eco,67,44
Male,30_39,NL,Business,0,0
Female,30_39,L,Business,0,0
Male,30_39,L,Business,0,0
Female,30_39,NL,Business,16,0
Male,30_39,L,Business,7,2
Male,30_39,NL,Business,0,1
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,3
Male,40_49,L,Eco,1,0
Female,40_49,L,Business,8,7
Male,40_49,NL,Business,0,0
Female,40_49,NL,Eco,10,19
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,5
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,NL,Eco,166,167
Male,40_49,L,Business,3,0
Female,40_49,NL,Eco,32,24
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Female,40_49,NL,Business,1,0
Female,40_49,L,Business,0,5
Male,40_49,NL,Business,32,20
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Eco,10,2
Female,40_49,NL,Business,0,0
Female,40_49,L,Business,4,0
Male,40_49,NL,Business,0,4
Male,40_49,L,Business,0,0
Female,40_49,L,Business,12,6
Male,40_49,L,Business,0,6
Male,40_49,L,Business,0,0
Female,40_49,L,Business,13,17
Male,40_49,L,Business,0,6
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Female,40_49,NL,Eco,0,1
Female,40_49,NL,Business,1,0
Male,40_49,L,Business,133,133
Female,40_49,L,Business,0,19
Male,40_49,L,Business,2,0
Female,40_49,L,Business,48,46
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,9,9
Female,40_49,L,Eco,28,41
Male,40_49,L,Business,4,23
Male,40_49,NL,Business,0,0
Male,40_49,NL,Business,0,0
Female,40_49,L,Eco,0,0
Male,40_49,L,Business,14,0
Female,40_49,NL,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Business,27,56
Male,40_49,NL,Business,92,76
Female,40_49,L,Business,0,5
Male,40_49,NL,Business,3,0
Female,40_49,NL,Eco,0,2
Male,40_49,L,Business,2,0
Female,40_49,L,Business,0,0
Female,40_49,NL,Business,6,15
Male,40_49,NL,Business,42,22
Female,40_49,L,Business,4,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,9,13
Male,40_49,NL,Eco,0,0
Male,40_49,NL,Eco,0,10
Male,40_49,L,Business,31,78
Male,40_49,L,Business,9,0
Male,40_49,L,Business,0,0
Female,40_49,NL,Eco,0,0
Female,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,NL,Business,2,0
Female,40_49,NL,Business,0,16
Female,40_49,NL,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,NL,Business,0,0
Male,40_49,NL,Business,41,27
Female,40_49,L,Business,25,17
Female,40_49,NL,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,3,19
Male,40_49,NL,Business,11,0
Female,40_49,NL,Business,0,0
Female,40_49,NL,Business,0,0
Female,40_49,L,Eco,1,17
Male,40_49,NL,Eco,0,0
Female,40_49,L,Business,0,0
Male,40_49,NL,Eco,59,58
Male,40_49,NL,Eco,167,159
Female,40_49,NL,Eco,0,0
Female,40_49,L,Business,0,0
Female,40_49,NL,Eco,0,0
Female,40_49,NL,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,7,0
Male,40_49,NL,Business,2,4
Female,40_49,NL,Eco,6,3
Male,40_49,NL,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,50,48
Male,40_49,L,Business,0,0
Female,40_49,NL,Business,7,9
Male,40_49,L,Business,3,0
Male,40_49,L,Eco,0,0
Female,40_49,NL,Business,0,0
Male,40_49,NL,Eco,0,8
Male,40_49,L,Business,101,110
Male,40_49,L,Business,11,22
Male,40_49,NL,Eco,17,7
Male,40_49,NL,Business,14,44
Male,40_49,L,Business,2,26
Male,50_59,NL,Eco,0,0
Male,50_59,L,Business,18,55
Female,50_59,L,Business,0,0
Male,50_59,NL,Business,0,0
Female,50_59,L,Business,0,0
Female,50_59,L,Business,30,28
Female,50_59,NL,Business,0,0
Female,50_59,L,Eco,0,0
Female,50_59,L,Business,0,0
Female,50_59,NL,Business,14,12
Male,50_59,L,Business,6,0
Female,50_59,L,Business,12,11
Female,50_59,L,Business,12,0
Female,50_59,L,Eco,0,0
Female,50_59,L,Business,6,0
Male,50_59,NL,Eco,0,0
Male,50_59,L,Business,0,0
Female,50_59,NL,Business,0,5
Female,50_59,L,Business,0,0
Male,50_59,L,Business,2,3
Female,50_59,NL,Eco,4,0
Female,50_59,NL,Business,0,0
Female,50_59,L,Business,2,0
Male,50_59,NL,Business,0,8
Female,50_59,NL,Business,0,0
Male,50_59,NL,Business,0,3
Female,50_59,NL,Eco,7,0
Female,50_59,L,Eco,8,0
Male,50_59,L,Business,9,0
Female,50_59,L,Business,0,0
Female,50_59,L,Business,4,27
Male,50_59,L,Business,26,21
Male,50_59,NL,Eco,0,0
Female,50_59,L,Business,2,0
Female,50_59,NL,Business,7,0
Female,50_59,NL,Eco,0,0
Female,50_59,NL,Eco,0,0
Female,50_59,L,Business,3,0
Female,50_59,L,Business,0,0
Female,50_59,NL,Eco,0,0
Female,50_59,NL,Business,0,0
Male,50_59,NL,Business,0,0
Female,50_59,NL,Business,44,66
Female,50_59,L,Eco,26,32
Female,50_59,NL,Eco,77,102
Male,50_59,L,Business,4,0
Male,50_59,NL,Business,0,0
Male,50_59,NL,Business,5,0
Male,50_59,L,Eco,3,0
Female,50_59,L,Business,0,0
Female,50_59,L,Business,0,0
Male,50_59,L,Business,0,0
Female,50_59,NL,Business,0,0
Male,50_59,L,Business,30,21
Female,50_59,NL,Business,0,0
Female,50_59,L,Business,0,0
Male,50_59,L,Business,21,8
Female,50_59,L,Business,0,0
Male,50_59,NL,Business,0,0
Male,50_59,L,Business,0,8
Male,50_59,L,Business,0,0
Male,50_59,L,Eco,0,0
Female,50_59,NL,Business,0,0
Female,50_59,L,Business,1,14
Male,50_59,L,Business,1,0
Female,50_59,NL,Eco,0,1
Female,50_59,NL,Business,8,0
Female,50_59,NL,Eco,12,2
Male,50_59,L,Eco,0,0
Male,50_59,NL,Business,0,2
Female,50_59,L,Business,0,0
Male,50_59,NL,Eco,0,0
Male,50_59,NL,Eco,19,22
Male,50_59,L,Business,3,0
Male,50_59,L,Eco,57,51
Female,50_59,NL,Business,0,0
Male,50_59,NL,Eco,2,3
Female,50_59,L,Business,0,2
Female,50_59,L,Eco,0,0
Female,50_59,NL,Business,0,0
Male,50_59,L,Business,0,3
Male,50_59,L,Business,0,0
Female,50_59,NL,Business,71,85
Male,50_59,NL,Eco,0,0
Male,50_59,L,Business,0,0
Female,50_59,L,Business,10,7
Male,50_59,NL,Business,0,0
Male,50_59,NL,Business,11,0
Female,50_59,NL,Business,24,18
Male,50_59,NL,Business,0,0
Male,50_59,NL,Business,25,7
Female,50_59,NL,Business,0,0
Female,50_59,NL,Business,0,0
Female,50_59,L,Eco,0,2
Male,50_59,L,Eco,0,0
Male,50_59,NL,Eco,22,10
Male,50_59,NL,Business,9,15
Male,50_59,L,Business,0,0
Male,50_59,L,Business,8,5
Female,50_59,L,Business,0,6
Male,"[20, 30)",L,Eco,0,0
Female,20_29,L,Business,59,70
Female,20_29,L,Business,0,0
Male,20_29,NL,Business,0,14
Female,20_29,L,Business,52,52
Female,20_29,NL,Business,0,6
Female,20_29,NL,Business,0,0
Male,20_29,NL,Business,0,0
Male,20_29,L,Business,0,0
Female,20_29,L,Business,0,0
Female,20_29,L,Eco,0,0
Female,20_29,NL,Business,5,0
Male,20_29,NL,Business,0,0
Male,20_29,L,Eco,9,0
Female,20_29,L,Eco,0,0
Female,20_29,L,Business,0,4
Female,20_29,NL,Eco,15,19
Male,20_29,L,Eco,1,0
Male,20_29,NL,Business,0,0
Female,20_29,NL,Business,0,0
Female,20_29,L,Business,0,3
Female,20_29,L,Business,0,14
Female,20_29,L,Business,0,0
Female,20_29,NL,Business,24,17
Male,20_29,L,Business,17,11
Male,20_29,L,Business,5,12
Male,20_29,NL,Eco,0,0
Female,20_29,L,Business,0,3
Male,20_29,L,Eco,10,2
Male,20_29,NL,Business,0,0
Male,20_29,NL,Business,0,10
Male,20_29,NL,Business,0,0
Male,20_29,NL,Eco,185,190
Male,20_29,L,Business,0,0
Female,20_29,NL,Business,29,22
Female,20_29,L,Business,8,8
Male,20_29,L,Business,0,0
Female,20_29,L,Business,17,0
Male,20_29,L,Business,0,0
Male,20_29,NL,Business,0,0
Female,20_29,NL,Business,3,0
Male,20_29,NL,Business,0,100
Male,20_29,NL,Business,0,0
Male,20_29,NL,Business,0,1
Female,30_39,NL,Business,7,0
Male,30_39,L,Business,0,0
Female,30_39,L,Business,148,163
Male,30_39,NL,Business,12,3
Male,30_39,NL,Business,21,12
Male,30_39,NL,Eco,0,0
Female,30_39,L,Eco,0,0
Male,30_39,NL,Business,3,0
Male,30_39,NL,Business,107,92
Male,30_39,L,Business,11,13
Female,30_39,L,Eco,0,0
Female,30_39,NL,Eco,0,0
Female,30_39,L,Business,0,0
Female,30_39,L,Business,2,0
Female,30_39,NL,Business,18,0
Female,30_39,L,Eco,0,0
Female,30_39,NL,Business,6,0
Female,30_39,L,Business,2,0
Male,30_39,NL,Eco,15,0
Male,30_39,NL,Business,0,0
Male,30_39,NL,Business,4,0
Male,30_39,L,Eco,0,0
Female,30_39,L,Business,2,4
Female,30_39,NL,Business,0,0
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,0,0
Female,30_39,NL,Business,0,1
Male,30_39,L,Business,0,0
Male,30_39,L,Business,0,0
Male,30_39,NL,Business,14,6
Male,30_39,NL,Business,0,0
Female,30_39,L,Business,51,45
Male,30_39,L,Eco,0,0
Male,30_39,L,Business,0,0
Female,30_39,NL,Business,0,0
Female,30_39,L,Business,0,0
Male,30_39,L,Business,2,8
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,32,19
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,4,8
Female,30_39,NL,Eco,1,0
Male,30_39,L,Eco,0,0
Male,30_39,L,Business,0,0
Female,30_39,L,Eco,0,0
Male,30_39,NL,Eco,0,2
Male,30_39,L,Business,0,0
Male,30_39,L,Business,1,0
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,0,0
Female,30_39,L,Business,0,0
Female,30_39,L,Eco,0,16
Female,30_39,L,Business,26,25
Female,30_39,NL,Business,0,0
Female,30_39,NL,Business,0,0
Female,30_39,L,Business,0,0
Male,30_39,NL,Eco,4,12
Male,30_39,L,Eco,0,0
Female,30_39,L,Eco,0,0
Male,30_39,L,Business,6,0
Male,30_39,L,Business,0,0
Female,30_39,L,Business,0,1
Male,30_39,NL,Business,0,0
Female,30_39,L,Business,1,0
Female,30_39,L,Business,161,163
Female,30_39,L,Business,0,45
Male,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Male,30_39,L,Business,0,0
Male,30_39,L,Business,9,20
Male,30_39,NL,Eco,1,0
Female,30_39,NL,Business,13,2
Male,30_39,L,Business,0,0
Female,30_39,NL,Business,0,0
Male,30_39,L,Business,125,112
Male,30_39,L,Eco,0,0
Female,30_39,NL,Business,0,0
Female,30_39,NL,Business,1,0
Male,30_39,L,Business,0,0
Male,30_39,L,Eco,0,0
Female,30_39,L,Business,0,0
Female,30_39,NL,Eco,0,0
Male,30_39,NL,Business,0,0
Male,30_39,L,Business,0,0
Male,30_39,L,Business,0,4
Female,30_39,NL,Business,19,12
Male,30_39,L,Business,0,0
Male,30_39,L,Business,0,0
Female,30_39,L,Eco,0,0
Male,30_39,L,Business,0,0
Male,30_39,L,Business,0,0
Female,30_39,NL,Eco,0,0
Male,30_39,L,Eco,0,0
Female,30_39,L,Business,0,0
Male,30_39,NL,Eco,6,0
Male,30_39,L,Business,21,15
Female,30_39,L,Business,22,11
Female,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Female,30_39,L,Eco,11,12
Female,30_39,L,Business,0,0
Female,30_39,NL,Eco,0,0
Male,30_39,L,Business,39,50
Male,30_39,L,Business,64,64
Female,30_39,NL,Business,2,0
Male,30_39,L,Business,133,140
Female,30_39,NL,Eco,0,0
Male,30_39,L,Business,0,3
Male,30_39,NL,Eco,48,76
Female,30_39,L,Business,15,26
Female,30_39,NL,Eco,0,3
Female,30_39,NL,Business,0,2
Female,30_39,NL,Business,0,0
Male,30_39,L,Business,0,0
Male,30_39,L,Business,3,13
Female,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Female,30_39,NL,Eco,0,0
Female,30_39,L,Eco,2,0
Male,30_39,NL,Eco,0,0
Female,30_39,NL,Eco,0,0
Female,30_39,NL,Business,0,0
Female,30_39,NL,Business,0,0
Male,30_39,L,Business,0,0
Female,30_39,NL,Eco,0,0
Female,30_39,L,Business,29,17
Female,30_39,L,Business,0,0
Male,30_39,NL,Business,51,42
Male,30_39,L,Business,0,0
Female,30_39,L,Business,13,12
Male,30_39,L,Business,7,13
Female,30_39,L,Business,3,16
Male,30_39,NL,Eco,177,163
Male,30_39,L,Eco,7,0
Female,30_39,NL,Business,10,11
Male,30_39,NL,Eco,0,0
Male,30_39,L,Eco,0,0
Female,30_39,NL,Business,130,135
Male,30_39,NL,Business,72,70
Female,30_39,L,Eco,0,4
Male,30_39,NL,Business,4,0
Male,30_39,L,Business,12,0
Male,30_39,L,Eco,10,0
Male,30_39,NL,Business,0,0
Male,30_39,L,Business,0,0
Female,30_39,L,Business,0,3
Female,30_39,L,Business,0,14
Female,30_39,L,Eco,0,0
Male,30_39,NL,Eco,0,0
Male,30_39,L,Business,0,0
Male,30_39,NL,Business,9,8
Female,30_39,L,Business,0,0
Female,30_39,L,Eco,0,0
Female,30_39,L,Eco,63,116
Male,30_39,L,Business,0,14
Female,30_39,NL,Business,0,0
Female,30_39,L,Eco,0,1
Male,30_39,L,Business,0,0
Female,30_39,NL,Eco,0,0
Male,30_39,L,Business,0,0
Male,30_39,NL,Eco,18,33
Female,30_39,NL,Business,9,24
Male,30_39,L,Business,0,3
Female,30_39,L,Business,99,77
Male,30_39,L,Eco,0,0
Female,30_39,NL,Eco,0,26
Female,30_39,L,Business,0,0
Female,30_39,L,Business,0,0
Male,30_39,L,Business,0,0
Female,30_39,NL,Business,0,5
Female,30_39,L,Business,0,0
Female,30_39,NL,Business,0,27
Female,30_39,L,Business,140,129
Male,30_39,NL,Eco,34,38
Male,30_39,L,Business,22,3
Female,30_39,NL,Business,6,12
Female,30_39,NL,Business,3,42
Female,30_39,L,Eco,0,0
Female,30_39,L,Business,0,0
Male,30_39,L,Eco,0,0
Female,40_49,L,Business,5,7
Male,40_49,L,Eco,2,0
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,89,91
Female,40_49,L,Business,4,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Business,14,18
Male,40_49,L,Eco,56,48
Female,40_49,L,Eco,0,25
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,13,9
Male,40_49,L,Business,11,8
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,NL,Business,0,0
Female,40_49,L,Business,11,5
Male,40_49,NL,Eco,0,0
Female,40_49,L,Business,14,11
Male,40_49,L,Business,0,7
Female,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Female,40_49,NL,Business,0,7
Female,40_49,NL,Eco,0,0
Female,40_49,L,Business,0,14
Male,40_49,L,Business,0,7
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,13,0
Male,40_49,NL,Business,0,0
Female,40_49,L,Business,12,0
Female,40_49,L,Business,4,0
Female,40_49,L,Business,22,45
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,3
Male,40_49,L,Business,18,17
Female,40_49,L,Business,0,0
Female,40_49,L,Business,2,3
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Eco,80,75
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Eco,0,0
Male,40_49,L,Business,20,1
Male,40_49,NL,Business,24,26
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Eco,61,52
Male,40_49,L,Business,5,0
Male,40_49,L,Business,10,20
Female,40_49,L,Eco,1,0
Female,40_49,L,Business,65,59
Female,40_49,L,Eco,0,2
Male,40_49,L,Business,0,0
Female,40_49,L,Business,29,29
Male,40_49,L,Business,9,6
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,12,103
Male,40_49,L,Business,15,2
Female,40_49,L,Business,43,31
Male,40_49,L,Business,0,0
Male,40_49,L,Business,95,96
Male,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,9,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,18
Male,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Business,3,0
Female,40_49,L,Eco,0,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Business,5,0
Female,40_49,L,Business,233,256
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Business,33,24
Male,40_49,L,Business,8,0
Female,40_49,NL,Business,0,8
Female,40_49,L,Business,0,0
Male,40_49,L,Business,9,0
Female,40_49,L,Business,1,0
Male,40_49,L,Eco,2,74
Female,40_49,L,Business,0,0
Female,40_49,L,Eco,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,600,589
Female,40_49,L,Business,2,15
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Business,75,86
Female,40_49,L,Business,317,324
Male,40_49,L,Business,14,11
Female,40_49,L,Business,0,0
Male,40_49,L,Eco,10,9
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,16,5
Female,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,12,0
Male,40_49,L,Business,0,0
Female,40_49,L,Eco,5,13
Female,40_49,L,Eco,0,0
Male,40_49,L,Business,0,34
Male,40_49,L,Business,0,0
Female,40_49,L,Business,11,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,3
Female,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,18,20
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Eco,0,0
Male,40_49,L,Business,151,177
Female,40_49,L,Business,1,0
Female,40_49,L,Business,2,0
Female,40_49,L,Eco,1,0
Male,40_49,L,Business,2,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,NL,Business,9,4
Male,40_49,L,Business,0,0
Male,40_49,L,Business,84,80
Female,40_49,L,Eco,24,15
Male,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,NL,Business,98,64
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Eco,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Eco,5,0
Male,40_49,L,Business,0,2
Male,40_49,L,Business,2,13
Female,40_49,L,Business,1,0
Female,40_49,L,Business,2,0
Female,40_49,L,Eco,0,0
Female,40_49,L,Business,11,3
Female,40_49,L,Business,0,0
Female,40_49,NL,Business,2,0
Male,40_49,L,Business,23,8
Male,40_49,NL,Business,28,10
Female,40_49,L,Business,56,58
Female,40_49,L,Business,53,51
Female,40_49,L,Business,39,55
Female,40_49,L,Business,0,0
Male,40_49,L,Business,5,8
Female,40_49,L,Business,341,334
Female,40_49,L,Eco,5,15
Female,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Female,40_49,L,Business,3,0
Female,40_49,L,Eco,0,12
Male,40_49,L,Business,15,17
Female,40_49,L,Business,0,0
Female,40_49,L,Business,5,13
Male,40_49,L,Business,0,1
Male,40_49,L,Business,0,0
Male,40_49,L,Business,13,0
Female,40_49,L,Business,170,164
Male,40_49,L,Business,0,0
Male,40_49,L,Business,14,1
Male,40_49,L,Eco,6,5
Male,40_49,L,Business,0,0
Male,40_49,L,Business,17,6
Female,40_49,L,Eco,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,L,Business,0,0
Male,40_49,NL,Business,0,45
Female,40_49,L,Business,3,3
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,2,47
Female,40_49,L,Business,0,0
Male,40_49,L,Business,6,0
Male,40_49,L,Business,29,11
Male,40_49,L,Business,0,0
Female,40_49,L,Business,3,0
Male,40_49,L,Business,27,21
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Female,40_49,L,Business,0,0
Male,40_49,L,Eco,0,0
Male,40_49,L,Business,21,41
