자전거ID,대여일시,대여소번호,대여소명,이용시간,이용거리
SPB-34383,2022-06-01 11:15,826,서울역 서부교차로2,12,1630
SPB-56079,2022-06-01 11:15,475,DDP 패션몰,2,250
SPB-58334,2022-06-01 11:15,346,맥스타일 앞,18,2300
SPB-60478,2022-06-01 11:15,445,대한상공회의소,6,2220
SPB-54691,2022-06-01 11:15,316,종각역 1번출구 앞,39,530
SPB-55564,2022-06-01 11:16,300,정동사거리,2,490
SPB-47939,2022-06-01 11:16,914,새절역 2번출구,75,3190
SPB-36496,2022-06-01 11:16,154,마포구청역,30,2029.94
SPB-56915,2022-06-01 11:17,393,동대문역 8번 출구,36,6810
SPB-37178,2022-06-01 11:18,389,을지로4가역 1번출구,15,1896.62
SPB-48225,2022-06-01 11:18,346,맥스타일 앞,57,6395.31
SPB-48705,2022-06-01 11:19,456,숭인2동 주민센터 입구,4,580
SPB-34205,2022-06-01 11:19,476,광희문,44,3625.18
SPB-30323,2022-06-01 11:19,131,증산2교,9,1932.92
SPB-51169,2022-06-01 11:19,468,웨스틴 조선호텔,2,0
SPB-59347,2022-06-01 11:20,419,홈플러스 앞,10,1420
SPB-59624,2022-06-01 11:20,419,홈플러스 앞,10,1420
SPB-83426,2022-06-01 11:21,394,경희궁 자이 3단지,7,470
SPB-58510,2022-06-01 11:21,133,해담는다리,10,2810
SPB-62329,2022-06-01 11:21,601,용신동주민센터,8,1790
SPB-32605,2022-06-01 11:23,456,숭인2동 주민센터 입구,2,486.15
SPB-42597,2022-06-01 11:23,361,동묘앞역 1번출구 뒤,26,2408.65
SPB-32980,2022-06-01 11:23,338,세운스퀘어 앞,7,1255.26
SPB-59982,2022-06-01 11:23,455,종로6가역 버스정류장(동대문 방향),78,4220
SPB-43611,2022-06-01 11:23,486,평창동주민센터 앞,7,1331.94
SPB-30283,2022-06-01 11:24,310,청계광장 옆,23,3169.09
SPB-50996,2022-06-01 11:24,464,삼청동 골목,8,1090
SPB-82761,2022-06-01 11:24,568,청계8가사거리 부근,9,1317.9
SPB-51062,2022-06-01 11:24,605,신설동역8번출구,10,1830
SPB-39603,2022-06-01 11:24,348,독립문역 사거리,8,678.28
SPB-60582,2022-06-01 11:24,415,DMC역 9번출구 앞,12,1842.4
SPB-54203,2022-06-01 11:24,422,문화비축기지,59,4744.03
SPB-41653,2022-06-01 11:24,449,일성아파트,9,1687.52
SPB-55692,2022-06-01 11:25,452,동대문 종합시장 버스정류장,7,1130
SPB-47884,2022-06-01 11:25,316,종각역 1번출구 앞,3,610
SPB-53411,2022-06-01 11:25,321,KEB 하나금융그룹 명동사옥 옆,13,1700.58
SPB-48705,2022-06-01 11:25,361,동묘앞역 1번출구 뒤,23,2430
SPB-58208,2022-06-01 11:25,199,서울 월드컵 경기장,24,3640
SPB-54848,2022-06-01 11:26,907,CJ 드림시티,79,5460
SPB-35572,2022-06-01 11:26,907,CJ 드림시티,80,5591.34
SPB-51113,2022-06-01 11:26,314,국립현대미술관,35,959.57
SPB-55310,2022-06-01 11:27,303,광화문역 1번출구 앞,68,1840
SPB-56055,2022-06-01 11:27,133,해담는다리,49,1720
SPB-80359,2022-06-01 11:27,907,CJ 드림시티,79,6780
SPB-49099,2022-06-01 11:27,424,롯데하이마트 (상암월드컵점),9,660
SPB-31186,2022-06-01 11:27,143,공덕역 2번출구,20,2349.48
SPB-63323,2022-06-01 11:28,419,홈플러스 앞,24,2700
SPB-46626,2022-06-01 11:29,300,정동사거리,6,460
SPB-58462,2022-06-01 11:29,401,상암월드컵파크 10단지 앞,36,3792.41
SPB-47024,2022-06-01 11:30,917,녹번역 4번출구,25,4550
SPB-56088,2022-06-01 11:30,401,상암월드컵파크 10단지 앞,36,3980
SPB-36567,2022-06-01 11:30,401,상암월드컵파크 10단지 앞,35,3931.55
SPB-32605,2022-06-01 11:30,361,동묘앞역 1번출구 뒤,35,1584.84
SPB-53580,2022-06-01 11:30,419,홈플러스 앞,21,2590
SPB-55791,2022-06-01 11:31,329,청계2가 사거리 옆,9,1210
SPB-55564,2022-06-01 11:33,391,시립미술관,11,1520
SPB-59934,2022-06-01 11:33,181,망원초록길 입구,84,7700
SPB-56836,2022-06-01 11:33,181,망원초록길 입구,85,7970
SPB-48826,2022-06-01 11:33,188,홍은동 정원여중 입구,19,3790
SPB-40372,2022-06-01 11:34,173,서대문역 8번출구 앞,64,2024.28
SPB-40758,2022-06-01 11:34,145,공덕역 5번출구,10,579.83
SPB-59171,2022-06-01 11:35,455,종로6가역 버스정류장(동대문 방향),29,1710.6
SPB-43780,2022-06-01 11:36,364,창신역 1번출구 앞,18,3448.4
SPB-50387,2022-06-01 11:36,344,성균관대 E하우스 앞,2,0
SPB-59624,2022-06-01 11:36,414,상암동주민센터 옆,53,5140
SPB-46829,2022-06-01 11:36,397,종묘공영주차장 건너편,16,1590
SPB-52750,2022-06-01 11:36,179,가좌역 4번출구 앞,4,790
SPB-38878,2022-06-01 11:37,180,충정로역 7번출구 아래,31,5099.41
SPB-30841,2022-06-01 11:37,434,신당 래미안 버스정류장,64,6130.59
SPB-35916,2022-06-01 11:38,303,광화문역 1번출구 앞,3,522.98
SPB-57862,2022-06-01 11:38,143,공덕역 2번출구,52,5332.31
SPB-53751,2022-06-01 11:38,143,공덕역 2번출구,52,5110
SPB-40057,2022-06-01 11:38,676,FITI시험연구원 앞,48,4434.81
SPB-59488,2022-06-01 11:38,374,청구역 2번출구 앞,6,830
SPB-47547,2022-06-01 11:38,681,서울특별시 동부교육지원청(육교),29,3698.65
SPB-48560,2022-06-01 11:38,186,월드컵공원,43,3830
SPB-58682,2022-06-01 11:39,338,세운스퀘어 앞,117,6750
SPB-31242,2022-06-01 11:39,403,부엉이공원 앞,7,1433.15
SPB-56389,2022-06-01 11:39,487,신석초교앞 교차로 교통섬,47,3876.06
SPB-54430,2022-06-01 11:39,113,홍대입구역 2번출구 앞,4,1015.02
SPB-48876,2022-06-01 11:39,984,상신초등학교앞 버스정류장,26,4660
SPB-34616,2022-06-01 11:40,334,종로3가역 2번출구 뒤,4,574.29
SPB-40079,2022-06-01 11:40,347,동대문역사문화공원역 9번출구 앞,5,802.84
SPB-41343,2022-06-01 11:40,183,하늘채코오롱아파트 건너편,127,2590.73
SPB-54553,2022-06-01 11:40,367,독립문역 3-1번출구,11,1860
SPB-62763,2022-06-01 11:40,112,극동방송국 앞,12,3100
SPB-55647,2022-06-01 11:41,344,성균관대 E하우스 앞,3,520
SPB-61828,2022-06-01 11:41,900,은평예술회관,28,4570
SPB-36329,2022-06-01 11:41,176,명지대학교 도서관,13,2373.03
SPB-41296,2022-06-01 11:41,316,종각역 1번출구 앞,9,923.2
SPB-51453,2022-06-01 11:42,102,망원역 1번출구 앞,13,1845.41
SPB-54468,2022-06-01 11:42,198,충정2교,28,3750
SPB-50974,2022-06-01 11:42,210,IFC몰,17,2760
SPB-63315,2022-06-01 11:43,464,삼청동 골목,36,3110
SPB-53952,2022-06-01 11:43,464,삼청동 골목,36,3080
SPB-58123,2022-06-01 11:44,464,삼청동 골목,35,3200
SPB-57186,2022-06-01 11:44,659,제기역1번출구,12,1570
SPB-63111,2022-06-01 11:44,488,푸르메병원,3,440
SPB-57286,2022-06-01 11:44,907,CJ 드림시티,27,4200
SPB-40358,2022-06-01 11:44,907,CJ 드림시티,27,4041.18
SPB-43736,2022-06-01 11:44,426,서울신용보증재단,2,0
SPB-58862,2022-06-01 11:44,453,종로오가 지하쇼핑센터 14번출구,27,3250
SPB-48763,2022-06-01 11:45,195,모래내고가차도,3,560
SPB-49153,2022-06-01 11:45,131,증산2교,23,4940
SPB-33060,2022-06-01 11:46,308,광화문 S타워 앞,47,2907.77
SPB-55578,2022-06-01 11:46,199,서울 월드컵 경기장,5,990
SPB-55564,2022-06-01 11:47,348,독립문역 사거리,6,1060
SPB-42733,2022-06-01 11:47,826,서울역 서부교차로2,56,3756.25
SPB-83616,2022-06-01 11:47,406,상암월드컵파크 7단지 앞,86,3800
SPB-47037,2022-06-01 11:47,148,용강동 주민센터 앞,3,520
SPB-59470,2022-06-01 11:47,426,서울신용보증재단,14,2044
SPB-59347,2022-06-01 11:48,414,상암동주민센터 옆,54,1750
SPB-41672,2022-06-01 11:48,186,월드컵공원,28,3243.08
SPB-49418,2022-06-01 11:49,464,삼청동 골목,11,1330
SPB-46596,2022-06-01 11:49,568,청계8가사거리 부근,13,1280
SPB-54331,2022-06-01 11:50,308,광화문 S타워 앞,17,1180
SPB-48425,2022-06-01 11:50,302,경복궁역 4번출구 뒤,112,990
SPB-58075,2022-06-01 11:50,361,동묘앞역 1번출구 뒤,3,730.27
SPB-57696,2022-06-01 11:51,316,종각역 1번출구 앞,10,1472.55
SPB-30283,2022-06-01 11:51,342,대학로 마로니에공원,34,704.98
SPB-53172,2022-06-01 11:51,519,양지사거리,7,1225.92
SPB-60476,2022-06-01 11:52,624,전농동 동아아파트 앞,27,3157.24
SPB-51541,2022-06-01 11:52,361,동묘앞역 1번출구 뒤,15,2090
SPB-55129,2022-06-01 11:52,912,응암오거리,14,2819.27
SPB-59680,2022-06-01 11:52,385,종각역 5번출구,13,1850
SPB-49495,2022-06-01 11:53,351,청운초교 앞 삼거리,36,20
SPB-49355,2022-06-01 11:53,348,독립문역 사거리,15,670
SPB-36250,2022-06-01 11:54,362,청계8가 사거리,17,3194.04
SPB-35659,2022-06-01 11:54,498,연남동주민센터 앞,145,3287.45
SPB-32527,2022-06-01 11:55,456,숭인2동 주민센터 입구,38,1927.97
SPB-57463,2022-06-01 11:55,631,답십리역 1번출구,32,4060
SPB-46482,2022-06-01 11:55,420,서울시 공공자전거 상암센터,52,4762.37
SPB-46320,2022-06-01 11:55,420,서울시 공공자전거 상암센터,52,5140
SPB-48017,2022-06-01 11:55,186,월드컵공원,80,2970
SPB-35200,2022-06-01 11:55,613,신설동역 10번출구 앞,18,2455.62
SPB-49528,2022-06-01 11:55,626,군자교 서측 녹지대,57,11360
SPB-36496,2022-06-01 11:55,421,마포구청 앞,7,930.85
SPB-42755,2022-06-01 11:56,326,안국역 5번출구 앞,9,1321.6
SPB-34855,2022-06-01 11:56,302,경복궁역 4번출구 뒤,13,1360.14
SPB-60190,2022-06-01 11:56,440,하늘공원 입구,18,2950
SPB-57527,2022-06-01 11:56,227,양평2나들목 보행통로 입구,85,14540
SPB-59193,2022-06-01 11:56,329,청계2가 사거리 옆,16,2540
SPB-55564,2022-06-01 11:57,300,정동사거리,2,480
SPB-47024,2022-06-01 11:58,349,사직동주민센터,12,1580
SPB-54868,2022-06-01 11:58,412,DMC산학협력연구센터 앞,5,570
SPB-54974,2022-06-01 11:58,247,당산역 10번출구 앞,71,7830
SPB-59694,2022-06-01 11:58,123,문화촌 공원,122,9440
SPB-52929,2022-06-01 11:58,123,문화촌 공원,122,11970
SPB-58208,2022-06-01 11:58,401,상암월드컵파크 10단지 앞,6,1030
SPB-59085,2022-06-01 11:59,329,청계2가 사거리 옆,28,310
SPB-32944,2022-06-01 11:59,402,상암월드컵파크 9단지 앞,11,1580.98
SPB-32460,2022-06-01 11:59,615,용두동 래미안허브리츠아파트 앞,11,2072.19
SPB-80242,2022-06-01 11:59,120,신수동 사거리,9,530
SPB-55266,2022-06-01 12:00,310,청계광장 옆,12,1320
SPB-57186,2022-06-01 12:00,361,동묘앞역 1번출구 뒤,14,1090
SPB-51361,2022-06-01 12:00,436,이대역 5번출구,29,3990
SPB-32227,2022-06-01 12:00,400,상암한화오벨리스크 1차 앞,16,1922.28
SPB-31242,2022-06-01 12:00,415,DMC역 9번출구 앞,9,1337.58
SPB-54811,2022-06-01 12:01,368,SK 서린빌딩 앞,11,1290
SPB-31860,2022-06-01 12:01,446,상명대입구,43,7340.12
SPB-54980,2022-06-01 12:01,305,종로구청 옆,8,1320
SPB-51113,2022-06-01 12:02,464,삼청동 골목,21,2216.88
SPB-31799,2022-06-01 12:02,430,KEB하나은행 장충동지점,2,333.59
SPB-51727,2022-06-01 12:02,490,가온문화공원,5,830.94
SPB-36295,2022-06-01 12:02,393,동대문역 8번 출구,13,918.17
SPB-61247,2022-06-01 12:03,354,포르투갈 대사관 앞,12,1782.08
SPB-84289,2022-06-01 12:03,406,상암월드컵파크 7단지 앞,73,8080
SPB-47237,2022-06-01 12:03,131,증산2교,41,2800
SPB-56878,2022-06-01 12:03,383,신당역 12번 출구 뒤,19,1440
SPB-51062,2022-06-01 12:04,393,동대문역 8번 출구,9,990
SPB-58358,2022-06-01 12:04,199,서울 월드컵 경기장,52,720
SPB-82241,2022-06-01 12:04,383,신당역 12번 출구 뒤,8,720
SPB-48479,2022-06-01 12:05,455,종로6가역 버스정류장(동대문 방향),70,12120
SPB-54779,2022-06-01 12:05,996,응암역2번출구 국민은행 앞,20,3470
SPB-48431,2022-06-01 12:05,906,연신내역 5번출구,27,5430
SPB-41296,2022-06-01 12:06,464,삼청동 골목,9,1394.52
SPB-63409,2022-06-01 12:06,335,종로3가역 15번출구 앞,18,2180
SPB-61380,2022-06-01 12:06,355,서울사대부속초교 앞,2,520
SPB-32605,2022-06-01 12:06,456,숭인2동 주민센터 입구,87,6753.51
SPB-39215,2022-06-01 12:06,401,상암월드컵파크 10단지 앞,1,199.31
SPB-53875,2022-06-01 12:06,906,연신내역 5번출구,26,5733.5
SPB-53175,2022-06-01 12:06,316,종각역 1번출구 앞,3,520
SPB-39166,2022-06-01 12:06,157,애오개역 4번출구 앞,40,4242.83
SPB-50974,2022-06-01 12:06,495,염리초등학교 앞,66,3620
SPB-55971,2022-06-01 12:07,302,경복궁역 4번출구 뒤,35,2362.01
SPB-34140,2022-06-01 12:07,841,신용산역 1번 출구,44,5807.64
SPB-48614,2022-06-01 12:07,438,성산2-1 공영주차장,38,7426.88
SPB-57191,2022-06-01 12:08,470,회현역 7번출구,33,2000
SPB-54807,2022-06-01 12:08,160,북아현동 가구거리,33,4430
SPB-51998,2022-06-01 12:09,353,재동초교 앞 삼거리,3,523.69
SPB-50029,2022-06-01 12:09,113,홍대입구역 2번출구 앞,5,899.52
SPB-48826,2022-06-01 12:09,498,연남동주민센터 앞,103,1730
SPB-57696,2022-06-01 12:10,314,국립현대미술관,6,884.67
SPB-35642,2022-06-01 12:10,131,증산2교,34,3012.87
SPB-40314,2022-06-01 12:10,492,성산시영아파트 후문,2,394.97
SPB-51750,2022-06-01 12:10,124,서강대 정문 건너편,6,970
SPB-60129,2022-06-01 12:11,474,동대문역사문화공원역 1번출구 뒤편,5,860
SPB-60058,2022-06-01 12:11,491,월드컵파크 4단지,6,980
SPB-48577,2022-06-01 12:11,576,광나루역 3번 출구,111,17930
SPB-57538,2022-06-01 12:12,342,대학로 마로니에공원,2,410
SPB-83258,2022-06-01 12:12,420,서울시 공공자전거 상암센터,110,4740
SPB-83837,2022-06-01 12:12,421,마포구청 앞,4,580
SPB-54468,2022-06-01 12:12,439,마포어린이공원,57,12690
SPB-49461,2022-06-01 12:12,198,충정2교,9,1380
SPB-56582,2022-06-01 12:13,362,청계8가 사거리,2,410
SPB-54270,2022-06-01 12:13,475,DDP 패션몰,9,457.23
SPB-51334,2022-06-01 12:14,305,종로구청 옆,10,830.03
SPB-54212,2022-06-01 12:14,407,마포구 육아종합지원센터,7,1504.23
SPB-81693,2022-06-01 12:14,390,충무로역 1번출구,6,790
SPB-56575,2022-06-01 12:14,106,합정역 7번출구 앞,117,4340
SPB-50602,2022-06-01 12:14,587,유니베라 앞,74,11459.09
SPB-41845,2022-06-01 12:14,305,종로구청 옆,9,747.48
SPB-81260,2022-06-01 12:14,418,월드컵경기장역 3번출구 옆,28,2410
SPB-63242,2022-06-01 12:14,184,7번가피자 서교망원점,7,1670
SPB-53656,2022-06-01 12:15,307,서울역사박물관 앞,36,380.61
SPB-56339,2022-06-01 12:15,321,KEB 하나금융그룹 명동사옥 옆,14,1580
SPB-50710,2022-06-01 12:15,341,혜화역 3번출구 뒤,8,1042.28
SPB-59820,2022-06-01 12:15,335,종로3가역 15번출구 앞,26,2540
SPB-59090,2022-06-01 12:15,474,동대문역사문화공원역 1번출구 뒤편,8,710
SPB-56915,2022-06-01 12:15,393,동대문역 8번 출구,29,1260
SPB-37305,2022-06-01 12:15,367,독립문역 3-1번출구,6,930.92
SPB-54798,2022-06-01 12:15,148,용강동 주민센터 앞,2,530
SPB-43692,2022-06-01 12:16,307,서울역사박물관 앞,38,230.02
SPB-51243,2022-06-01 12:16,480,약수역 6번 출구,1,0
SPB-46497,2022-06-01 12:16,490,가온문화공원,10,1150
SPB-43602,2022-06-01 12:16,131,증산2교,10,1910.32
SPB-42121,2022-06-01 12:16,131,증산2교,10,1889.35
SPB-49503,2022-06-01 12:16,418,월드컵경기장역 3번출구 옆,26,1980
SPB-50996,2022-06-01 12:17,369,광화문 시민열린마당,10,820
SPB-61523,2022-06-01 12:17,326,안국역 5번출구 앞,43,2032.64
SPB-61606,2022-06-01 12:17,326,안국역 5번출구 앞,44,1860
SPB-63454,2022-06-01 12:17,370,시청역(2호선) 9번출구 뒤,12,1630
SPB-30995,2022-06-01 12:17,564,금호역 3번출구,12,634.12
SPB-58292,2022-06-01 12:17,474,동대문역사문화공원역 1번출구 뒤편,7,660.44
SPB-56055,2022-06-01 12:17,418,월드컵경기장역 3번출구 옆,56,242.02
SPB-32426,2022-06-01 12:17,154,마포구청역,41,3732.89
SPB-36542,2022-06-01 12:18,326,안국역 5번출구 앞,43,2536.78
SPB-46829,2022-06-01 12:18,433,을지로입구역 2번출구,12,1940
SPB-38833,2022-06-01 12:18,409,누리꿈스퀘어 옆,117,4477.03
SPB-51062,2022-06-01 12:18,383,신당역 12번 출구 뒤,5,680
SPB-80041,2022-06-01 12:18,326,안국역 5번출구 앞,26,2797.79
SPB-51748,2022-06-01 12:19,454,종로2가 버스정류장 (종각방향),13,1504.54
SPB-43198,2022-06-01 12:19,361,동묘앞역 1번출구 뒤,20,1110.53
SPB-52794,2022-06-01 12:19,342,대학로 마로니에공원,20,2227
SPB-82243,2022-06-01 12:19,612,시립동부병원 앞 사거리,10,1240
SPB-45846,2022-06-01 12:20,492,성산시영아파트 후문,20,2490
SPB-58731,2022-06-01 12:20,194,증산교 앞,211,5910
SPB-54527,2022-06-01 12:20,183,하늘채코오롱아파트 건너편,12,1320
SPB-62786,2022-06-01 12:20,131,증산2교,31,8429.41
SPB-81192,2022-06-01 12:21,318,광교사거리 남측,3,250
SPB-57013,2022-06-01 12:21,402,상암월드컵파크 9단지 앞,2,0
SPB-47996,2022-06-01 12:21,131,증산2교,55,7020
SPB-33919,2022-06-01 12:21,948,디지털미디어 시티역 4번출구(DMC역),210,6071.82
SPB-53634,2022-06-01 12:21,427,성산시영아파트,15,0
SPB-51563,2022-06-01 12:21,121,마포소방서 앞,24,1879.43
SPB-56088,2022-06-01 12:21,414,상암동주민센터 옆,18,1160
SPB-60476,2022-06-01 12:22,361,동묘앞역 1번출구 뒤,6,712.59
SPB-51217,2022-06-01 12:22,131,증산2교,54,7224.23
SPB-63301,2022-06-01 12:22,565,옥수역 3번출구,55,16840
SPB-53316,2022-06-01 12:22,303,광화문역 1번출구 앞,82,857.8
SPB-60607,2022-06-01 12:22,449,일성아파트,2,570
SPB-61132,2022-06-01 12:22,489,구룡근린공원,53,3240
SPB-55207,2022-06-01 12:22,489,구룡근린공원,55,3200
SPB-56989,2022-06-01 12:23,314,국립현대미술관,9,1340
SPB-52274,2022-06-01 12:23,314,국립현대미술관,9,1280
SPB-46671,2022-06-01 12:23,461,서울지방경찰청,10,680
SPB-43736,2022-06-01 12:23,426,서울신용보증재단,3,88.16
SPB-40758,2022-06-01 12:23,426,서울신용보증재단,20,1756.89
SPB-48870,2022-06-01 12:23,370,시청역(2호선) 9번출구 뒤,5,820
SPB-42619,2022-06-01 12:23,487,신석초교앞 교차로 교통섬,178,29944.82
SPB-40161,2022-06-01 12:24,145,공덕역 5번출구,30,3593.71
SPB-47369,2022-06-01 12:24,309,광화문역 6번출구 옆,59,1160
SPB-57855,2022-06-01 12:24,334,종로3가역 2번출구 뒤,2,0
SPB-33180,2022-06-01 12:24,488,푸르메병원,12,1539.78
SPB-82224,2022-06-01 12:25,450,효자동 삼거리,29,1160
SPB-80898,2022-06-01 12:25,450,효자동 삼거리,32,1120
SPB-32647,2022-06-01 12:25,474,동대문역사문화공원역 1번출구 뒤편,8,999.38
SPB-36793,2022-06-01 12:25,180,충정로역 7번출구 아래,38,6272.25
SPB-43733,2022-06-01 12:25,180,충정로역 7번출구 아래,39,6389.72
SPB-57927,2022-06-01 12:25,113,홍대입구역 2번출구 앞,7,1070
SPB-58463,2022-06-01 12:26,557,도선동 주민센터 앞,7,1030
SPB-38827,2022-06-01 12:26,488,푸르메병원,3,350.25
SPB-32466,2022-06-01 12:26,207,여의나루역 1번출구 앞,10,1769.22
SPB-54798,2022-06-01 12:26,487,신석초교앞 교차로 교통섬,13,1610
SPB-44011,2022-06-01 12:27,367,독립문역 3-1번출구,9,1643.12
SPB-40773,2022-06-01 12:27,427,성산시영아파트,8,804.96
SPB-62375,2022-06-01 12:27,426,서울신용보증재단,16,2860
SPB-58516,2022-06-01 12:27,344,성균관대 E하우스 앞,9,830
SPB-58292,2022-06-01 12:27,393,동대문역 8번 출구,41,1542.35
SPB-49460,2022-06-01 12:28,351,청운초교 앞 삼거리,53,1430
SPB-34476,2022-06-01 12:28,351,청운초교 앞 삼거리,13,1713.12
SPB-58823,2022-06-01 12:28,400,상암한화오벨리스크 1차 앞,17,2197.77
SPB-52800,2022-06-01 12:28,432,마포중앙도서관,93,1040.58
SPB-46417,2022-06-01 12:28,438,성산2-1 공영주차장,65,3220
SPB-83837,2022-06-01 12:28,438,성산2-1 공영주차장,65,3840
SPB-59085,2022-06-01 12:29,329,청계2가 사거리 옆,57,3810
SPB-54642,2022-06-01 12:29,310,청계광장 옆,26,1740
SPB-32002,2022-06-01 12:29,310,청계광장 옆,26,1718.57
SPB-59624,2022-06-01 12:29,403,부엉이공원 앞,15,1780
SPB-31791,2022-06-01 12:29,427,성산시영아파트,53,2883.86
SPB-60129,2022-06-01 12:29,383,신당역 12번 출구 뒤,4,690
SPB-49495,2022-06-01 12:30,351,청운초교 앞 삼거리,51,1380
SPB-84913,2022-06-01 12:30,420,서울시 공공자전거 상암센터,93,1920
SPB-57696,2022-06-01 12:31,305,종로구청 옆,31,4263.18
SPB-83707,2022-06-01 12:31,186,월드컵공원,10,1400
SPB-83426,2022-06-01 12:32,300,정동사거리,2,520
SPB-52404,2022-06-01 12:32,415,DMC역 9번출구 앞,13,630
SPB-43956,2022-06-01 12:32,186,월드컵공원,8,1094.24
SPB-38812,2022-06-01 12:32,399,서울역 센트럴 자이아파트,16,2309.45
SPB-49153,2022-06-01 12:32,498,연남동주민센터 앞,9,1430
SPB-53902,2022-06-01 12:32,153,성산2교 사거리,18,2439.09
SPB-41845,2022-06-01 12:33,461,서울지방경찰청,2,452.41
SPB-53043,2022-06-01 12:33,137,신촌기차역입구 교차로,17,2781.99
SPB-35795,2022-06-01 12:33,576,광나루역 3번 출구,17,2655.7
SPB-51673,2022-06-01 12:34,490,가온문화공원,12,850
SPB-60129,2022-06-01 12:35,431,청계천 영도교,6,940
SPB-63323,2022-06-01 12:35,490,가온문화공원,11,840
SPB-58208,2022-06-01 12:35,490,가온문화공원,12,850
SPB-50384,2022-06-01 12:35,490,가온문화공원,12,917.55
SPB-55418,2022-06-01 12:35,490,가온문화공원,12,860
SPB-55564,2022-06-01 12:36,391,시립미술관,51,1760
SPB-80511,2022-06-01 12:36,348,독립문역 사거리,3,780
SPB-47689,2022-06-01 12:37,368,SK 서린빌딩 앞,9,670
SPB-59031,2022-06-01 12:38,351,청운초교 앞 삼거리,13,1210
SPB-51990,2022-06-01 12:38,332,을지로2가 사거리 남측,5,430
SPB-46366,2022-06-01 12:38,131,증산2교,45,10
SPB-47340,2022-06-01 12:38,434,신당 래미안 버스정류장,32,2810
SPB-35956,2022-06-01 12:38,850,KCC용산월츠타워,23,2604.87
SPB-56763,2022-06-01 12:39,186,월드컵공원,36,1870
SPB-58485,2022-06-01 12:39,199,서울 월드컵 경기장,56,1690
SPB-44429,2022-06-01 12:39,434,신당 래미안 버스정류장,31,2678.05
SPB-48870,2022-06-01 12:40,458,광화문역 5번출구,35,1910
SPB-54338,2022-06-01 12:40,340,혜화동 로터리,31,2000
SPB-36409,2022-06-01 12:40,493,홍대입구역 6번출구,42,4551.68
