school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
명장초등학교,74,60,62,62,67,62,22
미남초등학교,49,47,45,59,59,56,20
부곡초등학교,79,87,74,76,87,89,27
사직초등학교,133,172,189,180,249,187,57
서동초등학교,9,13,14,9,11,19,10
서명초등학교,6,11,4,10,5,10,9
수안초등학교,30,32,36,32,50,46,15
안남초등학교,128,127,135,150,157,163,42
안락초등학교,37,41,35,38,46,56,16
안민초등학교,99,119,135,99,151,129,36
여고초등학교,127,154,180,164,204,174,42
온천초등학교,161,126,168,140,192,160,49
장서초등학교,87,114,111,95,130,124,33
장전초등학교,73,97,76,101,104,113,30
청룡초등학교,62,73,81,85,88,84,28
현곡초등학교,13,21,14,18,21,19,9
혜화초등학교,60,59,57,55,57,39,12
가남초등학교,13,16,8,9,12,18,9
가산초등학교,4,8,7,5,9,4,9
가야초등학교,165,163,177,148,194,191,54
가평초등학교,101,102,96,106,107,87,34
개금초등학교,98,110,138,89,86,100,31
개림초등학교,125,138,119,143,142,131,39
개원초등학교,81,85,89,98,99,97,28
개포초등학교,41,48,54,36,52,43,15
개화초등학교,23,31,35,42,35,34,14
거제초등학교,71,80,84,77,90,98,30
거학초등학교,101,106,124,96,110,97,32
과정초등학교,93,86,99,77,69,96,26
남문초등학교,142,172,142,193,188,258,48
당감초등학교,18,35,39,42,59,58,16
당평초등학교,33,50,48,44,77,61,17
동명초등학교,31,28,34,32,38,25,16
동성초등학교,112,128,128,132,125,119,24
동원초등학교,74,73,90,91,114,92,28
동평초등학교,66,73,67,63,77,72,22
부산진초등학교,93,76,71,74,87,84,27
부암초등학교,127,118,135,121,118,105,42
부전초등학교,58,62,59,47,56,53,22
선암초등학교,24,18,13,11,14,7,10
성북초등학교,121,137,103,110,115,100,35
성서초등학교,30,25,36,31,38,26,15
성전초등학교,77,71,70,76,74,75,29
성지초등학교,94,79,101,87,76,83,28
양동초등학교,163,124,132,78,81,68,31
양성초등학교,58,61,79,75,89,85,26
양정초등학교,100,114,105,100,112,105,36
연동초등학교,75,105,79,105,113,86,31
연미초등학교,63,53,46,33,43,30,17
연산초등학교,155,151,140,137,164,138,48
연서초등학교,115,115,129,119,117,144,37
연신초등학교,144,118,125,101,125,103,34
연일초등학교,19,15,19,14,27,21,10
연제초등학교,70,89,83,89,78,76,27
연지초등학교,242,229,219,197,215,223,61
연천초등학교,112,107,103,112,117,118,33
연학초등학교,83,67,73,41,55,32,18
전포초등학교,67,53,67,59,71,70,24
주례초등학교,41,65,50,50,80,78,21
주원초등학교,15,15,19,13,22,23,9
창신초등학교,148,148,163,156,159,158,43
초읍초등학교,58,71,63,82,109,125,28
토현초등학교,37,45,58,53,77,59,20
가락초등학교,4,7,4,2,18,4,9
감전초등학교,24,24,25,20,26,25,14
괘법초등학교,12,6,8,7,10,11,9
구남초등학교,63,85,76,84,94,87,30
구포초등학교,123,95,89,58,85,81,32
구학초등학교,62,84,71,100,109,89,28
금곡초등학교,44,52,43,50,64,48,17
금창초등학교,28,18,31,25,30,30,14
녹명초등학교,23,24,21,19,27,12,11
대사초등학교,8,3,3,4,6,3,9
대상초등학교,3,12,5,4,8,5,8
대저초등학교,7,6,4,8,10,7,9
대천리초등학교,42,44,42,38,49,39,16
덕두초등학교,40,40,40,41,36,41,15
덕상초등학교,56,93,63,76,91,74,24
덕성초등학교,51,47,47,44,57,46,17
덕양초등학교,62,66,67,75,60,71,21
덕천초등학교,17,15,13,21,21,24,9
덕포초등학교,27,25,18,17,29,21,11
동궁초등학교,76,111,92,83,107,110,35
동주초등학교,71,90,84,85,105,80,29
만덕초등학교,81,66,64,76,72,70,23
명덕초등학교,114,132,118,114,138,117,39
명지초등학교,253,236,260,196,219,250,66
모덕초등학교,86,112,107,120,137,133,39
모동초등학교,5,9,9,14,15,16,9
모라초등학교,10,24,32,19,35,20,13
모산초등학교,52,52,47,45,47,42,16
배영초등학교,4,9,9,13,17,5,8
백산초등학교,92,101,98,117,133,115,34
백양초등학교,155,178,150,148,165,141,48
사상초등학교,24,23,34,52,27,38,18
삼덕초등학교,14,20,12,24,15,17,9
서감초등학교,18,22,24,20,27,23,13
신금초등학교,43,51,40,53,50,57,20
신천초등학교,36,30,23,40,35,46,17
신호초등학교,83,79,102,81,97,96,28
양덕초등학교,25,21,29,31,28,41,13
양천초등학교,15,22,21,21,29,31,13
엄궁초등학교,103,112,108,128,127,119,40
와석초등학교,86,87,106,91,70,76,28
용수초등학교,135,136,141,148,138,152,45
주감초등학교,112,106,99,97,118,113,34
주학초등학교,9,7,5,12,9,14,9
창진초등학교,78,94,70,63,77,81,26
천가초등학교,15,10,10,11,6,15,9
포천초등학교,51,81,68,107,99,106,31
학장초등학교,41,32,36,34,33,46,15
학진초등학교,67,84,79,92,110,93,31
화명초등학교,85,119,76,60,81,68,28
감천초등학교,17,14,10,21,31,38,11
괴정초등학교,108,79,100,91,86,102,31
구덕초등학교,71,86,79,84,76,73,23
구평초등학교,144,112,109,97,134,105,41
낙동초등학교,136,168,146,151,183,172,47
남부민초등학교,15,16,16,26,16,21,9
남항초등학교,23,31,41,18,60,34,15
다대초등학교,118,106,118,128,134,157,42
다선초등학교,91,109,79,102,103,103,33
다송초등학교,23,29,29,31,47,42,14
당리초등학교,16,35,25,22,36,40,14
대교초등학교,80,68,54,60,56,58,21
대신초등학교,148,125,131,109,131,156,40
대평초등학교,44,50,36,44,48,57,17
동삼초등학교,50,53,55,50,59,65,23
동신초등학교,51,51,67,61,76,69,21
봉삼초등학교,9,6,7,7,11,9,9
봉학초등학교,35,27,23,30,35,31,14
부민초등학교,88,111,112,109,136,94,35
사남초등학교,54,56,33,44,26,41,14
사동초등학교,31,47,39,41,52,57,16
사하초등학교,153,170,160,156,197,167,50
상리초등학교,12,24,23,23,28,28,12
서천초등학교,17,17,34,30,35,34,13
송도초등학교,86,68,80,73,72,88,26
승학초등학교,43,47,57,42,60,59,19
신남초등학교,65,74,90,83,85,93,28
신선초등학교,4,2,3,11,7,0,8
신촌초등학교,13,17,17,17,21,23,9
신평초등학교,90,106,83,82,80,76,31
아미초등학교,2,7,3,6,3,14,9
영도초등학교,40,39,40,54,50,46,16
옥천초등학교,81,78,84,102,128,105,30
응봉초등학교,18,22,28,31,45,42,14
장림초등학교,80,100,93,95,109,115,33
절영초등학교,11,13,8,11,11,7,9
중리초등학교,77,94,97,107,128,115,32
중현초등학교,54,61,65,68,87,90,24
천마초등학교,25,19,14,10,28,26,12
청동초등학교,68,85,78,86,93,106,30
청학초등학교,31,30,31,40,35,46,15
태종대초등학교,20,11,23,22,11,20,9
토성초등학교,63,72,83,72,84,63,27
하남초등학교,79,121,116,113,118,136,38
하단초등학교,47,50,41,67,63,57,21
화랑초등학교,38,39,27,24,30,24,14
효림초등학교,103,90,107,96,132,115,36
강동초등학교,124,144,135,124,139,124,38
광남초등학교,92,108,105,109,139,128,39
광안초등학교,118,126,114,130,140,140,39
교리초등학교,97,84,112,91,118,117,32
기장초등학교,84,82,74,99,104,92,30
남천초등학교,124,132,124,109,105,128,39
용암초등학교,18,6,13,10,9,9,9
대청초등학교,77,75,79,86,94,95,31
동백초등학교,122,111,133,111,117,120,37
망미초등학교,67,76,81,84,98,118,32
민락초등학교,122,110,119,82,117,101,33
민안초등학교,71,81,67,64,59,68,26
반산초등학교,53,52,54,75,89,65,26
반석초등학교,11,11,13,9,18,12,9
반송초등학교,13,22,26,18,39,29,14
반안초등학교,62,101,88,117,108,114,33
반여초등학교,29,29,41,28,57,58,19
배산초등학교,98,105,102,85,86,91,29
부흥초등학교,108,119,140,120,182,152,39
상당초등학교,111,145,109,132,138,131,37
송운초등학교,54,57,53,58,68,69,21
송정초등학교,34,44,49,51,51,43,17
수미초등학교,84,79,74,83,94,101,30
수영초등학교,114,113,118,143,152,158,44
신곡초등학교,83,88,91,84,122,106,31
신도초등학교,91,102,84,101,108,121,33
신재초등학교,60,77,49,74,61,86,24
신진초등학교,33,32,36,30,35,34,16
양운초등학교,60,52,60,84,66,95,24
운봉초등학교,21,19,28,28,30,35,14
운송초등학교,23,13,15,15,17,19,10
월내초등학교,31,30,28,28,27,27,15
월평초등학교,12,8,12,12,16,12,9
장산초등학교,95,133,130,130,142,151,41
장안초등학교,15,8,10,11,9,8,8
재송초등학교,68,66,73,65,88,87,25
정관초등학교,223,215,245,225,219,208,59
좌동초등학교,67,62,78,83,104,109,29
좌산초등학교,76,88,74,96,84,102,27
좌천초등학교,8,12,7,3,9,9,9
죽성초등학교,15,17,19,6,8,14,9
철마초등학교,14,15,18,13,22,11,8
칠암초등학교,10,9,11,8,10,12,9
해강초등학교,119,140,133,133,126,142,39
해동초등학교,54,53,56,63,81,79,24
해림초등학교,181,164,152,180,176,150,47
해송초등학교,96,124,114,108,125,110,37
해운대초등학교,177,182,174,148,142,151,48
호암초등학교,91,88,89,65,81,52,26
충렬초등학교,17,18,24,22,32,24,11
금명초등학교,72,93,96,97,96,125,30
명진초등학교,84,111,113,91,125,110,32
학사초등학교,63,67,86,88,79,86,25
화잠초등학교,81,87,72,68,73,77,25
인지초등학교,84,99,82,117,119,120,33
용문초등학교,129,166,150,156,189,188,45
을숙도초등학교,97,118,109,109,124,117,35
금샘초등학교,27,33,24,29,33,42,18
신덕초등학교,42,52,45,38,61,63,19
상학초등학교,49,51,48,37,33,36,15
동양초등학교,27,37,31,35,57,47,16
보림초등학교,85,83,94,87,107,85,32
무정초등학교,70,55,68,57,73,74,24
두실초등학교,127,120,125,144,139,148,41
안진초등학교,62,76,76,56,83,75,23
삼어초등학교,52,55,57,55,55,52,21
센텀초등학교,185,213,249,234,289,301,65
송수초등학교,131,151,178,172,155,168,46
주양초등학교,54,56,52,60,61,66,23
예원초등학교,139,145,142,147,211,182,45
몰운대초등학교,118,168,144,143,169,157,46
오륙도초등학교,84,90,78,92,108,107,28
내리초등학교,32,26,28,18,21,25,14
명호초등학교,247,265,278,266,278,292,73
신정초등학교,116,147,128,123,154,133,39
달산초등학교,117,119,108,104,130,117,32
남명초등학교,130,159,139,123,144,146,39
용소초등학교,183,187,199,198,215,205,48
방곡초등학교,161,214,205,176,212,210,55
녹산초등학교,200,216,205,204,200,179,57
해원초등학교,180,211,180,173,206,164,52
온샘초등학교,271,253,202,187,153,139,51
정원초등학교,158,182,205,218,244,256,60
부산알로이시오초등학교,8,8,5,7,6,22,9
금빛초등학교,109,125,116,126,137,155,40
화정초등학교,131,136,138,121,129,119,36
모전초등학교,272,270,304,287,285,265,77
가동초등학교,149,167,202,186,190,215,54
송정초등학교,140,167,140,133,127,124,41
오션초등학교,183,225,189,185,185,167,57
신명초등학교,199,260,243,250,250,207,65
명일초등학교,167,147,159,138,110,88,41
명원초등학교,223,371,337,300,264,264,71
일광초등학교,173,189,181,178,171,148,49
해빛초등학교,196,179,183,136,127,120,45
명문초등학교,232,0,0,0,0,0,32
