관할서명,서센터명,화재구분,접수일시,상황종료일시
조치원소방서,조치원119안전센터,일반화재(주택),2012-08-16 20:34,2012-08-16 21:07
조치원소방서,첫마을119안전센터,산불,2012-09-03 11:05,2012-09-03 13:48
조치원소방서,조치원119안전센터,기타화재,2012-09-03 19:23,2012-09-03 19:37
조치원소방서,부강119안전센터,기타화재,2012-07-21 19:51,2012-07-21 20:10
조치원소방서,부강119안전센터,기타화재,2012-08-03 14:01,2012-08-03 15:39
조치원소방서,전의119안전센터,대형화재,2012-08-03 14:48,2012-08-03 16:14
조치원소방서,첫마을119안전센터,일반화재(주택),2012-08-17 22:35,2012-08-18 0:02
조치원소방서,첫마을119안전센터,일반화재(주택),2012-08-04 18:46,2012-08-04 20:34
조치원소방서,조치원119구조대,고층화재,2012-08-19 18:15,2012-08-19 20:21
조치원소방서,부강119안전센터,일반화재(주택),2012-07-06 4:57,2012-07-06 6:02
조치원소방서,전의119안전센터,일반화재(주택),2012-08-04 21:22,2012-08-04 23:41
조치원소방서,부강119안전센터,기타화재,2012-08-05 6:29,2012-08-05 7:58
조치원소방서,조치원119안전센터,대형화재,2012-08-06 1:54,2012-08-06 4:40
조치원소방서,조치원119안전센터,일반화재(주택),2012-08-20 18:04,2012-08-20 19:04
조치원소방서,전의119안전센터,일반화재(주택),2012-08-20 22:21,2012-08-20 23:33
조치원소방서,조치원119구조대,기타화재,2012-07-24 20:24,2012-07-24 21:39
조치원소방서,부강119안전센터,일반화재(주택),2012-07-24 23:18,2012-07-25 0:25
조치원소방서,조치원119안전센터,일반화재(주택),2012-08-06 12:07,2012-08-06 13:39
조치원소방서,조치원119구조대,일반화재(주택),2012-07-08 12:27,2012-07-08 13:07
조치원소방서,조치원119안전센터,기타화재,2012-07-25 22:25,2012-07-25 22:25
조치원소방서,조치원119안전센터,기타화재,2012-08-06 22:37,2012-08-06 23:10
조치원소방서,조치원119안전센터,기타화재,2012-07-09 21:33,2012-07-09 22:12
조치원소방서,부강119안전센터,일반화재(차량),2012-07-26 17:42,2012-07-26 19:26
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-26 16:57,2012-07-26 19:20
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-26 22:49,2012-07-26 23:16
조치원소방서,첫마을119안전센터,산불,2012-07-27 9:55,2012-07-27 13:29
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-27 11:16,2012-07-27 12:58
조치원소방서,조치원119안전센터,기타화재,2012-07-27 13:14,2012-07-27 13:19
조치원소방서,전의119안전센터,일반화재(주택),2012-08-08 5:07,2012-08-08 6:32
조치원소방서,조치원119구조대,대형화재,2012-07-01 0:36,2012-08-08 7:31
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-10 14:08,2012-07-10 15:27
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-10 15:25,2012-07-10 15:27
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-10 14:08,2012-07-10 18:01
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-10 17:01,2012-07-10 18:01
조치원소방서,조치원119안전센터,일반화재(주택),2012-07-10 16:35,2012-07-10 17:08
조치원소방서,첫마을119안전센터,일반화재(주택),2012-07-11 11:15,2012-07-11 11:16
조치원소방서,첫마을119안전센터,고층화재,2012-07-11 11:15,2012-07-11 11:52
조치원소방서,부강119안전센터,대형화재,2012-07-11 14:32,2012-07-11 15:17
조치원소방서,조치원119안전센터,일반화재(차량),2012-08-26 0:16,2012-08-26 1:25
조치원소방서,조치원119안전센터,고층화재,2012-08-26 14:21,2012-08-26 15:30
조치원소방서,부강119안전센터,일반화재(주택),2012-07-12 15:03,2012-07-12 16:24
조치원소방서,부강119안전센터,일반화재(주택),2012-07-12 14:24,2012-07-12 15:08
조치원소방서,조치원119구조대,일반화재(주택),2012-07-12 16:19,2012-07-12 18:04
조치원소방서,첫마을119안전센터,일반화재(주택),2012-07-12 17:06,2012-07-12 18:03
조치원소방서,첫마을119안전센터,기타화재,2012-07-14 2:56,2012-07-14 3:55
조치원소방서,조치원119안전센터,기타화재,2012-07-27 23:44,2012-07-28 0:25
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-02 10:26,2012-12-02 12:21
조치원소방서,조치원119구조대,일반화재(주택),2012-12-02 20:55,2012-12-02 21:27
조치원소방서,부강119안전센터,대형화재,2012-09-18 19:48,2012-09-18 22:40
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-12 19:44,2012-10-12 20:29
조치원소방서,전의119안전센터,일반화재(주택),2012-11-07 13:51,2012-11-07 13:52
조치원소방서,첫마을119안전센터,기타화재,2012-11-07 14:58,2012-11-07 15:55
조치원소방서,전의119안전센터,일반화재(차량),2012-11-08 0:32,2012-11-08 1:49
조치원소방서,조치원119안전센터,일반화재(주택),2012-09-21 0:02,2012-09-21 0:57
조치원소방서,조치원119안전센터,고층화재,2012-10-14 9:58,2012-10-14 11:09
조치원소방서,조치원119안전센터,산불,2012-10-14 18:15,2012-10-14 21:08
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-15 14:16,2012-10-15 15:14
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-06 8:25,2012-12-06 9:16
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-16 2:22,2012-10-16 3:18
조치원소방서,조치원119구조대,기타화재,2012-10-16 13:24,2012-10-16 14:46
조치원소방서,조치원119안전센터,기타화재,2012-10-16 20:07,2012-10-16 21:56
조치원소방서,전의119안전센터,일반화재(주택),2012-10-17 2:33,2012-10-17 4:29
조치원소방서,조치원119안전센터,일반화재(주택),2012-11-10 23:56,2012-11-11 0:57
조치원소방서,조치원119안전센터,기타화재,2012-10-18 7:04,2012-10-18 7:21
조치원소방서,조치원119안전센터,기타화재,2012-10-18 7:29,2012-10-18 8:19
조치원소방서,전의119안전센터,일반화재(주택),2012-11-13 9:35,2012-11-13 12:45
조치원소방서,전의119안전센터,대형화재,2012-09-25 14:26,2012-09-25 17:01
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-20 19:25,2012-10-20 20:26
조치원소방서,부강119안전센터,일반화재(주택),2012-10-20 16:46,2012-10-20 18:05
조치원소방서,전의119안전센터,기타화재,2012-10-21 16:28,2012-10-21 16:58
조치원소방서,첫마을119안전센터,기타화재,2012-10-21 19:03,2012-10-21 19:36
조치원소방서,조치원119안전센터,일반화재(주택),2012-11-15 14:49,2012-11-15 16:34
조치원소방서,전의119안전센터,일반화재(주택),2012-10-28 22:15,2012-10-29 9:16
조치원소방서,첫마을119안전센터,일반화재(주택),2012-09-26 16:13,2012-09-26 20:58
조치원소방서,부강119안전센터,일반화재(차량),2012-09-26 18:25,2012-09-26 22:09
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-23 3:22,2012-10-23 7:39
조치원소방서,조치원119안전센터,기타화재,2012-11-16 12:31,2012-11-16 15:05
조치원소방서,첫마을119안전센터,기타화재,2012-10-24 1:23,2012-10-24 3:17
조치원소방서,조치원119구조대,일반화재(주택),2012-11-18 1:08,2012-11-18 9:01
조치원소방서,조치원119안전센터,기타화재,2012-10-25 10:06,2012-10-25 10:37
조치원소방서,조치원119안전센터,산불,2012-10-25 11:13,2012-10-25 12:01
조치원소방서,첫마을119안전센터,고층화재,2012-11-20 15:11,2012-11-20 16:17
조치원소방서,부강119안전센터,일반화재(주택),2012-09-08 19:05,2012-09-08 20:33
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-01 18:15,2012-10-01 19:01
조치원소방서,조치원119안전센터,기타화재,2012-10-25 16:41,2012-10-25 16:59
조치원소방서,조치원119구조대,기타화재,2012-10-26 13:10,2012-10-26 16:18
조치원소방서,부강119안전센터,일반화재(차량),2012-09-10 12:36,2012-09-10 13:38
조치원소방서,조치원119안전센터,산불,2012-09-10 14:52,2012-09-10 16:48
조치원소방서,첫마을119안전센터,기타화재,2012-09-10 14:56,2012-09-10 16:48
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-03 15:35,2012-10-03 15:35
조치원소방서,조치원119안전센터,일반화재(주택),2012-10-03 15:36,2012-10-03 15:37
조치원소방서,첫마을119안전센터,기타화재,2012-10-03 17:13,2012-10-03 17:58
조치원소방서,조치원119안전센터,기타화재,2012-10-29 16:24,2012-10-29 16:25
조치원소방서,전의119안전센터,일반화재(주택),2012-11-22 17:15,2012-11-22 17:45
조치원소방서,첫마을119안전센터,산불,2012-09-11 19:36,2012-09-11 21:23
조치원소방서,전의119안전센터,일반화재(차량),2012-10-05 16:21,2012-10-05 16:53
조치원소방서,조치원119안전센터,일반화재(주택),2012-11-23 23:36,2012-11-24 0:06
조치원소방서,조치원119안전센터,일반화재(차량),2012-11-24 6:55,2012-11-24 7:19
조치원소방서,전의119안전센터,일반화재(차량),2012-11-24 23:02,2012-11-24 23:35
조치원소방서,부강119안전센터,일반화재(주택),2012-10-06 14:38,2012-10-06 15:34
조치원소방서,조치원119안전센터,일반화재(주택),2012-11-25 7:37,2012-11-25 8:04
조치원소방서,부강119안전센터,기타화재,2012-11-25 7:03,2012-11-25 8:54
조치원소방서,첫마을119안전센터,일반화재(주택),2012-09-15 0:19,2012-09-15 3:25
조치원소방서,부강119안전센터,기타화재,2012-10-07 20:44,2012-10-07 22:31
조치원소방서,전의119안전센터,일반화재(주택),2012-10-09 8:50,2012-10-09 9:53
조치원소방서,조치원119구조대,일반화재(주택),2012-11-02 21:20,2012-11-02 22:43
조치원소방서,첫마을119안전센터,일반화재(주택),2012-11-03 17:04,2012-11-03 18:20
조치원소방서,조치원119안전센터,산불,2012-11-03 19:21,2012-11-03 19:43
조치원소방서,전의119안전센터,일반화재(주택),2012-11-27 14:28,2012-11-27 14:56
조치원소방서,조치원119안전센터,일반화재(주택),2012-11-28 9:48,2012-11-28 10:20
조치원소방서,전의119안전센터,기타화재,2012-09-17 8:52,2012-09-17 9:57
조치원소방서,첫마을119안전센터,일반화재(주택),2012-11-03 21:41,2012-11-03 22:41
조치원소방서,조치원119안전센터,기타화재,2012-11-05 6:08,2012-11-05 6:37
조치원소방서,전의119안전센터,기타화재,2012-11-29 17:11,2012-11-29 17:55
조치원소방서,조치원119구조대,일반화재(주택),2012-10-11 17:21,2012-10-11 17:50
조치원소방서,전의119안전센터,일반화재(주택),2012-11-05 19:36,2012-11-05 19:40
조치원소방서,첫마을119안전센터,일반화재(주택),2012-11-05 20:33,2012-11-05 21:30
조치원소방서,조치원119구조대,기타화재,2013-03-04 15:27,2013-03-04 15:52
조치원소방서,조치원119안전센터,일반화재(주택),2013-03-05 11:51,2013-03-05 12:34
조치원소방서,부강119안전센터,산불,2013-03-05 13:12,2013-03-05 14:23
조치원소방서,첫마을119안전센터,일반화재(주택),2013-03-05 13:25,2013-03-05 14:23
조치원소방서,부강119안전센터,기타화재,2013-03-05 14:10,2013-03-05 14:31
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-30 20:00,2012-12-30 20:34
조치원소방서,전의119안전센터,일반화재(주택),2013-02-09 22:52,2013-02-10 1:31
조치원소방서,조치원119안전센터,고층화재,2013-02-10 3:21,2013-02-10 4:27
조치원소방서,조치원119안전센터,고층화재,2013-02-10 13:07,2013-02-10 13:36
조치원소방서,조치원119구조대,산불,2013-03-05 14:50,2013-03-05 16:56
조치원소방서,조치원119안전센터,기타화재,2013-03-05 19:32,2013-03-05 20:02
조치원소방서,부강119안전센터,일반화재(주택),2013-03-05 23:43,2013-03-06 1:10
조치원소방서,조치원119안전센터,산불,2013-03-06 13:50,2013-03-06 15:04
조치원소방서,전의119안전센터,산불,2013-03-06 13:58,2013-03-06 14:59
조치원소방서,조치원119구조대,산불,2013-03-06 14:15,2013-03-06 14:42
조치원소방서,조치원119구조대,산불,2013-03-06 15:52,2013-03-06 19:25
조치원소방서,조치원119안전센터,일반화재(주택),2013-01-18 11:29,2013-01-18 12:26
조치원소방서,첫마을119안전센터,기타화재,2013-03-06 18:43,2013-03-06 19:25
조치원소방서,첫마을119안전센터,기타화재,2013-03-06 19:56,2013-03-06 20:10
조치원소방서,전의119안전센터,산불,2013-03-06 23:47,2013-03-07 2:53
조치원소방서,조치원119안전센터,일반화재(주택),2013-03-07 14:03,2013-03-07 15:23
조치원소방서,부강119안전센터,일반화재(주택),2013-02-13 12:02,2013-02-13 15:02
조치원소방서,부강119안전센터,기타화재,2013-02-13 12:53,2013-02-13 15:02
조치원소방서,부강119안전센터,일반화재(주택),2013-02-13 12:53,2013-02-13 18:18
조치원소방서,첫마을119안전센터,기타화재,2013-03-08 10:02,2013-03-08 11:50
조치원소방서,첫마을119안전센터,산불,2013-03-08 12:16,2013-03-08 14:52
조치원소방서,조치원119안전센터,기타화재,2013-03-08 13:54,2013-03-08 14:54
조치원소방서,첫마을119안전센터,기타화재,2013-03-08 14:18,2013-03-08 15:09
조치원소방서,전의119안전센터,대형화재,2013-03-08 14:45,2013-03-08 15:17
조치원소방서,전의119안전센터,기타화재,2013-03-08 15:23,2013-03-08 17:22
조치원소방서,조치원119안전센터,기타화재,2013-03-08 19:15,2013-03-08 20:46
조치원소방서,조치원119안전센터,기타화재,2013-03-09 8:32,2013-03-09 9:18
조치원소방서,전의119안전센터,산불,2013-03-09 12:29,2013-03-10 6:34
조치원소방서,전의119안전센터,일반화재(주택),2013-03-09 13:02,2013-03-09 20:10
조치원소방서,첫마을119안전센터,대형화재,2013-01-19 14:50,2013-01-19 19:06
조치원소방서,조치원119안전센터,일반화재(주택),2013-01-19 16:36,2013-01-19 17:09
조치원소방서,첫마을119안전센터,일반화재(주택),2013-01-19 17:58,2013-01-19 19:32
조치원소방서,부강119안전센터,기타화재,2013-01-05 0:28,2013-01-05 0:56
조치원소방서,조치원119구조대,일반화재(주택),2013-01-06 8:48,2013-01-06 13:03
조치원소방서,전의119안전센터,일반화재(주택),2013-01-06 10:37,2013-01-06 13:02
조치원소방서,전의119안전센터,대형화재,2013-02-14 13:43,2013-02-14 23:38
조치원소방서,전의119안전센터,산불,2013-03-09 17:46,2013-03-09 20:09
조치원소방서,첫마을119안전센터,기타화재,2013-03-10 10:09,2013-03-10 11:17
조치원소방서,조치원119안전센터,고층화재,2013-03-10 16:08,2013-03-10 16:56
조치원소방서,첫마을119안전센터,기타화재,2013-03-10 16:11,2013-03-10 16:53
조치원소방서,첫마을119안전센터,기타화재,2013-03-10 19:57,2013-03-10 21:23
조치원소방서,첫마을119안전센터,일반화재(주택),2013-03-11 6:49,2013-03-11 8:03
조치원소방서,조치원119안전센터,일반화재(주택),2013-01-08 16:30,2013-01-08 18:14
조치원소방서,조치원119안전센터,일반화재(주택),2013-02-15 14:04,2013-02-15 16:04
조치원소방서,첫마을119안전센터,기타화재,2013-02-15 15:54,2013-02-15 16:11
조치원소방서,첫마을119안전센터,산불,2013-02-16 16:30,2013-02-16 18:44
조치원소방서,첫마을119안전센터,일반화재(차량),2013-02-16 17:16,2013-02-16 17:31
조치원소방서,조치원119안전센터,기타화재,2013-03-12 16:33,2013-03-12 16:56
조치원소방서,조치원119안전센터,일반화재(주택),2013-03-12 16:55,2013-03-12 17:07
조치원소방서,조치원119구조대,일반화재(차량),2013-03-12 22:35,2013-03-12 23:30
조치원소방서,전의119안전센터,기타화재,2013-03-12 19:11,2013-03-12 19:43
조치원소방서,조치원119구조대,기타화재,2013-01-22 10:19,2013-01-22 12:11
조치원소방서,조치원119안전센터,일반화재(주택),2013-01-23 10:55,2013-01-23 11:50
조치원소방서,전의119안전센터,일반화재(주택),2013-01-23 12:53,2013-01-23 14:06
조치원소방서,조치원119안전센터,일반화재(차량),2013-01-08 20:45,2013-01-08 21:34
조치원소방서,조치원119구조대,일반화재(주택),2013-02-18 4:53,2013-02-18 7:31
조치원소방서,첫마을119안전센터,일반화재(주택),2013-02-18 12:03,2013-02-18 13:18
조치원소방서,조치원119안전센터,기타화재,2013-02-18 18:32,2013-02-18 18:45
조치원소방서,조치원119구조대,일반화재(주택),2013-03-11 12:05,2013-03-11 14:05
조치원소방서,전의119안전센터,일반화재(주택),2013-03-11 17:52,2013-03-11 19:04
조치원소방서,전의119안전센터,산불,2013-03-11 19:01,2013-03-11 20:26
조치원소방서,조치원119안전센터,기타화재,2013-03-12 14:05,2013-03-12 15:29
조치원소방서,부강119안전센터,일반화재(주택),2013-01-24 12:41,2013-01-24 12:42
조치원소방서,전의119안전센터,일반화재(주택),2013-01-24 12:39,2013-01-24 12:40
조치원소방서,첫마을119안전센터,일반화재(주택),2013-01-10 16:12,2013-01-10 16:34
조치원소방서,부강119안전센터,기타화재,2013-01-10 16:09,2013-01-10 17:57
조치원소방서,조치원119구조대,기타화재,2013-01-26 21:11,2013-01-27 2:52
조치원소방서,첫마을119안전센터,산불,2013-01-27 9:00,2013-01-27 10:11
조치원소방서,부강119안전센터,기타화재,2013-01-27 18:39,2013-01-27 19:03
조치원소방서,부강119안전센터,일반화재(주택),2012-12-11 10:05,2012-12-11 12:31
조치원소방서,전의119안전센터,일반화재(주택),2012-12-11 11:37,2012-12-11 13:30
조치원소방서,부강119안전센터,일반화재(주택),2012-12-11 12:58,2012-12-11 13:02
조치원소방서,부강119안전센터,일반화재(주택),2012-12-11 13:02,2012-12-11 13:06
조치원소방서,부강119안전센터,일반화재(주택),2012-12-11 13:06,2012-12-11 13:09
조치원소방서,전의119안전센터,일반화재(주택),2012-12-11 13:58,2012-12-11 15:29
조치원소방서,조치원119구조대,일반화재(주택),2012-12-11 14:20,2012-12-11 14:40
조치원소방서,조치원119구조대,일반화재(주택),2012-12-11 18:04,2012-12-11 18:53
조치원소방서,조치원119안전센터,기타화재,2013-01-25 8:58,2013-01-25 9:44
조치원소방서,첫마을119안전센터,기타화재,2013-01-26 0:02,2013-01-26 1:20
조치원소방서,전의119안전센터,일반화재(차량),2013-01-27 21:32,2013-01-27 22:47
조치원소방서,조치원119구조대,산불,2013-01-28 14:05,2013-01-28 16:42
조치원소방서,조치원119구조대,일반화재(차량),2013-01-29 13:43,2013-01-29 15:18
조치원소방서,부강119안전센터,기타화재,2013-02-20 16:07,2013-02-20 18:06
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-18 5:40,2012-12-18 6:28
조치원소방서,첫마을119안전센터,기타화재,2013-01-30 12:52,2013-01-30 14:42
조치원소방서,부강119안전센터,일반화재(주택),2013-01-31 10:40,2013-01-31 11:48
조치원소방서,전의119안전센터,산불,2013-02-21 12:51,2013-02-21 13:51
조치원소방서,조치원119안전센터,기타화재,2013-02-21 15:31,2013-02-21 17:06
조치원소방서,첫마을119안전센터,산불,2013-02-21 17:16,2013-02-21 18:06
조치원소방서,첫마을119안전센터,일반화재(주택),2013-02-21 17:54,2013-02-21 17:55
조치원소방서,첫마을119안전센터,일반화재(주택),2013-02-22 0:36,2013-02-22 6:25
조치원소방서,조치원119구조대,일반화재(주택),2013-02-22 7:21,2013-02-22 7:28
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-13 16:16,2012-12-13 17:18
조치원소방서,조치원119구조대,일반화재(주택),2012-12-13 20:02,2012-12-13 21:21
조치원소방서,전의119안전센터,일반화재(차량),2012-12-14 6:44,2012-12-14 9:19
조치원소방서,첫마을119안전센터,일반화재(주택),2012-12-19 21:07,2012-12-19 22:59
조치원소방서,조치원119안전센터,기타화재,2013-01-31 18:00,2013-01-31 18:09
조치원소방서,첫마을119안전센터,일반화재(주택),2013-02-23 21:08,2013-02-23 23:17
조치원소방서,전의119안전센터,일반화재(주택),2012-12-14 19:30,2012-12-14 23:25
조치원소방서,첫마을119안전센터,기타화재,2013-02-02 9:21,2013-02-02 9:24
조치원소방서,조치원119안전센터,기타화재,2013-02-02 9:31,2013-02-02 9:32
조치원소방서,조치원119안전센터,기타화재,2013-02-02 9:36,2013-02-02 11:48
조치원소방서,전의119안전센터,일반화재(주택),2013-02-03 4:48,2013-02-03 5:48
조치원소방서,조치원119안전센터,기타화재,2013-02-24 14:04,2013-02-24 14:58
조치원소방서,전의119안전센터,기타화재,2013-02-24 16:27,2013-02-24 21:30
조치원소방서,조치원119안전센터,기타화재,2013-02-25 0:19,2013-02-25 1:13
조치원소방서,조치원119안전센터,기타화재,2012-12-15 6:30,2012-12-15 7:11
조치원소방서,조치원119구조대,일반화재(주택),2012-12-15 20:37,2012-12-15 23:57
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-22 6:54,2012-12-22 7:31
조치원소방서,부강119안전센터,일반화재(주택),2012-12-22 14:16,2012-12-22 14:27
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-22 15:48,2012-12-22 16:23
조치원소방서,조치원119구조대,기타화재,2013-02-26 16:12,2013-02-26 17:23
조치원소방서,조치원119구조대,산불,2013-02-26 20:30,2013-02-26 20:50
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-17 8:58,2012-12-17 8:59
조치원소방서,첫마을119안전센터,대형화재,2012-12-24 14:42,2012-12-25 2:40
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-24 16:25,2012-12-24 16:59
조치원소방서,조치원119구조대,일반화재(차량),2013-02-06 6:46,2013-02-06 8:32
조치원소방서,첫마을119안전센터,일반화재(주택),2013-02-27 9:18,2013-02-27 10:40
조치원소방서,부강119안전센터,일반화재(주택),2013-02-27 13:40,2013-02-27 14:14
조치원소방서,조치원119안전센터,일반화재(주택),2013-02-07 16:49,2013-02-07 19:05
조치원소방서,첫마을119안전센터,일반화재(주택),2013-02-06 11:10,2013-02-06 12:27
조치원소방서,조치원119안전센터,기타화재,2013-02-28 13:22,2013-02-28 14:11
조치원소방서,부강119안전센터,산불,2013-02-28 14:19,2013-02-28 15:10
조치원소방서,부강119안전센터,기타화재,2013-02-28 21:15,2013-02-28 21:45
조치원소방서,전의119안전센터,기타화재,2013-02-28 23:27,2013-02-28 23:57
조치원소방서,조치원119안전센터,기타화재,2013-03-02 11:53,2013-03-02 14:37
조치원소방서,첫마을119안전센터,기타화재,2013-03-02 12:13,2013-03-02 13:06
조치원소방서,첫마을119안전센터,일반화재(주택),2013-01-13 14:05,2013-01-13 14:44
조치원소방서,조치원119안전센터,일반화재(주택),2012-12-26 20:09,2012-12-26 20:39
조치원소방서,부강119안전센터,일반화재(차량),2012-12-27 11:58,2012-12-27 12:06
조치원소방서,조치원119안전센터,기타화재,2013-02-08 22:03,2013-02-08 22:37
조치원소방서,첫마을119안전센터,일반화재(차량),2013-02-09 18:39,2013-02-09 19:00
조치원소방서,첫마을119안전센터,기타화재,2013-03-02 19:06,2013-03-02 20:00
조치원소방서,부강119안전센터,일반화재(주택),2013-03-03 6:29,2013-03-03 7:35
조치원소방서,전의119안전센터,일반화재(주택),2013-03-03 18:33,2013-03-03 19:07
조치원소방서,전의119안전센터,일반화재(주택),2013-01-14 19:30,2013-01-14 21:49
조치원소방서,조치원119구조대,기타화재,2012-12-29 7:28,2012-12-29 9:48
조치원소방서,전의119안전센터,대형화재,2012-12-29 12:12,2012-12-29 13:12
조치원소방서,조치원119안전센터,기타화재,2013-03-15 16:55,2013-03-15 17:51
조치원소방서,조치원119구조대,산불,2013-03-15 18:26,2013-03-15 19:44
조치원소방서,부강119안전센터,기타화재,2013-03-16 15:11,2013-03-16 15:56
조치원소방서,부강119안전센터,기타화재,2013-03-16 11:34,2013-03-16 13:26
조치원소방서,부강119안전센터,기타화재,2013-03-16 12:06,2013-03-16 12:45
조치원소방서,전의119안전센터,일반화재(주택),2013-04-09 10:30,2013-04-09 11:36
조치원소방서,첫마을119안전센터,기타화재,2013-04-09 12:29,2013-04-09 13:40
조치원소방서,부강119안전센터,대형화재,2013-04-09 18:29,2013-04-10 11:45
조치원소방서,부강119안전센터,산불,2013-03-17 8:46,2013-03-17 10:29
조치원소방서,전의119안전센터,일반화재(주택),2013-03-17 15:17,2013-03-17 16:05
조치원소방서,조치원119안전센터,기타화재,2013-03-17 17:23,2013-03-17 18:35
조치원소방서,조치원119안전센터,일반화재(주택),2013-03-17 18:33,2013-03-17 19:38
조치원소방서,전의119안전센터,대형화재,2013-03-17 21:43,2013-03-18 2:40
조치원소방서,조치원119안전센터,기타화재,2013-03-18 8:54,2013-03-18 9:26
조치원소방서,조치원119구조대,일반화재(주택),2013-04-10 17:58,2013-04-11 7:54
조치원소방서,전의119안전센터,기타화재,2013-04-11 10:39,2013-04-11 11:13
조치원소방서,전의119안전센터,기타화재,2013-04-11 20:45,2013-04-11 20:59
조치원소방서,전의119안전센터,기타화재,2013-06-16 7:25,2013-06-16 7:57
조치원소방서,조치원119안전센터,기타화재,2013-06-16 13:18,2013-06-16 13:46
조치원소방서,전의119안전센터,일반화재(주택),2013-04-12 9:59,2013-04-12 10:13
조치원소방서,전의119안전센터,일반화재(주택),2013-04-13 8:33,2013-04-13 10:02
조치원소방서,부강119안전센터,기타화재,2013-04-13 18:59,2013-04-13 19:21
조치원소방서,조치원119구조대,산불,2013-05-07 15:43,2013-05-07 17:03
조치원소방서,조치원119구조대,기타화재,2013-05-07 19:24,2013-05-07 20:18
조치원소방서,조치원119안전센터,일반화재(주택),2013-03-21 9:42,2013-03-21 10:42
조치원소방서,부강119안전센터,기타화재,2013-04-13 21:19,2013-04-13 22:32
조치원소방서,부강119안전센터,일반화재(주택),2013-04-14 13:49,2013-04-14 16:39
조치원소방서,전의119안전센터,산불,2013-05-08 12:08,2013-05-08 12:43
조치원소방서,첫마을119안전센터,산불,2013-05-08 21:20,2013-05-08 22:26
조치원소방서,조치원119안전센터,기타화재,2013-03-21 19:30,2013-03-21 22:09
조치원소방서,첫마을119안전센터,일반화재(차량),2013-03-21 19:59,2013-03-21 20:38
