응답자ID,성별,1번문항,10번문항,19번문항
105,남,매우 잘 알고 있다.,보통정도이다.,보통 수준이다.
106,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
107,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
108,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
109,남,매우 잘 알고 있다.,보통정도이다.,없다.
110,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
111,남,보통이다.,자주 들어본 적이 있다.,많다.
112,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
113,남,보통이다.,보통정도이다.,없다.
114,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
115,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
116,여,보통이다.,자주 들어본 적이 있다.,없다.
117,남,잘 모르고 있다.,들어본 적이 있다.,많다.
118,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
119,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
120,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
121,남,보통이다.,자주 들어본 적이 있다.,없다.
122,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
123,여,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
124,남,보통이다.,보통정도이다.,보통 수준이다.
125,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
126,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
127,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
128,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
129,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
130,여,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
131,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
132,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
133,남,매우 잘 알고 있다.,보통정도이다.,없다.
134,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
135,여,잘 알고 있다.,자주 들어본 적은 없다.,없다.
136,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
137,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
138,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
139,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
140,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
141,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
142,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
143,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
144,남,매우 잘 알고 있다.,보통정도이다.,없다.
145,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
146,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
147,남,보통이다.,자주 들어본 적이 있다.,없다.
148,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
149,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
150,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
151,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
152,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
153,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
154,남,잘 알고 있다.,보통정도이다.,없다.
155,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
156,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
157,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
158,남,매우 잘 모르고 있다.,보통정도이다.,전혀 없다.
159,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
160,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
161,여,잘 알고 있다.,자주 들어본 적이 있다.,많다.
162,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
163,남,잘 알고 있다.,보통정도이다.,없다.
164,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
165,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
166,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
167,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
168,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
169,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
170,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
171,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
172,여,잘 알고 있다.,들어본 적이 있다.,없다.
173,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
174,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
175,여,매우 잘 알고 있다.,전혀 들어본적이 없다.,전혀 없다.
176,남,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
177,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
178,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
179,남,매우 잘 알고 있다.,보통정도이다.,없다.
180,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
181,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
182,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
183,여,잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
184,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
185,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
186,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
187,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
188,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
189,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
190,남,매우 잘 알고 있다.,들어본 적이 있다.,매우 많다.
191,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
192,남,매우 잘 모르고 있다.,자주 들어본 적이 있다.,없다.
193,여,매우 잘 알고 있다.,보통정도이다.,보통 수준이다.
194,여,잘 알고 있다.,보통정도이다.,없다.
195,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
196,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
197,여,보통이다.,들어본 적이 있다.,없다.
198,여,잘 알고 있다.,들어본 적이 있다.,없다.
199,남,보통이다.,들어본 적이 있다.,전혀 없다.
200,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
201,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
202,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
203,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
204,여,잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
205,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
206,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
207,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
208,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
209,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
210,여,보통이다.,자주 들어본 적은 없다.,없다.
211,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
212,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
213,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
214,여,잘 알고 있다.,보통정도이다.,전혀 없다.
215,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
216,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
217,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
218,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
219,여,매우 잘 알고 있다.,보통정도이다.,없다.
220,여,잘 알고 있다.,들어본 적이 있다.,없다.
221,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
222,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
223,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
224,남,매우 잘 알고 있다.,보통정도이다.,없다.
225,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
226,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
227,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
228,남,매우 잘 알고 있다.,보통정도이다.,없다.
229,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
230,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
231,남,보통이다.,자주 들어본 적이 있다.,없다.
232,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
233,여,매우 잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
234,남,잘 알고 있다.,자주 들어본 적은 없다.,없다.
235,여,매우 잘 알고 있다.,보통정도이다.,없다.
236,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
237,여,보통이다.,자주 들어본 적이 있다.,없다.
238,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
239,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
240,남,보통이다.,들어본 적이 있다.,없다.
241,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
242,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
243,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
244,남,잘 알고 있다.,들어본 적이 있다.,없다.
246,여,보통이다.,보통정도이다.,전혀 없다.
247,여,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
248,여,보통이다.,자주 들어본 적이 있다.,없다.
249,여,잘 알고 있다.,들어본 적이 있다.,없다.
250,여,보통이다.,보통정도이다.,없다.
251,남,잘 알고 있다.,보통정도이다.,전혀 없다.
252,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
253,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
254,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
255,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
256,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
257,여,잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
258,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
259,남,매우 잘 알고 있다.,보통정도이다.,없다.
260,여,잘 알고 있다.,보통정도이다.,전혀 없다.
261,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
262,여,보통이다.,자주 들어본 적이 있다.,많다.
263,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,많다.
264,남,잘 알고 있다.,보통정도이다.,전혀 없다.
265,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,보통 수준이다.
266,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
267,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
268,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
269,여,매우 잘 알고 있다.,보통정도이다.,없다.
270,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
271,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
272,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
273,남,보통이다.,자주 들어본 적이 있다.,없다.
274,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
275,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
276,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,없다.
277,여,잘 알고 있다.,들어본 적이 있다.,보통 수준이다.
278,여,보통이다.,들어본 적이 있다.,없다.
279,여,잘 알고 있다.,보통정도이다.,없다.
280,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
281,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
282,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
283,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
284,여,보통이다.,자주 들어본 적이 있다.,없다.
285,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
286,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
287,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
288,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
289,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
290,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
291,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
292,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
293,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
294,남,보통이다.,들어본 적이 있다.,보통 수준이다.
295,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
296,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
297,여,보통이다.,들어본 적이 있다.,매우 많다.
298,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
299,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
300,여,잘 알고 있다.,들어본 적이 있다.,없다.
301,남,매우 잘 알고 있다.,전혀 들어본적이 없다.,전혀 없다.
302,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
303,남,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
304,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
305,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
306,여,잘 알고 있다.,보통정도이다.,전혀 없다.
307,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
308,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
309,남,잘 모르고 있다.,보통정도이다.,없다.
310,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
311,남,잘 알고 있다.,들어본 적이 있다.,없다.
312,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
313,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
314,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
315,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
316,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
317,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
318,여,매우 잘 알고 있다.,들어본 적이 있다.,없다.
319,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
320,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
321,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
322,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
323,남,보통이다.,자주 들어본 적이 있다.,없다.
324,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
325,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
326,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
327,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
328,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
329,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
330,여,잘 알고 있다.,자주 들어본 적은 없다.,없다.
331,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
332,여,보통이다.,자주 들어본 적이 있다.,없다.
333,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
334,남,보통이다.,들어본 적이 있다.,보통 수준이다.
335,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
336,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
337,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
338,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
339,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
340,여,보통이다.,들어본 적이 있다.,보통 수준이다.
341,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
342,여,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
343,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
344,여,잘 알고 있다.,들어본 적이 있다.,없다.
345,여,보통이다.,자주 들어본 적이 있다.,전혀 없다.
346,남,매우 잘 알고 있다.,들어본 적이 있다.,없다.
347,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
348,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
349,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
350,남,보통이다.,들어본 적이 있다.,전혀 없다.
351,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
352,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,매우 많다.
353,여,보통이다.,자주 들어본 적이 있다.,없다.
354,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
355,남,잘 알고 있다.,보통정도이다.,없다.
356,남,잘 모르고 있다.,자주 들어본 적은 없다.,없다.
357,여,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
358,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
359,여,잘 알고 있다.,들어본 적이 있다.,없다.
360,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
361,여,잘 알고 있다.,보통정도이다.,없다.
362,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
363,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
364,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
365,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
366,남,잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
367,남,잘 모르고 있다.,자주 들어본 적이 있다.,보통 수준이다.
368,여,보통이다.,자주 들어본 적이 있다.,없다.
369,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
370,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
371,여,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
372,남,잘 모르고 있다.,자주 들어본 적이 있다.,없다.
373,여,잘 알고 있다.,자주 들어본 적이 있다.,없다.
374,남,보통이다.,들어본 적이 있다.,없다.
375,남,매우 잘 알고 있다.,보통정도이다.,없다.
376,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
377,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
378,남,보통이다.,들어본 적이 있다.,전혀 없다.
379,여,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
380,남,매우 잘 알고 있다.,자주 들어본 적은 없다.,전혀 없다.
381,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
382,남,잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
383,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
384,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
385,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
386,남,매우 잘 알고 있다.,보통정도이다.,전혀 없다.
387,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
388,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
389,남,매우 잘 알고 있다.,자주 들어본 적이 있다.,많다.
390,여,보통이다.,들어본 적이 있다.,보통 수준이다.
391,여,잘 알고 있다.,보통정도이다.,없다.
392,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
393,여,보통이다.,자주 들어본 적이 있다.,없다.
394,남,잘 알고 있다.,보통정도이다.,없다.
395,남,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
396,남,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
397,남,잘 모르고 있다.,자주 들어본 적이 있다.,전혀 없다.
398,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
399,남,잘 알고 있다.,보통정도이다.,없다.
400,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
401,여,매우 잘 알고 있다.,전혀 들어본적이 없다.,보통 수준이다.
402,남,보통이다.,자주 들어본 적이 있다.,없다.
403,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
404,남,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
405,여,잘 알고 있다.,들어본 적이 있다.,전혀 없다.
406,여,매우 잘 알고 있다.,들어본 적이 있다.,전혀 없다.
407,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,보통 수준이다.
408,여,보통이다.,자주 들어본 적이 있다.,보통 수준이다.
409,여,매우 잘 알고 있다.,자주 들어본 적이 있다.,없다.
410,여,잘 알고 있다.,자주 들어본 적이 있다.,전혀 없다.
411,여,매우 잘 알고 있다.,보통정도이다.,없다.
412,남,보통이다.,자주 들어본 적이 있다.,전혀 없다.
413,여,보통이다.,자주 들어본 적이 있다.,없다.
414,여,보통이다.,보통정도이다.,전혀 없다.
415,여,매우 잘 알고 있다.,보통정도이다.,없다.
416,여,잘 알고 있다.,들어본 적이 있다.,없다.
417,남,잘 알고 있다.,자주 들어본 적이 있다.,없다.
