번호,홍보비,제작비,예산,영화길이_분,남자_주연_배우_순위,여_주연_배우_순위,디렉터_순위,프로듀서_순위,비평가_순위,트레일러_뷰수,3D_가능여부,트위터_해시태그_수,장르,배우_평균_나이
59,20.2864,57.64,37862.88,114,5.685,5.86,5.815,5.99,8.98,512129,Y,305.056,Drama,45
60,23.089,65.26,34135.475,102.7,6.01,6.115,5.965,6.28,7.06,480067,N,283.728,Comedy,22
61,22.0656,65.26,32924.485,120.7,6.37,6.66,6.45,6.66,7.06,467075,Y,283.136,Comedy,20
62,22.9864,65.26,31891.255,139.7,6.335,6.42,6.235,6.56,7.06,465689,N,222.992,Thriller,30
63,23.4342,65.26,33141.13,166.9,6.58,6.665,6.46,6.655,7.06,430178,N,302.56,Thriller,48
64,22.2054,65.26,35863.08,141.3,6.225,6.46,6.285,6.58,7.06,525189,Y,203.552,Comedy,56
65,22.53,65.26,37562.91,116.9,5.885,6.155,5.95,6.045,8.06,469499,Y,264,Action,28
66,20.3902,57.76,39462.72,133,5.28,5.455,5.315,5.505,7.28,477265,Y,205.28,Action,30
67,20.7168,61.74,34940.95,91.3,6.69,6.785,6.575,6.725,8.78,545499,N,243.76,Thriller,20
68,20.8758,61.74,32146.785,104.6,6.65,6.78,6.58,6.77,8.78,465605,N,223.104,Action,44
69,21.1578,67.14,32652.29,94.9,6.68,6.8,6.74,6.785,8.22,493569,Y,263.52,Thriller,29
70,22.7108,67.14,31074.67,110.3,6.745,6.915,6.73,6.615,8.22,461313,N,302.784,Thriller,40
71,22.5632,67.14,32691.175,106.5,6.725,6.805,6.7,6.77,7.22,499656,N,223.344,Drama,56
72,21.7652,76.62,35646.435,80.1,7.24,7.465,7.205,7.52,7.16,501152,Y,283.872,Thriller,38
73,23.1752,76.62,33113.355,91,7.28,7.4,7.29,7.455,8.16,491978,N,263.472,Action,46
74,21.8328,76.62,33691.075,81.3,7.27,7.52,7.195,7.44,7.16,500290,N,203.648,Thriller,20
75,23.9078,76.62,34690.975,79.7,7.32,7.385,7.25,7.47,8.16,493124,Y,243.744,Drama,45
76,21.5792,80.66,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,N,203.856,Thriller,40
77,21.9024,80.66,34918.73,118.5,7.585,7.75,7.585,8.07,8.26,496661,N,203.424,Comedy,28
78,22.0306,80.66,34879.845,148,7.835,8.14,7.87,8.05,8.26,478283,N,243.2,Comedy,22
79,21.7414,80.66,34107.7,119.3,7.84,7.97,7.87,8.14,7.26,490040,Y,223.328,Thriller,57
80,21.1292,80.66,34618.76,127.2,7.33,7.5,7.45,7.69,8.26,447528,Y,303.392,Drama,53
81,21.6774,80.66,32630.07,110.1,7.735,7.885,7.59,7.785,8.26,467670,N,303.248,Action,37
82,20.8226,64.72,37368.485,107,7.25,7.36,7.3,7.29,8.2,499995,Y,284.48,Drama,54
83,20.8924,64.72,36768.545,143.9,7.145,7.445,7.145,7.46,7.2,510436,Y,243.824,Drama,49
84,20.7318,64.72,35007.61,105.7,7.235,7.405,7.265,7.29,8.2,492574,N,203.968,Thriller,20
85,20.7102,64.72,34257.685,120.2,7.24,7.41,7.165,7.385,7.2,485743,Y,203.664,Drama,34
86,21.0118,63.98,35490.895,121.5,7.515,7.645,7.505,7.775,7.3,454277,N,283.824,Drama,23
87,21.147,63.98,36829.65,129.6,7.625,7.925,7.755,7.815,8.3,495454,N,244.256,Thriller,56
88,21.0376,63.98,33413.325,118.6,7.69,7.92,7.755,7.78,7.3,436753,Y,223.6,Thriller,50
89,21.4302,63.98,34002.155,130.3,8.035,8.13,8.08,8.26,8.3,489563,Y,243.552,Comedy,43
90,21.132,61.82,38923.885,159.8,8.25,8.455,8.28,8.175,8.44,509357,N,203.776,Thriller,28
91,21.0604,61.82,39323.845,136.6,8.17,8.31,8.135,8.555,8.44,515362,Y,304.592,Comedy,31
92,20.9368,61.82,35646.435,139.6,8.43,8.535,8.425,8.425,8.44,503147,Y,303.616,Drama,58
93,20.7864,61.82,35579.775,147.4,8.42,8.525,8.295,8.575,7.44,496193,N,263.52,Thriller,23
94,20.8406,85.08,35785.31,127.1,8.02,8.295,8.015,8.34,8.36,489837,N,283.664,Drama,60
95,20.575,85.08,34502.105,102.4,8.04,8.225,8.095,8.305,8.36,508101,N,284,Action,46
96,20.8588,85.08,34713.195,150.8,8.095,8.33,8.04,8.305,8.36,468556,N,263.296,Action,54
97,22.4408,60.78,36801.875,131.3,8.215,8.385,8.12,8.29,7.4,489220,N,284.544,Thriller,46
98,22.3008,60.78,34235.465,143.1,8.21,8.325,8.23,8.245,8.4,467769,N,243.424,Thriller,21
99,22.4166,60.78,44823.295,149.5,8.15,8.34,8.215,8.305,7.4,543618,Y,246.192,Thriller,53
100,21.6374,60.78,43440.1,110.4,8.23,8.29,8.2,8.285,7.4,544945,Y,207.008,Action,25
101,21.372,60.78,41195.88,136,8.085,8.32,8.165,8.435,8.4,484613,N,265.312,Thriller,31
102,22.9732,72.12,37368.485,153.4,8.45,8.66,8.595,8.74,6.82,471052,Y,304.4,Drama,24
103,22.2864,72.12,37668.455,144.8,8.425,8.63,8.44,8.79,7.82,491484,Y,204.24,Thriller,58
104,24.5752,72.12,35579.775,158.9,8.485,8.725,8.635,8.725,7.82,457364,N,262.976,Action,57
105,24.2322,72.12,34091.035,160.9,8.515,8.79,8.56,8.71,7.82,443252,Y,283.088,Comedy,36
106,22.792,72.12,34257.685,163.5,8.685,8.875,8.66,8.935,6.82,432081,Y,203.216,Comedy,20
107,22.6524,72.12,32502.305,170.2,8.905,9.025,8.935,8.925,6.82,430817,Y,263.12,Comedy,57
108,23.424,72.12,32418.98,165.4,8.815,8.965,8.76,9.04,6.82,405008,Y,283.12,Drama,20
109,22.6234,72.12,34035.485,158.7,8.825,9.025,8.915,8.99,6.82,442160,Y,283.264,Action,57
110,22.5604,72.12,35963.07,170.6,8.64,8.91,8.73,8.85,7.82,473768,N,203.168,Action,48
111,25.2726,72.12,34602.095,164.7,8.715,8.86,8.56,8.775,6.82,437611,Y,283.104,Comedy,41
112,22.1586,72.12,34413.225,127.9,8.475,8.7,8.48,8.79,7.82,423752,Y,203.472,Comedy,37
113,22.0168,75.02,37301.825,155.1,8.595,8.685,8.5,8.87,8.44,495560,Y,263.648,Thriller,34
114,22.4658,75.02,32846.715,166.4,8.725,8.885,8.72,8.965,7.44,394329,Y,303.008,Thriller,35
115,24.4424,75.02,33841.06,168.9,8.705,8.875,8.725,8.6,8.44,405200,Y,202.992,Thriller,59
116,22.8462,75.02,34740.97,157.7,8.73,8.93,8.855,8.975,8.44,446050,N,242.96,Action,39
117,23.4268,75.02,32930.04,161.7,8.72,8.795,8.64,8.92,7.44,415458,N,222.928,Comedy,24
118,22.6316,75.02,34307.68,146,8.535,8.645,8.5,8.86,8.44,432696,N,263.392,Comedy,23
119,23.0196,75.02,33446.655,156.1,8.615,8.755,8.54,8.595,7.44,454755,N,303.072,Action,28
120,22.6116,75.02,32618.96,146.6,8.6,8.865,8.69,8.89,7.44,410730,Y,283.264,Thriller,40
121,22.8952,75.02,31835.705,138.7,8.52,8.74,8.54,8.685,8.44,463019,Y,223.088,Thriller,20
122,21.3798,106.3,32607.85,143.2,8.8,8.92,8.735,9.03,7.18,455844,Y,203.52,Thriller,23
123,21.433,106.3,33352.22,157.6,8.78,9.02,8.815,8.99,8.18,454602,Y,203.248,Action,39
124,21.8598,106.3,33113.355,166.4,8.83,9.075,8.865,9.05,8.18,388265,Y,203.28,Comedy,51
125,23.0076,106.3,32530.08,170.5,8.89,9.09,8.965,9.165,8.18,334417,Y,202.768,Drama,51
126,21.9698,106.3,32657.845,169.3,8.895,9.13,8.9,9.06,8.18,395312,N,263.008,Thriller,56
127,23.3804,106.3,33252.23,161.9,8.935,9.075,8.855,9.155,7.18,443766,Y,283.424,Drama,22
128,27.747,106.3,31180.215,169.1,9.035,9.24,9.1,9.115,8.18,303828,N,202.512,Drama,42
129,25.183,98.78,31624.615,169.5,8.955,9.135,9.08,9.255,6.76,391198,Y,302.592,Comedy,31
130,26.5086,98.78,35724.205,172.3,9.02,9.195,9.04,9.115,7.76,444896,N,282.88,Comedy,41
131,37.625,98.78,31313.535,168.2,8.85,9.06,8.95,9.175,6.76,406685,Y,202.288,Drama,30
132,26.8012,98.78,35874.19,172.4,8.815,9.035,8.82,9.095,6.76,466796,Y,263.072,Comedy,25
133,43.8588,98.78,35140.93,171.2,8.73,8.985,8.79,8.955,6.76,438063,Y,243.136,Comedy,29
134,31.801,98.78,35396.46,171.4,8.795,8.92,8.8,8.83,6.76,456491,Y,243.68,Action,57
135,26.5964,98.78,32341.21,168.9,8.635,8.79,8.735,8.895,7.76,426316,Y,202.944,Action,58
136,39.5234,98.78,31980.135,171.9,8.825,8.86,8.735,8.885,6.76,402396,N,222.496,Action,32
137,31.1556,98.78,35190.925,171.7,8.89,8.965,8.84,9.085,6.76,411162,Y,222.896,Thriller,37
138,26.4528,98.78,33007.81,167,8.87,9.08,8.91,9.205,6.76,394365,N,202.784,Thriller,37
139,27.0466,98.78,35851.97,171.9,8.925,9.235,8.915,9.225,7.76,442884,Y,222.736,Comedy,40
140,24.996,98.78,32535.635,171.7,9.055,9.295,9.08,9.235,6.76,380380,N,282.128,Thriller,39
141,30.8904,98.78,34168.805,171.4,9.045,9.205,9.16,9.255,7.76,411330,Y,202.848,Drama,29
142,25.818,98.78,34296.57,167.1,9.07,9.23,9.065,9.41,6.76,354960,N,202.24,Drama,28
143,52.5728,98.78,27880.545,173.5,9.185,9.34,9.145,9.45,7.76,233100,Y,242.304,Comedy,43
144,86.421,94.16,30013.665,173.5,9.33,9.48,9.18,9.365,9.06,329378,Y,262.144,Thriller,42
145,101.948,94.16,30374.74,173.5,9.18,9.4,9.21,9.385,9.06,308802,Y,262.496,Comedy,25
146,75.5948,94.16,27236.165,171.3,9.26,9.46,9.225,9.365,8.06,294970,Y,261.888,Thriller,52
147,67.5868,94.16,34052.15,173.5,9.155,9.37,9.14,9.495,8.06,305675,Y,202.208,Thriller,59
148,63.101,94.16,31263.54,173.5,9.09,9.255,9.155,9.47,8.06,399297,Y,202.496,Thriller,32
149,67.3724,94.16,27363.93,169.2,9.115,9.32,9.17,9.475,9.06,286266,N,222.336,Comedy,24
150,66.6198,94.16,28808.23,167.3,9.21,9.385,9.2,9.14,8.06,309356,N,282.848,Drama,43
151,74.6794,94.16,31091.335,168.4,9.12,9.39,9.205,9.24,8.06,347105,N,302.464,Comedy,48
152,53.132,94.16,34007.71,170.8,9.175,9.24,9.035,9.315,8.06,428936,N,243.44,Thriller,34
153,49.9264,94.16,30019.22,173.5,9.07,9.27,9.115,9.365,8.06,466687,N,223.136,Thriller,42
154,42.5316,94.16,27841.66,161.5,9.09,9.22,9.05,9.42,9.06,455196,Y,202.448,Comedy,46
155,62.9836,94.16,31713.495,172,9.11,9.32,9.05,9.275,8.06,411772,N,243.104,Comedy,58
156,48.277,94.16,34046.595,169.5,9.115,9.265,9.015,9.11,9.06,440004,N,302.72,Action,48
157,90.7002,94.16,34174.36,156.1,9.06,9.275,9.04,9.13,9.06,432078,N,222.496,Thriller,37
158,68.9336,94.16,29285.96,167.5,9.005,9.145,9.075,9.305,8.06,426057,N,202.096,Thriller,60
159,44.4716,94.16,38568.365,170.9,9.005,9.12,9.04,9.08,9.06,501350,Y,266.608,Comedy,57
160,46.8568,94.16,33696.63,173.5,9.02,9.23,9.05,9.185,8.06,483363,N,263.888,Thriller,46
161,48.5004,94.16,36163.05,173.5,9.08,9.155,9.01,9.22,9.06,475753,Y,243.728,Drama,36
162,45.4692,94.16,34718.75,166.1,9.07,9.24,9.06,9.03,9.06,540041,Y,244.32,Drama,23
163,49.2672,94.16,41601.395,164.3,8.915,9.055,8.935,9.155,8.06,539697,Y,228,Comedy,35
164,56.6754,94.16,43340.11,171.7,8.87,9.12,8.945,8.98,8.06,531084,Y,248,Drama,22
165,50.3804,94.16,46523.125,167.4,8.87,9.03,8.8,8.975,9.06,561132,Y,248,Thriller,57
166,64.8472,94.16,32518.97,165.3,8.645,8.805,8.755,8.95,9.06,467883,Y,303.632,Drama,56
167,78.48,94.16,33891.055,166.5,8.815,8.86,8.705,9.055,8.06,471586,Y,244,Thriller,22
168,60.2038,94.16,44045.595,169.7,8.945,9.045,8.845,9.07,9.06,517904,Y,308,Thriller,37
169,56.0056,94.16,32646.735,152.7,8.655,8.895,8.71,8.89,8.06,468741,Y,203.808,Drama,22
170,66.008,94.16,35102.045,169.6,8.855,8.98,8.88,9.085,8.06,473988,N,223.808,Comedy,23
171,68.9906,94.16,35563.11,168.7,8.85,8.94,8.835,8.85,8.06,449755,N,303.568,Action,22
172,44.1484,94.16,32635.625,168.1,8.65,8.79,8.64,9.07,9.06,438703,N,222.784,Drama,28
173,66.278,94.16,32663.4,170.8,8.69,8.82,8.725,8.985,8.06,470298,N,243.056,Thriller,54
174,22.7828,63.1,30952.46,162,8.65,8.73,8.635,8.79,7.68,415584,N,243.696,Thriller,38
175,21.8356,63.1,35640.88,157.6,8.57,8.715,8.615,8.805,7.68,467457,Y,203.776,Comedy,59
176,21.6894,63.1,32546.745,142.2,8.58,8.65,8.485,8.88,7.68,480435,Y,303.616,Thriller,35
177,21.3328,63.1,36363.03,106.6,8.39,8.545,8.395,8.41,7.68,500067,Y,244.704,Comedy,48
178,21.4044,63.1,33441.1,120.7,8.125,8.295,8.11,8.36,7.68,491916,Y,303.712,Drama,49
179,21.085,63.1,35079.825,146.9,8.325,8.36,8.295,8.38,8.68,487150,Y,283.936,Drama,31
180,21.3284,63.1,38107.3,147.9,8.405,8.625,8.395,8.75,7.68,513390,N,224.784,Comedy,28
181,21.156,59.92,38773.9,131.9,8.445,8.725,8.58,8.59,8.44,505742,N,225.952,Drama,50
182,21.3176,59.92,43134.575,156.8,8.51,8.67,8.52,8.82,7.44,515276,Y,286.368,Action,60
183,21.3776,59.92,34129.92,135.7,8.655,8.805,8.605,8.74,7.44,461876,Y,305.792,Thriller,59
184,21.8206,59.92,39746.025,165.7,8.64,8.675,8.54,8.75,7.44,549262,Y,306.064,Thriller,56
185,22.0016,59.92,36457.465,169.1,8.48,8.665,8.545,8.62,8.44,493498,Y,285.2,Drama,60
186,21.6616,59.92,31130.22,163.3,8.47,8.58,8.425,8.545,8.44,440780,Y,204.224,Drama,27
187,21.2094,59.92,34179.915,142.3,8.285,8.475,8.25,8.43,7.44,463628,Y,224.736,Drama,45
188,21.1204,59.92,43501.205,127.1,8.275,8.405,8.245,8.675,8.44,511949,Y,268,Drama,35
189,21.575,61.88,37674.01,114.6,8.095,8.15,8.065,8.115,7.96,480787,Y,265.12,Thriller,23
190,22.5158,61.88,36418.58,102.6,7.69,7.86,7.66,7.655,8.96,537380,Y,204.768,Thriller,40
191,21.674,61.88,39912.675,112.4,7.585,7.785,7.66,7.835,8.96,520707,N,285.584,Thriller,20
192,21.8136,61.88,38612.805,95,6.73,6.82,6.645,6.845,8.96,512163,N,225.28,Comedy,55
193,21.3822,61.88,37435.145,104.3,6.645,6.79,6.63,6.975,7.96,507193,N,224.88,Comedy,40
194,21.7328,61.88,39873.79,99.8,6.62,6.83,6.7,6.895,7.96,515199,Y,225.824,Drama,40
195,20.4374,60.86,37774,83.4,6.77,6.935,6.775,7.08,7.88,503965,N,264.976,Thriller,24
196,20.2878,60.86,36685.22,92.3,6.745,6.985,6.77,7.06,8.88,525053,N,284.656,Thriller,59
197,20.2762,55.92,43745.625,105.5,7.095,7.235,7.12,7.25,9.12,546519,Y,288,Thriller,26
198,20.8022,58.04,40479.285,107.6,6.21,6.4,6.245,6.525,8.48,549247,Y,305.328,Action,20
199,20.9332,58.04,39479.385,110.1,6.18,6.49,6.3,6.41,8.48,511537,Y,284.848,Action,24
200,20.7536,58.04,40407.07,111.8,6.235,6.39,6.27,6.485,8.48,519868,N,285.536,Drama,43
201,20.63,57.94,38746.125,88.8,6.015,6.24,6.11,6.33,8.6,536549,Y,265.584,Comedy,24
202,20.3556,57.94,39634.925,87.4,6.105,6.185,6.015,6.39,7.6,535003,N,205.264,Drama,22
203,20.689,59.06,34229.91,111.9,6.8,6.965,6.8,6.89,8.06,501886,Y,243.856,Thriller,32
204,20.4354,59.06,42273.55,89.2,6.825,6.955,6.735,6.95,9.06,554735,N,286.768,Action,30
205,20.702,60.36,43623.415,106.7,7.315,7.485,7.35,7.615,9.06,546954,N,227.76,Comedy,22
206,20.4018,60.36,44628.87,105.4,7.295,7.6,7.36,7.505,8.06,517393,Y,308,Thriller,51
207,22.7284,76.18,32724.505,95.8,7.88,8.19,7.945,8.09,8.28,456271,Y,303.616,Thriller,26
208,24.5938,76.18,35140.93,126,7.685,7.88,7.765,7.955,7.28,444948,Y,223.904,Thriller,52
209,25.0398,76.18,32124.565,146.2,7.68,7.875,7.7,8.04,8.28,378970,Y,203.6,Comedy,38
210,22.7174,76.18,33685.52,132.6,7.85,8.005,7.725,7.94,7.28,418851,Y,283.904,Comedy,31
211,28.7142,76.18,29685.92,173.5,8.025,8.07,7.93,8.225,7.28,367698,N,263.2,Comedy,60
212,23.4892,76.18,33107.8,165.6,8.045,8.185,8.02,8,8.28,402133,Y,243.472,Comedy,36
213,27.5156,76.18,30019.22,162.1,8.005,8.295,8.1,8.27,7.28,347413,N,283.088,Thriller,39
214,24.3438,76.18,32257.885,127.3,8.17,8.21,8.1,8.215,8.28,414813,Y,263.584,Thriller,20
215,22.8104,76.18,35413.125,105.8,7.945,8.04,7.91,8.215,7.28,504226,Y,204.496,Comedy,3
216,25.791,76.18,30063.66,83.3,8.16,8.26,8.165,8.235,8.28,298989,Y,223.792,Comedy,21
217,23.9604,76.18,34341.01,115.9,7.925,8.095,8.02,8.065,7.28,456943,Y,244,Drama,30
218,20.912,82.78,32707.84,129.5,8.28,8.515,8.285,8.695,8.72,429010,Y,243.728,Action,22
219,21.4026,82.78,36896.31,158.6,8.24,8.405,8.155,8.36,7.72,461695,N,284.592,Comedy,23
220,22.2138,82.78,33057.805,167.3,8.54,8.56,8.46,8.66,7.72,411880,Y,283.44,Comedy,49
221,22.285,82.78,35402.015,165.9,8.175,8.375,8.315,8.405,8.72,451935,Y,263.68,Comedy,21
222,27.1618,67.4,38612.805,162,8.485,8.64,8.485,8.67,8.52,480270,N,224.272,Thriller,23
223,28.1542,67.4,34241.02,164.8,8.345,8.48,8.42,8.66,8.52,369907,Y,283.472,Comedy,37
224,32.4712,67.4,38212.845,151.2,8.295,8.395,8.31,8.455,7.52,470809,Y,244.4,Action,50
225,32.294,67.4,36762.99,154.3,8.25,8.4,8.23,8.58,7.52,489836,Y,244.816,Thriller,39
226,26.3066,67.4,45917.63,151.8,8.52,8.635,8.435,8.62,8.52,549160,Y,247.168,Drama,47
227,30.5386,67.4,48467.375,156.5,8.435,8.695,8.525,8.56,7.52,521198,Y,268,Thriller,20
228,27.6428,67.4,44662.2,160,8.255,8.52,8.345,8.45,7.52,560909,Y,206.016,Action,54
229,28.2476,67.4,39790.465,153.4,8.345,8.44,8.36,8.42,7.52,506523,N,205.056,Thriller,34
230,25.9638,67.4,42695.73,90.5,8.225,8.35,8.195,8.475,8.52,547397,Y,287.472,Drama,43
231,28.8356,67.4,36396.36,94.9,8.22,8.36,8.29,8.385,8.52,561219,Y,305.04,Comedy,47
232,30.74,67.4,33224.455,141.6,8.015,8.31,8.06,8.265,8.52,480986,N,203.888,Comedy,59
233,29.2592,67.4,41173.66,150.4,8.06,8.33,8.065,8.2,7.52,540602,Y,205.072,Comedy,26
234,31.5058,67.4,46312.035,146.8,7.97,8.09,8.05,8.21,7.52,545730,Y,226.672,Thriller,28
235,26.6294,67.4,45812.085,143.9,8.09,8.255,8.13,8.225,7.52,529841,Y,227.728,Comedy,23
236,28.9582,67.4,37362.93,140,8.165,8.31,8.015,8.205,8.52,514773,Y,264.64,Thriller,32
237,26.609,67.4,33807.73,135,8.045,8.305,8.095,8.255,8.52,471552,Y,283.84,Comedy,57
238,30.4116,67.4,36835.205,150,7.77,8.05,7.9,7.985,7.52,502128,Y,304.016,Action,36
239,30.2366,67.4,40873.69,145.1,7.88,8.09,7.835,7.9,7.52,533135,Y,245.04,Thriller,34
240,21.6488,64.86,36001.955,92,6.87,6.94,6.775,7.035,8.68,523902,Y,243.792,Action,48
241,21.8504,64.86,36696.33,115.7,6.875,6.945,6.795,7.005,7.68,507617,N,303.728,Action,51
242,22.2658,64.86,38312.835,127.8,6.755,6.935,6.8,6.84,8.68,470107,Y,224.32,Comedy,24
243,22.1224,64.86,33857.725,138.6,6.785,6.96,6.685,6.9,7.68,462958,N,263.216,Comedy,41
244,22.058,64.86,35318.69,126.4,6.445,6.595,6.405,6.485,8.68,479264,Y,203.552,Thriller,42
245,22.5514,64.86,35513.115,81.3,6.47,6.515,6.435,6.505,7.68,537248,Y,303.792,Thriller,26
246,24.1216,66.72,31069.115,150,5.925,6.19,5.94,6.035,8.18,458708,N,242.816,Comedy,42
247,23.8266,66.72,31135.775,143.7,5.86,6.085,5.86,6.285,8.18,405929,Y,202.96,Comedy,59
248,26.7966,66.72,33929.94,108.4,5.815,6.11,5.81,6.155,8.18,465288,Y,223.888,Comedy,25
249,23.9314,66.72,34585.43,152.7,5.915,6.005,5.85,6.12,7.18,484343,N,243.28,Thriller,31
