학교명,설립구분,1학년전입학생수,1학년전출학생수,1학년전체학생수,2학년전입학생수,2학년전출학생수,2학년전체학생수,3학년전입학생수,3학년전출학생수,3학년전체학생수,4학년전입학생수,4학년전출학생수,4학년전체학생수,5학년전입학생수,5학년전출학생수,5학년전체학생수,6학년전입학생수,6학년전출학생수,6학년전체학생수,전입학생수합계,전출학생수합계,전체학생수합계
수정초등학교,공립,2,3,50,4,1,68,12,2,73,12,4,77,6,2,69,6,1,72,42,13,409
신연초등학교,공립,0,0,3,0,1,5,0,0,6,0,1,12,0,0,6,0,0,6,0,2,38
연포초등학교,공립,4,4,212,11,11,225,11,10,225,14,6,185,5,3,153,5,5,142,50,39,1142
용당초등학교,공립,0,3,14,4,2,29,0,4,25,0,3,33,0,0,19,1,0,15,5,12,135
용산초등학교,공립,0,0,65,2,2,60,5,4,73,2,1,56,4,3,83,1,3,56,14,13,393
용호초등학교,공립,1,4,80,5,7,71,1,6,98,4,4,95,2,6,106,1,4,84,14,31,534
우암초등학교,공립,1,2,62,2,1,51,2,2,61,2,3,55,2,2,51,1,3,53,10,13,333
운산초등학교,공립,6,5,78,6,1,62,1,4,63,1,3,76,2,3,66,0,3,57,16,19,402
초량초등학교,공립,2,3,49,2,2,31,3,5,50,4,4,43,4,1,59,2,2,60,17,17,292
공덕초등학교,공립,2,0,14,0,0,8,1,0,6,1,5,4,0,4,9,0,2,2,4,11,43
교동초등학교,공립,3,2,136,9,6,144,5,10,162,6,5,131,9,3,171,10,4,111,42,30,855
구서초등학교,공립,0,3,87,3,4,99,5,7,107,10,4,115,4,4,109,5,2,99,27,24,616
금강초등학교,공립,0,7,123,0,8,119,0,10,129,0,4,121,0,4,127,0,9,108,0,42,727
금사초등학교,공립,8,4,47,15,1,49,11,2,41,13,5,48,15,3,45,1,1,40,63,16,270
금성초등학교,공립,0,0,9,1,0,9,1,0,13,0,1,21,0,0,14,0,0,13,2,1,79
금양초등학교,공립,6,4,146,6,5,141,7,6,182,4,5,150,6,9,149,8,3,109,37,32,877
금정초등학교,공립,5,2,167,10,11,166,8,4,188,13,10,156,6,9,144,6,7,137,48,43,958
낙민초등학교,공립,6,7,101,2,7,115,6,5,89,13,5,98,6,9,67,4,6,70,37,39,540
남산초등학교,공립,0,3,89,4,1,68,3,9,91,8,5,87,3,5,95,5,5,93,23,28,523
내산초등학교,공립,10,1,34,10,1,38,4,1,39,7,3,63,8,3,63,8,1,59,47,10,296
내성초등학교,공립,4,3,31,2,1,29,0,3,36,1,7,29,3,3,36,3,0,34,13,17,195
달북초등학교,공립,7,0,93,6,8,99,3,8,101,3,11,85,2,3,100,4,5,75,25,35,553
동래초등학교,사립,0,0,128,1,8,119,0,4,116,0,4,93,0,5,98,0,2,77,1,23,631
동상초등학교,공립,1,0,22,1,0,24,0,5,22,1,1,32,0,0,24,0,4,16,3,10,140
동현초등학교,공립,1,2,60,4,6,56,2,4,63,2,4,68,1,3,61,5,6,76,15,25,384
명동초등학교,공립,3,1,92,0,4,86,5,2,67,4,2,64,2,0,56,1,1,42,15,10,407
명륜초등학교,공립,8,1,202,12,6,200,11,4,229,9,5,242,10,2,216,11,9,220,61,27,1309
명서초등학교,공립,0,1,26,1,3,25,3,3,26,1,1,32,2,0,40,2,1,36,9,9,185
명장초등학교,공립,5,2,64,8,4,60,4,4,65,4,2,60,3,0,66,4,3,49,28,15,364
미남초등학교,공립,2,4,49,6,2,61,1,4,60,2,0,53,0,3,72,2,3,48,13,16,343
부곡초등학교,공립,5,1,70,11,4,79,12,3,80,9,3,85,8,3,89,10,3,77,55,17,480
사직초등학교,공립,10,5,183,10,8,179,13,11,246,15,11,187,12,8,247,12,9,199,72,52,1241
서동초등학교,공립,0,1,18,1,2,13,0,1,18,0,0,22,0,0,12,0,4,16,1,8,99
서명초등학교,공립,0,2,9,0,2,13,0,0,6,0,1,10,0,1,12,1,0,11,1,6,61
수안초등학교,공립,0,1,43,2,3,36,2,1,55,2,4,47,5,2,48,3,2,67,14,13,296
안남초등학교,공립,0,0,129,6,6,167,4,5,161,6,5,177,8,2,187,4,4,158,28,22,979
안락초등학교,공립,1,1,39,5,8,42,0,2,53,5,3,55,1,1,64,3,9,63,15,24,316
안민초등학교,공립,7,7,134,7,13,109,3,11,163,5,12,141,15,4,141,9,10,136,46,57,824
여고초등학교,공립,4,9,185,18,6,156,18,10,180,15,5,141,20,4,162,21,2,128,96,36,952
온천초등학교,공립,18,5,122,9,4,109,26,4,150,21,2,132,15,7,155,20,5,130,109,27,798
장서초등학교,공립,0,3,117,10,3,86,10,7,128,6,5,128,6,5,108,7,5,127,39,28,694
장전초등학교,공립,2,2,80,7,6,107,2,10,116,6,7,115,3,4,123,3,4,99,23,33,640
청룡초등학교,공립,5,5,87,5,8,91,2,4,94,5,5,85,5,2,83,3,5,67,25,29,507
현곡초등학교,공립,1,1,17,1,3,19,1,1,23,1,3,24,2,1,30,0,2,21,6,11,134
혜화초등학교,사립,0,0,60,5,5,60,6,7,61,4,10,53,3,13,43,0,1,42,18,36,319
가남초등학교,공립,0,0,11,0,0,9,0,0,12,2,0,17,0,1,14,1,0,12,3,1,75
가산초등학교,공립,0,0,8,0,0,5,1,0,10,0,0,5,1,0,9,0,0,5,2,0,42
가야초등학교,공립,3,8,175,3,6,143,3,3,195,2,10,190,4,7,182,1,10,164,16,44,1049
가평초등학교,공립,0,4,98,4,7,106,1,7,117,6,9,90,3,6,113,2,5,96,16,38,620
개금초등학교,공립,3,2,146,4,7,100,4,10,100,3,6,107,3,3,83,0,3,64,17,31,600
개림초등학교,공립,2,1,125,4,11,157,5,7,151,5,5,130,7,6,170,3,3,110,26,33,843
개원초등학교,공립,4,1,87,6,8,102,2,5,101,2,4,103,4,9,116,1,1,102,19,28,611
개포초등학교,공립,0,0,54,0,2,38,0,4,59,2,0,48,0,1,46,0,0,41,2,7,286
개화초등학교,공립,1,1,33,2,2,42,1,3,38,2,4,38,4,2,50,1,3,45,11,15,246
거제초등학교,공립,0,3,82,7,5,73,1,5,95,1,6,99,3,1,100,5,0,79,17,20,528
거학초등학교,공립,2,6,137,3,6,97,7,8,115,2,4,96,6,6,116,4,4,96,24,34,657
과정초등학교,공립,2,3,106,7,3,81,3,4,68,3,5,93,3,10,78,2,4,78,20,29,504
남문초등학교,공립,3,2,146,11,7,193,9,3,176,9,7,256,11,8,206,17,0,221,60,27,1198
당감초등학교,공립,3,1,40,3,4,49,3,2,60,1,0,58,1,5,54,4,5,53,15,17,314
당평초등학교,공립,3,6,53,3,2,46,5,7,82,2,4,63,2,5,70,2,2,66,17,26,380
동명초등학교,공립,1,2,36,0,0,35,3,3,41,2,1,29,1,4,35,1,0,35,8,10,211
동성초등학교,사립,2,2,128,2,1,128,7,6,128,5,6,128,3,5,96,3,3,116,22,23,724
동원초등학교,공립,4,4,93,0,0,93,3,6,116,1,3,96,2,6,91,3,2,117,13,21,606
동평초등학교,공립,3,2,67,1,3,65,4,2,82,1,1,75,1,1,64,2,3,87,12,12,440
부산진초등학교,공립,2,2,80,3,6,83,1,11,99,2,6,92,0,3,75,1,3,66,9,31,495
부암초등학교,공립,0,6,136,11,12,128,5,4,122,4,4,123,3,2,89,2,11,87,25,39,685
부전초등학교,공립,0,2,64,3,4,55,4,3,65,0,2,58,2,2,44,0,4,47,9,17,333
선암초등학교,공립,0,0,10,0,0,8,1,0,14,0,0,2,0,1,13,0,0,5,1,1,52
성북초등학교,공립,2,9,113,4,6,117,12,3,119,5,4,104,5,2,107,6,3,91,34,27,651
성서초등학교,공립,4,1,34,3,2,36,1,0,37,2,2,31,2,0,38,2,1,40,14,6,216
성전초등학교,공립,0,3,63,2,7,61,2,2,62,4,4,72,1,2,77,3,1,55,12,19,390
성지초등학교,공립,3,3,110,5,8,99,5,6,85,5,4,89,1,3,91,4,4,77,23,28,551
양동초등학교,공립,3,4,143,5,6,90,15,1,76,6,3,65,7,1,65,2,3,55,38,18,494
양성초등학교,공립,0,7,91,2,4,85,0,3,101,0,6,98,1,7,88,0,8,106,3,35,569
양정초등학교,공립,1,2,110,3,3,90,0,4,112,4,1,111,5,1,124,0,7,106,13,18,653
연동초등학교,공립,2,4,84,8,5,110,5,2,105,4,3,88,5,5,115,2,3,81,26,22,583
연미초등학교,공립,15,1,31,15,1,18,12,2,31,6,0,23,3,1,18,3,3,17,54,8,138
연산초등학교,공립,5,2,142,3,9,154,5,8,177,7,8,154,6,5,136,1,6,107,27,38,870
연서초등학교,공립,3,5,136,13,7,123,9,7,128,4,12,151,3,12,140,4,11,106,36,54,784
연신초등학교,공립,2,7,135,3,9,114,5,8,133,4,12,114,2,8,110,2,5,100,18,49,706
연일초등학교,공립,0,2,20,1,1,16,1,3,31,0,0,22,0,1,28,3,2,20,5,9,137
연제초등학교,공립,3,6,81,5,9,90,6,1,85,9,6,77,4,4,94,5,5,68,32,31,495
연지초등학교,공립,5,6,173,6,3,146,4,9,176,6,8,177,7,12,193,8,8,192,36,46,1057
연천초등학교,공립,6,5,104,5,8,115,4,10,119,6,4,113,2,7,125,2,5,104,25,39,680
연학초등학교,공립,0,2,79,1,1,39,5,0,54,2,1,30,5,0,35,5,0,18,18,4,255
전포초등학교,공립,0,0,71,5,8,68,5,2,76,6,4,73,5,4,73,3,0,81,24,18,442
주례초등학교,공립,1,2,55,4,4,55,2,3,81,2,7,84,0,4,62,5,5,73,14,25,410
주원초등학교,공립,0,1,23,0,3,18,1,1,22,1,1,24,3,4,37,0,1,28,5,11,152
창신초등학교,공립,7,5,160,9,12,155,14,7,158,11,7,168,8,11,159,10,17,142,59,59,942
초읍초등학교,공립,5,5,67,1,7,89,4,1,112,2,6,128,6,2,95,5,1,115,23,22,606
토현초등학교,공립,4,3,60,2,4,60,5,3,77,3,5,65,3,5,80,1,3,66,18,23,408
가락초등학교,공립,0,2,8,0,2,4,0,0,18,0,1,5,0,4,13,0,0,9,0,9,57
감전초등학교,공립,1,4,30,3,6,29,0,5,29,0,4,32,0,4,27,0,3,19,4,26,166
괘법초등학교,공립,1,2,14,0,2,10,1,0,13,0,1,13,0,0,10,0,0,11,2,5,71
구남초등학교,공립,0,6,90,0,5,83,3,1,97,0,4,98,0,8,97,0,1,95,3,25,560
구포초등학교,공립,16,0,77,4,1,61,6,0,81,2,3,80,15,0,68,0,1,62,43,5,429
구학초등학교,공립,2,1,71,1,1,108,3,5,120,3,8,105,5,6,117,1,3,83,15,24,604
금곡초등학교,공립,2,3,46,4,1,47,4,2,61,2,6,52,1,7,44,1,2,62,14,21,312
금창초등학교,공립,1,2,32,0,1,27,0,2,38,0,2,37,1,1,47,0,1,30,2,9,211
녹명초등학교,공립,4,0,14,5,4,17,3,3,25,5,2,14,4,5,16,1,3,12,22,17,98
대사초등학교,공립,1,0,3,0,0,5,0,0,7,0,1,4,0,0,4,0,0,9,1,1,32
대상초등학교,공립,0,0,6,0,1,5,0,1,7,0,2,9,1,0,9,4,0,6,5,4,42
대저초등학교,공립,1,1,7,0,0,10,1,0,13,0,0,8,0,1,9,0,0,11,2,2,58
대천리초등학교,공립,1,1,47,2,4,39,5,0,52,2,1,40,2,1,50,3,1,47,15,8,275
덕두초등학교,공립,4,3,50,4,9,46,6,11,46,8,7,54,9,5,48,3,3,37,34,38,281
덕상초등학교,공립,3,5,70,0,2,78,4,5,93,3,9,79,4,5,79,1,5,84,15,31,483
덕성초등학교,공립,5,3,43,1,2,37,1,4,57,3,3,45,2,5,43,2,3,47,14,20,272
덕양초등학교,공립,4,1,62,4,6,75,5,6,65,4,2,67,1,2,72,4,3,56,22,20,397
덕천초등학교,공립,2,4,14,0,2,26,0,2,24,0,2,25,1,2,29,0,0,24,3,12,142
덕포초등학교,공립,0,0,21,0,1,18,1,2,28,3,2,23,1,0,30,0,1,22,5,6,142
동궁초등학교,공립,2,2,91,4,2,90,0,7,112,0,6,113,1,1,98,0,4,101,7,22,605
동주초등학교,공립,1,5,95,3,7,93,2,4,115,3,2,90,5,8,98,1,1,96,15,27,587
만덕초등학교,공립,3,6,70,5,2,76,4,4,67,2,2,72,4,7,57,8,3,69,26,24,411
명덕초등학교,공립,0,5,126,1,0,109,2,1,149,0,2,131,4,0,123,3,0,108,10,8,746
명지초등학교,공립,6,5,259,10,11,199,5,21,225,12,24,256,6,10,190,5,12,171,44,83,1300
모덕초등학교,공립,4,9,126,5,8,127,4,8,144,4,8,143,5,6,138,0,4,121,22,43,799
모동초등학교,공립,0,1,13,0,2,12,0,3,20,0,1,20,0,4,14,0,4,20,0,15,99
모라초등학교,공립,4,3,34,5,2,18,0,2,41,2,1,22,1,0,20,0,1,34,12,9,169
모산초등학교,공립,2,1,48,3,7,47,3,1,48,3,2,42,1,4,58,3,3,42,15,18,285
배영초등학교,공립,0,2,13,1,0,14,4,0,19,1,0,14,0,0,4,0,0,10,6,2,74
백산초등학교,공립,5,10,105,6,9,130,5,17,151,4,12,125,2,10,114,6,26,143,28,84,768
백양초등학교,공립,7,7,151,6,15,156,7,16,178,6,14,149,6,6,147,4,15,128,36,73,909
사상초등학교,공립,4,0,35,2,3,46,0,1,31,1,4,43,1,2,31,0,1,46,8,11,232
삼덕초등학교,공립,0,0,17,0,3,27,0,0,17,0,0,15,0,0,18,0,0,16,0,3,110
서감초등학교,공립,0,2,32,2,1,25,3,1,31,1,3,33,0,0,27,0,2,29,6,9,177
신금초등학교,공립,0,0,49,2,3,62,2,5,60,2,6,59,1,7,42,1,1,59,8,22,331
신천초등학교,공립,0,0,38,0,6,48,0,4,43,0,1,55,0,2,49,0,0,54,0,13,287
신호초등학교,공립,5,4,94,5,6,82,7,4,102,9,1,94,4,4,94,6,5,105,36,24,571
양덕초등학교,공립,0,3,34,1,4,35,2,7,35,2,4,46,3,4,46,1,5,24,9,27,220
양천초등학교,공립,0,4,29,1,2,31,1,1,37,3,1,38,2,1,32,0,1,34,7,10,201
엄궁초등학교,공립,0,0,119,0,0,153,0,0,138,0,0,131,0,0,123,1,1,122,1,1,786
와석초등학교,공립,4,1,88,4,3,95,1,9,84,5,5,81,1,2,64,6,3,80,21,23,492
용수초등학교,공립,4,5,150,7,8,152,4,5,149,9,9,160,7,8,152,6,7,170,37,42,933
주감초등학교,공립,0,8,97,5,7,92,4,8,103,2,10,115,2,8,97,2,7,97,15,48,601
주학초등학교,공립,0,0,4,0,0,13,0,1,10,2,0,14,1,2,21,0,0,6,3,3,68
창진초등학교,공립,1,1,67,1,2,65,0,3,78,1,2,81,0,3,73,1,6,50,4,17,414
천가초등학교,공립,2,1,9,1,3,13,1,1,9,3,2,19,1,1,7,3,1,8,11,9,65
포천초등학교,공립,0,9,83,0,6,113,1,7,107,5,2,108,0,6,114,4,1,87,10,31,612
학장초등학교,공립,0,2,41,1,2,34,1,3,33,1,1,46,3,2,39,1,0,41,7,10,234
학진초등학교,공립,0,0,84,0,0,98,0,0,122,0,0,93,0,0,90,0,0,81,0,0,568
화명초등학교,공립,9,2,75,16,3,49,13,3,77,14,3,60,7,2,45,6,2,48,65,15,354
감천초등학교,공립,2,0,11,0,4,30,0,2,37,5,1,34,1,1,40,1,3,46,9,11,198
괴정초등학교,공립,3,0,91,3,1,83,0,4,80,2,0,95,4,0,93,3,2,66,15,7,508
구덕초등학교,공립,0,0,82,0,0,82,0,0,76,0,0,73,0,0,80,3,0,60,3,0,453
구평초등학교,공립,11,4,108,10,6,98,14,8,129,17,10,95,7,3,65,9,6,69,68,37,564
낙동초등학교,공립,3,3,149,0,3,139,1,1,177,0,7,171,0,1,169,0,3,149,4,18,954
남부민초등학교,공립,0,0,17,0,1,27,0,1,18,0,1,22,0,1,32,0,2,26,0,6,142
남항초등학교,공립,1,1,45,0,1,22,2,3,58,1,5,38,3,2,54,1,2,47,8,14,264
다대초등학교,공립,3,3,123,0,6,134,1,1,147,0,10,175,0,8,163,0,5,129,4,33,871
다선초등학교,공립,2,3,91,10,6,108,5,9,110,5,7,109,1,6,91,5,3,104,28,34,613
다송초등학교,공립,1,4,34,3,2,32,1,3,56,1,2,46,1,3,41,0,1,54,7,15,263
당리초등학교,공립,0,1,27,3,3,26,3,5,43,3,4,41,2,2,35,2,0,30,13,15,202
대교초등학교,공립,9,2,46,19,2,45,24,0,40,16,0,48,14,3,40,3,0,34,85,7,253
대신초등학교,공립,4,4,123,8,4,102,10,6,130,12,5,143,13,6,154,9,8,125,56,33,777
대평초등학교,공립,0,1,38,1,1,47,0,7,55,1,2,61,1,0,58,0,2,47,3,13,306
동삼초등학교,공립,1,2,54,3,3,51,5,4,61,3,0,67,0,4,50,2,1,42,14,14,325
동신초등학교,공립,0,1,72,2,3,60,2,2,82,1,5,79,1,5,78,1,1,75,7,17,446
봉삼초등학교,공립,1,2,10,0,4,13,0,1,14,0,2,11,1,1,8,0,1,14,2,11,70
봉학초등학교,공립,3,0,26,1,4,37,6,3,35,1,2,35,1,2,38,2,1,35,14,12,206
부민초등학교,공립,4,3,110,6,6,110,2,8,139,5,2,95,2,3,93,5,3,88,24,25,635
사남초등학교,공립,1,3,12,1,0,10,0,1,8,4,1,15,2,1,10,0,2,20,8,8,75
사동초등학교,공립,2,2,39,4,2,37,2,5,51,3,2,57,2,2,45,7,1,42,20,14,271
사하초등학교,공립,4,4,165,24,7,159,22,13,195,22,4,166,19,6,193,17,6,175,108,40,1053
상리초등학교,공립,2,4,27,0,4,32,2,3,31,1,1,34,2,2,39,0,1,29,7,15,192
서천초등학교,공립,4,0,31,0,3,35,5,4,33,5,5,33,1,3,44,1,0,27,16,15,203
송도초등학교,공립,0,0,58,2,1,69,3,5,67,5,9,87,5,10,73,0,0,44,15,25,398
승학초등학교,공립,0,0,60,2,3,44,2,4,64,5,0,58,1,0,62,1,1,48,11,8,336
신남초등학교,공립,6,5,93,5,6,89,8,5,86,5,7,94,1,5,94,3,2,75,28,30,531
신선초등학교,공립,0,0,4,0,0,12,0,0,9,0,0,1,0,0,17,0,0,13,0,0,56
신촌초등학교,공립,0,1,19,0,3,23,1,2,26,1,1,22,0,5,31,0,2,22,2,14,143
신평초등학교,공립,4,8,86,14,13,83,11,10,80,1,12,88,4,10,73,2,9,61,36,62,471
아미초등학교,공립,1,1,5,0,0,5,0,0,5,1,0,14,0,1,5,0,0,18,2,2,52
영도초등학교,공립,0,2,43,0,1,55,1,1,52,0,3,53,1,1,65,0,1,52,2,9,320
옥천초등학교,공립,2,4,83,4,3,98,1,5,124,2,6,106,4,2,102,4,2,118,17,22,631
응봉초등학교,공립,2,1,30,0,3,35,1,1,48,1,3,45,2,1,47,1,1,51,7,10,256
장림초등학교,공립,4,7,96,2,9,105,4,11,119,2,10,129,1,7,111,3,10,114,16,54,674
절영초등학교,공립,0,0,10,1,3,13,1,0,13,0,2,11,0,3,9,0,1,9,2,9,65
중리초등학교,공립,7,5,101,7,6,102,8,10,124,9,4,116,6,8,135,3,1,109,40,34,687
중현초등학교,공립,3,5,74,2,15,87,4,9,89,0,10,94,2,7,83,2,2,93,13,48,520
천마초등학교,공립,0,0,18,0,1,12,1,0,29,0,0,25,1,1,16,1,3,26,3,5,126
청동초등학교,공립,0,0,79,2,6,93,0,3,97,0,3,108,0,4,96,0,2,95,2,18,568
청학초등학교,공립,0,0,34,1,4,44,3,5,43,5,2,48,4,1,43,1,4,44,14,16,256
태종대초등학교,공립,0,1,16,1,2,15,0,0,6,1,1,10,1,1,10,0,0,5,3,5,62
토성초등학교,공립,2,1,88,4,1,70,2,0,83,2,1,67,0,5,91,0,3,76,10,11,475
하남초등학교,공립,5,3,115,3,2,109,6,7,122,1,10,136,5,4,139,3,4,138,23,30,759
하단초등학교,공립,1,5,49,5,1,66,3,6,69,1,1,62,1,4,60,2,1,64,13,18,370
화랑초등학교,공립,2,0,27,4,0,21,8,1,29,5,0,21,3,0,27,3,2,30,25,3,155
효림초등학교,공립,2,7,131,5,9,97,5,13,146,3,13,134,2,7,139,1,14,133,18,63,780
강동초등학교,공립,2,0,142,2,0,119,0,3,144,3,2,127,4,0,114,1,0,113,12,5,759
광남초등학교,공립,5,4,97,7,7,107,7,8,131,7,9,130,7,4,111,4,4,106,37,36,682
광안초등학교,공립,0,3,128,6,13,134,5,10,144,3,9,141,2,6,144,10,6,135,26,47,826
교리초등학교,공립,4,3,113,5,18,106,9,20,113,3,19,121,3,15,131,2,14,107,26,89,691
기장초등학교,공립,5,1,76,6,9,101,7,12,104,4,18,101,1,12,122,6,14,112,29,66,616
남천초등학교,공립,1,3,98,5,3,86,3,8,87,4,5,115,6,3,87,3,4,101,22,26,574
용암초등학교,공립,0,0,9,0,1,12,0,1,13,0,0,11,0,3,12,0,1,15,0,6,72
대청초등학교,공립,1,8,74,4,9,92,7,8,90,5,8,94,5,11,105,9,8,84,31,52,539
동백초등학교,공립,7,6,143,12,7,107,9,16,136,13,6,116,7,10,122,5,6,69,53,51,693
망미초등학교,공립,3,0,84,5,13,90,3,4,101,3,4,124,2,6,94,1,6,105,17,33,598
민락초등학교,공립,2,2,123,1,8,92,8,7,122,3,4,101,6,5,89,1,5,112,21,31,639
민안초등학교,공립,1,8,83,2,9,71,2,2,67,4,5,74,1,7,56,4,0,50,14,31,401
반산초등학교,공립,2,2,60,1,4,86,5,4,90,5,3,66,3,5,89,0,0,87,16,18,478
반석초등학교,공립,1,0,12,1,1,10,0,2,20,0,1,14,0,1,15,0,1,19,2,6,90
반송초등학교,공립,1,3,34,0,4,24,1,6,38,1,4,34,1,2,39,0,2,42,4,21,211
반안초등학교,공립,3,1,87,7,2,113,9,0,104,2,1,108,11,0,112,0,0,106,32,4,630
반여초등학교,공립,4,1,40,2,3,34,3,3,66,1,3,65,3,4,69,2,4,57,15,18,331
배산초등학교,공립,4,5,95,5,3,88,3,5,93,9,1,91,7,4,86,6,1,74,34,19,527
부흥초등학교,공립,3,7,144,5,9,113,18,6,183,16,10,140,10,1,152,12,3,189,64,36,921
상당초등학교,공립,1,3,115,11,7,132,10,7,140,11,6,126,8,3,142,8,3,152,49,29,807
송운초등학교,공립,1,6,59,2,4,62,4,13,69,3,2,71,2,6,74,1,5,60,13,36,395
송정초등학교,공립,1,1,51,4,5,53,5,4,56,4,3,43,0,0,48,2,5,39,16,18,290
수미초등학교,공립,1,1,74,4,3,85,3,7,93,1,6,103,2,3,98,3,5,72,14,25,525
수영초등학교,공립,0,4,142,2,0,149,10,7,158,12,0,145,0,6,146,0,3,150,24,20,890
신곡초등학교,공립,0,0,89,1,2,88,0,2,119,0,3,110,2,1,103,3,0,109,6,8,618
신도초등학교,공립,8,3,82,5,12,107,4,11,125,11,6,114,12,8,113,13,6,91,53,46,632
신재초등학교,공립,2,6,57,0,6,81,3,14,72,1,5,92,3,11,88,2,3,85,11,45,475
신진초등학교,공립,0,2,38,2,2,33,0,2,39,3,2,36,1,2,46,2,1,27,8,11,219
양운초등학교,공립,0,3,69,7,5,85,6,7,67,7,4,99,0,1,86,4,5,97,24,25,503
운봉초등학교,공립,0,0,30,1,1,28,1,2,35,2,1,36,0,2,36,1,2,55,5,8,220
운송초등학교,공립,1,1,15,1,1,13,0,1,17,0,3,26,0,3,27,0,2,16,2,11,114
월내초등학교,공립,4,1,31,4,7,27,4,5,30,0,4,30,1,2,12,0,3,20,13,22,150
월평초등학교,공립,0,1,14,0,2,20,1,3,18,0,1,15,0,0,15,0,1,17,1,8,99
장산초등학교,공립,4,1,133,9,10,136,3,0,139,11,4,152,7,7,136,2,12,163,36,34,859
장안초등학교,공립,1,0,11,0,0,12,0,0,8,0,0,9,0,0,8,0,0,13,1,0,61
재송초등학교,공립,0,3,77,2,0,76,1,0,102,2,0,91,3,0,108,0,1,88,8,4,542
정관초등학교,공립,10,11,245,17,18,231,18,8,222,11,16,220,6,12,225,6,20,221,68,85,1364
좌동초등학교,공립,4,4,82,4,7,96,4,2,108,2,8,111,0,0,96,5,5,89,19,26,582
좌산초등학교,공립,2,3,77,6,3,97,8,4,82,6,3,106,7,3,112,2,2,80,31,18,554
좌천초등학교,공립,0,1,10,1,0,4,1,0,12,0,0,10,1,0,6,0,0,10,3,1,52
죽성초등학교,공립,1,1,20,0,0,6,0,1,10,0,0,15,0,2,12,0,0,11,1,4,74
철마초등학교,공립,0,0,21,2,0,12,2,1,21,1,0,12,1,1,18,0,0,7,6,2,91
칠암초등학교,공립,0,1,14,1,1,9,0,3,12,0,0,12,0,0,11,0,2,22,1,7,80
해강초등학교,공립,0,0,130,0,0,129,0,0,138,0,0,140,0,0,138,6,0,147,6,0,822
해동초등학교,공립,3,1,57,5,4,64,5,4,74,8,4,80,5,4,77,5,6,72,31,23,424
해림초등학교,공립,0,0,164,0,0,187,0,0,188,0,0,155,0,0,157,1,0,161,1,0,1012
해송초등학교,공립,5,4,115,6,6,116,9,8,121,2,8,120,5,7,121,6,1,112,33,34,705
해운대초등학교,공립,21,6,147,18,6,122,20,4,123,18,7,129,18,7,105,8,12,118,103,42,744
호암초등학교,공립,3,3,93,12,0,63,13,5,87,6,2,54,8,1,70,7,0,76,49,11,443
충렬초등학교,공립,1,2,27,2,1,24,0,0,33,0,2,28,1,3,62,1,1,37,5,9,211
금명초등학교,공립,5,3,90,6,9,103,6,6,96,7,2,121,7,2,118,4,5,116,35,27,644
